DOY,MN,TX
1,19.3,50.1
2,22.6,47.6
3,27,54.6
4,21.3,54.8
5,21.9,57.6
6,17.8,56.3
7,22.7,57.7
8,24,54.9
9,26,54
10,27.8,55
11,26.2,57.3
12,19.6,55.9
13,18,51
14,24.9,55.7
15,24.9,57.9
16,23.2,56.4
17,21.2,57.7
18,24.8,59.2
19,21.7,63.3
20,19.8,64.9
21,19,58.1
22,22.3,59.9
23,21.4,56.8
24,26.6,63.4
25,25.9,61.2
26,27.1,61
27,25.1,64.1
28,23.5,64.3
29,24.2,62.7
30,25.5,62.8
31,24.3,67.3
32,22.2,64.9
33,23.1,56.7
34,24.4,57.4
35,24.5,58.4
36,20.4,54.4
37,25.7,57.1
38,26.8,62.1
39,15.9,58.6
40,18.1,59
41,20.8,58.9
42,24,56.3
43,24.3,56.5
44,26,60.1
45,26.4,68.1
46,25.6,69.7
47,27.3,65.8
48,31.2,68.1
49,31.6,68.2
50,27.9,65
51,30.7,67.5
52,28.5,64.1
53,29.1,61.2
54,30.1,63.3
55,29.3,63.1
56,21.8,59.8
57,24.9,58.9
58,26.6,63.5
59,27.1,65.3
60,29.5,65.4
61,24.3,65
62,26.3,64.1
63,27.7,63.3
64,28.1,60.8
65,33.4,66.8
66,37.1,68.9
67,40.5,69.1
68,42.2,69.8
69,38.1,67.4
70,39.4,69.6
71,41.1,68.3
72,42.6,71.6
73,43.2,70.9
74,42.5,72.4
75,43.4,73.9
76,43.9,75.4
77,44.4,75.7
78,44.4,74.7
79,43.9,73.2
80,42.1,72.6
81,40.7,72
82,43.1,72.1
83,41.2,75.9
84,40.7,74.2
85,41.7,76.4
86,42.8,74.3
87,47.9,75.4
88,46.3,74.8
89,49.2,73.9
90,50,77.2
91,46.9,78.5
92,49.3,75.9
93,48.1,75.8
94,49.5,72.5
95,48.5,69.9
96,53.4,76
97,51.8,74.1
98,55.4,79.6
99,53,82.6
100,48,78.8
101,50.3,76.8
102,52.6,79.4
103,49.4,77.6
104,48.3,71.4
105,50.7,74.3
106,54.7,77
107,53.2,78.4
108,54.4,77.9
109,57.1,76.2
110,51.9,77.7
111,58.5,76.8
112,55.3,78.5
113,58.2,79.9
114,60.4,78
115,62.8,82.9
116,62.1,81
117,54.9,81.5
118,56.3,81.6
119,56.2,84.9
120,57.7,80.8
121,54.3,81
122,59.2,79.5
123,64.2,78.6
124,66.4,81.4
125,65.3,83.9
126,67.1,85.6
127,71.6,87.3
128,67.8,85.2
129,61.5,81.6
130,65.8,81.3
131,60.8,82.6
132,64.2,81.5
133,63.1,80.1
134,66.4,83.1
135,68.8,83.2
136,73.9,84.6
137,69.4,84.5
138,66.8,88.3
139,64.3,85.6
140,67.5,86.4
141,66.2,83
142,70,86
143,71.3,87.4
144,74.1,87.5
145,73.5,88.9
146,72.9,86.8
147,72.7,87.6
148,76.4,88.4
149,76,89
150,73.4,89.8
151,75.7,89.6
152,74.4,90.1
153,75.5,89.1
154,79.7,90.3
155,79.8,90.7
156,78.3,91.5
157,81.3,92.9
158,79.6,92.9
159,78.5,90.8
160,79.9,90.8
161,78,93.2
162,78.4,92.2
163,75,92.8
164,76.3,93.6
165,76.2,94
166,79,94.2
167,80.3,93.5
168,81.1,93.5
169,78.5,94.4
170,78.3,94.9
171,78.5,93.8
172,77.3,93.9
173,78.1,93.1
174,75.3,95.6
175,74,92.3
176,77.3,94.1
177,79.8,94.9
178,80.1,96.3
179,80.7,96.8
180,81.2,96.6
181,81.2,95.4
182,79.2,94.2
183,79.8,95.3
184,81.2,95
185,84.1,96
186,84,95.7
187,85.2,96.2
188,83.5,96.9
189,82,97.1
190,83.2,96.3
191,81.2,96.8
192,81.3,97.2
193,83.6,98.3
194,79.5,98.9
195,79.9,97.3
196,80.7,95.6
197,80.4,96
198,83.3,96.2
199,85.9,96.7
200,83.5,96.4
201,81.7,98.8
202,80.1,100.3
203,82.8,100.4
204,80.6,99
205,79.6,97
206,82.2,98.5
207,80.9,98.5
208,79,98.8
209,78.5,98.1
210,78.6,96.9
211,79.7,97.8
212,81.1,97.8
213,81.7,97.4
214,81.9,98.2
215,79.3,99.1
216,79.4,99.7
217,78.7,100.5
218,77.8,100.8
219,78,101.4
220,79.4,100
221,78.6,100.8
222,78.5,100.7
223,77.5,98.7
224,78.6,98.8
225,76.8,98.3
226,79.9,96.7
227,79.3,98.5
228,79.6,97.3
229,77.9,95
230,77.2,95.8
231,78.2,96.1
232,78.6,94.7
233,77.1,94.8
234,78.4,95.9
235,77.8,96.5
236,79,97.6
237,80.1,96.6
238,78.7,96.9
239,79,93.6
240,74.9,96.6
241,79.9,97.5
242,78,97.5
243,80.3,96.4
244,78.5,98.1
245,75.9,95.6
246,78.7,93.8
247,77.2,94.9
248,75.6,94.6
249,76.6,95.6
250,77,95.4
251,70.8,94
252,74,90.9
253,73.2,91.5
254,73.1,89
255,73.6,89.1
256,71.8,92.6
257,74.2,91.2
258,75.1,89.3
259,75.8,92.2
260,74.8,91.5
261,67,93.3
262,73,90.1
263,75.3,90.7
264,71.6,92.5
265,73.2,88.5
266,73.5,87.6
267,73.4,90.5
268,71.2,91.9
269,72.2,88.8
270,72.3,88.6
271,70.1,87.7
272,64.1,87
273,68,85.9
274,65.4,86.6
275,66.1,87.2
276,66,85.9
277,61.1,86
278,61.8,86.4
279,62.2,87
280,64,85.6
281,67.8,82.7
282,64.6,83.2
283,64.4,81.8
284,61.8,79.1
285,59.3,83.9
286,55.6,82.3
287,57,82.7
288,57.2,81.2
289,57.4,77.5
290,59,77.1
291,61.5,78.3
292,59,78.4
293,57.6,79.6
294,53.7,80.8
295,55.2,78.8
296,54.1,79.7
297,54,76.8
298,55,73.1
299,51.4,78.2
300,48.5,72.1
301,43.8,69.7
302,50.1,70.7
303,47.2,71.6
304,45.9,70.8
305,51.5,72.8
306,49.4,76.7
307,51.6,73.6
308,52.2,74.5
309,51.8,74.7
310,47.8,74.7
311,46.3,70
312,46.4,66.7
313,47.9,67.5
314,43.8,71.2
315,42.8,71.3
316,38.8,63.4
317,36.8,61
318,42.4,64.3
319,46.2,69.3
320,42.3,69.6
321,39.2,70.9
322,40.6,69.4
323,41.3,70
324,38.4,70.4
325,37.8,68.8
326,39.1,62.8
327,42.9,66.8
328,40.2,64.5
329,37.9,66.7
330,36.4,66.1
331,32.8,64.2
332,34.1,60.8
333,38.4,65.5
334,38.1,67.5
335,33.6,64.6
336,36.4,64.4
337,36.2,66.7
338,39.5,64.6
339,32,60.4
340,28.9,56.3
341,29.7,54.5
342,29.3,57.3
343,27.1,58.3
344,27.2,59.8
345,28.3,61.2
346,30.3,62.4
347,31.6,63.3
348,29.5,60.9
349,28.3,62.1
350,29.4,57.8
351,27.1,58
352,28.6,60.4
353,28.8,60.8
354,30,58.4
355,32.7,59.9
356,30.4,64
357,29,59.7
358,28.3,60
359,26.9,61
360,27.4,61.5
361,29.5,58.5
362,26.8,56.3
363,25.3,55.1
364,19,53.6
365,19.8,54.4
