ID,Iden,location,population,ramet,Germ.Tmin,Germ.Tmax,PTGR.Tmin,PTGR.Tmax,HCMS,CCMS,HCHPL,CCHPL,HPS,CPS
CE1,CE1A,South,CE,A,NA,NA,NA,NA,0.770932685,0.496002993,0.433761471,0.723231623,NA,0.584459459
CE1,CE1B,South,CE,B,NA,NA,NA,NA,0.557272882,0.57951792,0.346865634,0.451491863,NA,NA
CE1,CE1C,South,CE,C,NA,NA,NA,NA,0.488924733,0.486531649,0.423709691,0.443868521,0.254098361,0.576826196
CE1,CE1D,South,CE,D,NA,NA,NA,NA,0.838046905,0.422517512,0.308427251,0.493212784,NA,NA
CE10,CE10A,South,CE,A,NA,NA,NA,NA,0.350544621,0.573819253,0.268066995,0.701086414,NA,0.151260504
CE10,CE10B,South,CE,B,NA,NA,NA,NA,0.63950743,0.5613146,0.488288544,0.703868392,0.644970414,0.313513514
CE10,CE10C,South,CE,C,NA,NA,NA,NA,0.757624207,0.685438763,0.444742833,0.538235477,NA,0.411140584
CE10,CE10D,South,CE,D,NA,NA,NA,NA,0.81299415,0.574472735,0.478734048,0.366031,0.974509804,0.283870968
CE11,CE11A,South,CE,A,NA,NA,NA,NA,0.7234985,0.562864326,0.359571702,0.537365226,0.872727273,0.562048193
CE11,CE11B,South,CE,B,NA,NA,NA,NA,0.50636175,0.479185512,0.244532803,0.540322581,NA,NA
CE11,CE11C,South,CE,C,NA,NA,NA,NA,0.883889477,0.500339934,0.361132322,0.3531004,NA,NA
CE11,CE11D,South,CE,D,NA,NA,NA,NA,0.772935096,0.462170843,0.803041688,0.471626709,NA,0.674876847
CE2,CE2A,South,CE,A,NA,NA,NA,NA,0.661025692,0.528419542,0.370139295,0.734915239,NA,NA
CE2,CE2B,South,CE,B,NA,NA,NA,NA,0.517489637,0.494066842,0.342265105,0.488427021,0.455882353,0.6996997
CE2,CE2C,South,CE,C,NA,NA,NA,NA,0.753618451,0.547699335,0.340774487,0.587568147,0.843621399,0.772378517
CE2,CE2D,South,CE,D,NA,NA,NA,NA,0.774005638,0.494235803,0.70957197,0.48145001,0.965714286,0.672661871
CE3,CE3A,South,CE,A,NA,NA,NA,NA,0.649916237,0.478544339,0.540172725,0.786003861,0.576704545,0.843853821
CE3,CE3B,South,CE,B,NA,NA,NA,NA,0.910195973,0.612544197,0.300105743,0.516704962,0.816949153,0.465454545
CE3,CE3C,South,CE,C,NA,NA,NA,NA,0.846476278,0.461512641,0.412726912,0.630372337,NA,0.829099307
CE3,CE3D,South,CE,D,NA,NA,NA,NA,0.751443579,0.663381068,0.460511127,0.415624703,0.895981087,0.23852459
CE4,CE4A,South,CE,A,NA,NA,NA,NA,0.550821163,0.627602365,0.300649533,0.562155532,0.917030568,0.587537092
CE4,CE4B,South,CE,B,NA,NA,NA,NA,0.754643777,0.538622953,0.408508331,0.666096706,0.780160858,0.337885463
CE4,CE4C,South,CE,C,NA,NA,NA,NA,0.787380358,0.501104351,0.413728382,0.46437908,NA,0.928125
CE5,CE5A,South,CE,A,NA,NA,NA,NA,0.661953518,0.558356888,0.551947926,0.586628034,NA,NA
CE5,CE5B,South,CE,B,NA,NA,NA,NA,0.845091986,0.526889175,0.380533538,0.642478674,0.911214953,0.954773869
CE5,CE5D,South,CE,D,NA,NA,NA,NA,0.52669104,0.550547479,0.526170799,0.459664728,NA,NA
CE6,CE6A,South,CE,A,NA,NA,NA,NA,0.685411211,0.492798241,0.759933775,0.507493089,NA,NA
CE6,CE6B,South,CE,B,NA,NA,NA,NA,0.802087506,0.535245915,0.370754366,0.555944056,NA,NA
