"","ID","Iden","Region","Population","Block","Treatment","flowers_pollinated","fruit_count","style_length_1","style_length_2","style_length_3","stamen_length_1","stamen_length_2","stamen_length_3","ovule_number_1","ovule_number_2","ovule_number_3","fruit_mass_1","fruit_mass_2","fruit_mass_3","viable_seed_1","viable_seed_2","viable_seed_3","aborted_seed_1","aborted_seed_2","aborted_seed_3","unfertilized_ovules_1","unfertilized_ovules_2","unfertilized_ovules_3","PD_mean","PD_median","PD_sd","PD_se","PD_max","PD_min","number","no_tubes","tubes","total_grains","Pictures","Germ.Tmin","Germ.Tmax","PTGR.Tmin","PTGR.Tmax","HCMS","CCMS","HCHPL","CCHPL","HPS","CPS"
"1","CE1","CE1A","South","CE","A","Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.770932685,0.496002993,0.433761471,0.723231623,NA,0.584459459
"2","CE1","CE1B","South","CE","B","Heat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.557272882,0.57951792,0.346865634,0.451491863,NA,NA
"3","CE1","CE1C","South","CE","C","Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.488924733,0.486531649,0.423709691,0.443868521,0.254098361,0.576826196
"4","CE1","CE1D","South","CE","D","Heat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.838046905,0.422517512,0.308427251,0.493212784,NA,NA
"5","CE10","CE10A","South","CE","A","Heat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.350544621,0.573819253,0.268066995,0.701086414,NA,0.151260504
"6","CE10","CE10B","South","CE","B","Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63950743,0.5613146,0.488288544,0.703868392,0.644970414,0.313513514
"7","CE10","CE10C","South","CE","C","Heat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.757624207,0.685438763,0.444742833,0.538235477,NA,0.411140584
"8","CE10","CE10D","South","CE","D","Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81299415,0.574472735,0.478734048,0.366031,0.974509804,0.283870968
"9","CE11","CE11A","South","CE","A","Heat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7234985,0.562864326,0.359571702,0.537365226,0.872727273,0.562048193
"10","CE11","CE11B","South","CE","B","Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.50636175,0.479185512,0.244532803,0.540322581,NA,NA
