Name::Name,Area::Area!!R,Intensity Mean Value::Intensity Mean Value!!R,Diameter::Diameter!!R,,,mean,median,sd,se,max,min
,µm²,,µm,,,1.825307404,1.853840636,0.176660934,0.01592898,2.293770484,1.334694707
Circle (Diameter),2.320997867,65.78489581,1.719065522,,,,,,,,
Circle (Diameter),2.81553409,72.40794887,1.893369838,,,,,,,,
Circle (Diameter),2.563860902,69.95545706,1.80676758,,,,,,,,
Circle (Diameter),2.952144547,75.31645328,1.938759186,,,,,,,,
Circle (Diameter),2.867015109,82.2600212,1.910601218,,,,,,,,
Circle (Diameter),2.959468651,72.76591618,1.941162672,,,,,,,,
Circle (Diameter),2.914781003,67.30391854,1.926451255,,,,,,,,
Circle (Diameter),3.175264346,66.59776952,2.010689466,,,,,,,,
Circle (Diameter),2.172286717,68.26125381,1.663081883,,,,,,,,
Circle (Diameter),2.26261733,71.802254,1.697307827,,,,,,,,
Circle (Diameter),2.597297027,71.19917767,1.818510733,,,,,,,,
Circle (Diameter),2.728494017,68.51519024,1.863874051,,,,,,,,
Circle (Diameter),1.84142829,72.49902272,1.531201919,,,,,,,,
Circle (Diameter),2.547620498,65.72577301,1.801036136,,,,,,,,
Circle (Diameter),1.71235423,62.87048944,1.476562603,,,,,,,,
Circle (Diameter),2.497943968,64.38590241,1.783390322,,,,,,,,
Circle (Diameter),2.293293648,66.17685408,1.708775047,,,,,,,,
Circle (Diameter),2.017843659,69.38590922,1.602871904,,,,,,,,
Circle (Diameter),2.80364569,73.97391244,1.889368297,,,,,,,,
Circle (Diameter),3.333953261,77.4464135,2.060320638,,,,,,,,
Circle (Diameter),3.017636895,74.62636174,1.960146583,,,,,,,,
Circle (Diameter),2.687309201,79.30025105,1.84975359,,,,,,,,
Circle (Diameter),2.698773016,77.33970134,1.853694831,,,,,,,,
Circle (Diameter),3.118582152,78.19549767,1.992662068,,,,,,,,
Circle (Diameter),2.17069452,73.39352403,1.662472286,,,,,,,,
Circle (Diameter),2.859691006,72.41948287,1.908159237,,,,,,,,
Circle (Diameter),2.699622187,78.94689233,1.853986441,,,,,,,,
Circle (Diameter),3.199359586,75.92847342,2.018304026,,,,,,,,
Circle (Diameter),2.881344878,78.83794112,1.915370001,,,,,,,,
Circle (Diameter),2.518324083,80.94917981,1.790650666,,,,,,,,
Circle (Diameter),2.675951533,74.10797866,1.845840543,,,,,,,,
Circle (Diameter),3.150850667,74.21517631,2.002944749,,,,,,,,
Circle (Diameter),3.40772503,81.56380096,2.082990702,,,,,,,,
Circle (Diameter),3.318668175,82.65754307,2.055592264,,,,,,,,
Circle (Diameter),2.470345896,87.62434585,1.77351123,,,,,,,,
Circle (Diameter),2.798550661,82.63659763,1.887650754,,,,,,,,
Circle (Diameter),2.874976092,75.16551805,1.913252009,,,,,,,,
Circle (Diameter),3.572995024,85.94044391,2.132903785,,,,,,,,
Circle (Diameter),1.97230684,87.14389883,1.584682638,,,,,,,,
Circle (Diameter),3.182694596,88.06159074,2.01304064,,,,,,,,
Circle (Diameter),3.011586549,69.80369982,1.958180555,,,,,,,,
Circle (Diameter),3.129727527,69.96004028,1.99621964,,,,,,,,
Circle (Diameter),2.85926642,68.23374631,1.908017577,,,,,,,,
Circle (Diameter),1.851193762,71.19013871,1.535256689,,,,,,,,
