Name::Name,Area::Area!!R,Intensity Mean Value::Intensity Mean Value!!R,Diameter::Diameter!!R
,µm²,,µm
Circle (Diameter),2.957600065,46.12534236,1.940549757
Circle (Diameter),3.370616867,40.48220141,2.071618373
Circle (Diameter),2.635399162,40.01662829,1.83180087
Circle (Diameter),3.155092055,45.40000714,2.004292387
Circle (Diameter),3.406030722,60.31964557,2.08247281
Circle (Diameter),2.824417898,49.71747104,1.896354545
Circle (Diameter),3.374201705,63.76863256,2.072719721
Circle (Diameter),3.662292331,61.50918572,2.159392373
Circle (Diameter),3.64360772,57.87933593,2.153876838
Circle (Diameter),2.470062083,57.85739629,1.77340935
Circle (Diameter),3.252208578,69.40441939,2.034905543
Circle (Diameter),3.292836743,64.82750128,2.047576606
Circle (Diameter),2.92218621,69.69669068,1.928896845
Circle (Diameter),2.86928269,54.52164205,1.911356635
Circle (Diameter),2.995186549,63.08753943,1.952841509
Circle (Diameter),3.45502351,48.86394314,2.097396615
Circle (Diameter),2.678634482,68.14066571,1.846765645
Circle (Diameter),2.98106446,72.97603954,1.948232316
Circle (Diameter),3.262419935,46.17623728,2.03809766
Circle (Diameter),3.070359518,44.19243319,1.977195781
Circle (Diameter),3.163891203,43.95868327,2.007085298
Circle (Diameter),3.318147873,43.12905742,2.05543112
Circle (Diameter),3.346826578,48.56235698,2.06429454
Circle (Diameter),3.222878085,38.75347913,2.025708722
Circle (Diameter),3.030926299,45.63903634,1.964457997
Circle (Diameter),2.417049932,52.68532738,1.754275792
Circle (Diameter),3.844793179,74.56083773,2.212542139
Circle (Diameter),3.485331686,46.71723403,2.106575925
Circle (Diameter),3.964722309,45.94066714,2.246784642
Circle (Diameter),3.010829479,53.28043991,1.95793441
Circle (Diameter),3.333790803,52.49449585,2.06027044
Circle (Diameter),3.322927657,54.29634774,2.056911009
Circle (Diameter),2.687107736,56.54703322,1.849684251
Circle (Diameter),3.500648722,50.29323816,2.11119975
Circle (Diameter),4.321902541,62.66014657,2.345808437
Circle (Diameter),3.509665133,63.82735438,2.113916847
Circle (Diameter),2.480816598,54.57560931,1.77726582
Circle (Diameter),3.445789836,51.18185084,2.094592056
Circle (Diameter),3.44459489,77.08310177,2.094228839
Circle (Diameter),3.591138726,68.82771606,2.13831238
Circle (Diameter),2.624210122,65.07862134,1.827908121
Circle (Diameter),3.188659175,59.55057727,2.014926043
Circle (Diameter),2.711984339,50.82891736,1.858226495
Circle (Diameter),3.148248273,57.56828745,2.002117429
Circle (Diameter),3.717042585,71.02392141,2.175473652
Circle (Diameter),3.336832484,70.28786396,2.061210099
Circle (Diameter),3.544101305,79.08489067,2.124262209
Circle (Diameter),3.122719881,68.42639905,1.99398356
Circle (Diameter),3.742353715,68.2464846,2.182868008
Circle (Diameter),3.056020166,89.33200883,1.972573376
Circle (Diameter),3.216468829,70.95687275,2.023693481
Circle (Diameter),4.094319638,68.29204855,2.283210387
Circle (Diameter),3.720627423,69.08871675,2.176522448
Circle (Diameter),3.139449125,55.27073985,1.999317577
Circle (Diameter),3.078615509,61.26571283,1.979852269
Circle (Diameter),2.679394902,56.58762065,1.84702776
Circle (Diameter),3.494456729,66.89455717,2.109331765
Circle (Diameter),2.899264972,75.99363403,1.921316948
Circle (Diameter),3.690971036,77.68951625,2.167830778
Circle (Diameter),3.366054346,86.3933944,2.070215811
Circle (Diameter),2.590860264,69.19894014,1.816255969
Circle (Diameter),3.82915025,73.47078199,2.208036576
Circle (Diameter),2.439536644,87.12134894,1.762417239
Circle (Diameter),3.103600744,73.87089295,1.987870016
Circle (Diameter),2.973134364,68.84398774,1.945639289
Circle (Diameter),3.406030722,69.91448879,2.08247281
Circle (Diameter),3.41447881,75.12445356,2.085053823
Circle (Diameter),3.128970616,61.65640287,1.995978237
Circle (Diameter),3.536172528,67.07605029,2.121884705
Circle (Diameter),3.726545906,54.69497521,2.178252881
Circle (Diameter),2.574761033,66.641057,1.810604199
Circle (Diameter),2.710771658,73.65314587,1.857810989
Circle (Diameter),3.666892122,59.54309023,2.160748032
Circle (Diameter),3.550696927,53.97618217,2.126237931
Circle (Diameter),4.15449696,49.04428715,2.29992822
Circle (Diameter),4.067039326,55.32762579,2.275591198
Circle (Diameter),2.274105965,61.31899748,1.701611484
Circle (Diameter),3.47444383,53.49520632,2.103282977
Circle (Diameter),3.149408521,55.09362401,2.002486322
Circle (Diameter),3.639399509,41.54595799,2.152632661
Circle (Diameter),3.762753159,62.46163748,2.188809292
Circle (Diameter),3.771779035,53.91590963,2.191432915
Circle (Diameter),3.561590227,54.03939298,2.129497011
Circle (Diameter),3.361464752,57.824616,2.068803966
Circle (Diameter),3.398916953,58.23135192,2.080296968
Circle (Diameter),2.999599715,58.93201771,1.954279657
Circle (Diameter),3.750303673,65.52667447,2.185185333
Circle (Diameter),3.093385837,56.45225875,1.984595973
Circle (Diameter),3.917852995,61.27164471,2.233464879
Circle (Diameter),3.458570737,73.14778646,2.098473023
Circle (Diameter),3.320692688,72.06846297,2.056219163
Circle (Diameter),3.810061202,71.97780934,2.202525957
Circle (Diameter),3.324531279,77.77632114,2.057407274
Circle (Diameter),3.79730048,65.11055425,2.198834495
Circle (Diameter),3.195886599,69.7833991,2.017208268
Circle (Diameter),3.47807493,65.08299883,2.104381748
Circle (Diameter),3.247240725,66.86914624,2.033350757
Circle (Diameter),3.216635741,57.50260572,2.023745989
Circle (Diameter),3.594270125,59.78417063,2.13924446
Circle (Diameter),3.442697643,60.78426496,2.09365202
Circle (Diameter),2.468836663,78.93587585,1.772969393
Circle (Diameter),3.608794525,70.47417723,2.143562432
Circle (Diameter),3.721773603,71.64048311,2.176857673
Circle (Diameter),2.392064837,60.89622242,1.745185246
Circle (Diameter),2.774264033,58.74350227,1.879442118
Circle (Diameter),3.045247828,71.4122943,1.969093689
Circle (Diameter),3.137477764,90.53523755,1.998689761
Circle (Diameter),2.863900326,72.03019343,1.909563078
Circle (Diameter),3.222341755,74.36370285,2.025540162
Circle (Diameter),3.855709315,61.89785197,2.215680837
Circle (Diameter),2.447257555,64.28669146,1.765203981
Circle (Diameter),3.536172528,54.06527207,2.121884705
Circle (Diameter),3.832781513,62.8793676,2.209083291
Circle (Diameter),3.147644844,86.41716209,2.001925545
Circle (Diameter),3.191218042,71.06286601,2.015734359
Circle (Diameter),4.181885827,63.45572657,2.307497
Circle (Diameter),3.615537996,66.91742131,2.14556425
Circle (Diameter),2.317679163,68.5546765,1.71783607
Circle (Diameter),2.188723245,78.62452501,1.669361851
Circle (Diameter),3.449026131,69.25692268,2.095575449
