Name::Name,Area::Area!!R,Intensity Mean Value::Intensity Mean Value!!R,Diameter::Diameter!!R,,,mean,median,sd,se,max,min
,µm²,,µm,,,2.092396462,2.128076608,0.209730263,0.018834334,2.411075414,1.412559154
Circle (Diameter),2.973772869,81.95352449,1.945848199,,,,,,,,
Circle (Diameter),2.929087709,82.34282202,1.931173296,,,,,,,,
Circle (Diameter),3.901849276,75.30104886,2.228898561,,,,,,,,
Circle (Diameter),1.567123305,79.1897711,1.412559154,,,,,,,,
Circle (Diameter),3.904009877,69.16650806,2.229515588,,,,,,,,
Circle (Diameter),4.133426437,83.29506634,2.294088489,,,,,,,,
Circle (Diameter),3.43348987,72.60208634,2.090850324,,,,,,,,
Circle (Diameter),3.975898971,68.50803321,2.249949287,,,,,,,,
Circle (Diameter),1.870098513,70.52862722,1.543075947,,,,,,,,
Circle (Diameter),2.903553331,68.63257634,1.922737351,,,,,,,,
Circle (Diameter),2.150092781,61.03660574,1.65456434,,,,,,,,
Circle (Diameter),4.407822784,61.21765127,2.369011244,,,,,,,,
Circle (Diameter),4.17555816,57.227816,2.305750587,,,,,,,,
Circle (Diameter),4.086384257,64.29700025,2.280996719,,,,,,,,
Circle (Diameter),3.475228756,60.78247058,2.103520544,,,,,,,,
Circle (Diameter),4.137060175,53.65284621,2.295096646,,,,,,,,
Circle (Diameter),2.805344188,68.2045409,1.889940517,,,,,,,,
Circle (Diameter),4.517031352,75.27321723,2.398179089,,,,,,,,
Circle (Diameter),3.175789077,76.38433748,2.010855599,,,,,,,,
Circle (Diameter),3.636193543,72.43675528,2.15168432,,,,,,,,
Circle (Diameter),2.075159205,72.1624371,1.62547678,,,,,,,,
Circle (Diameter),3.159191732,69.4113642,2.005594137,,,,,,,,
Circle (Diameter),2.976522725,72.31622122,1.946747657,,,,,,,,
Circle (Diameter),3.682941095,78.28595006,2.165471367,,,,,,,,
Circle (Diameter),2.68012753,81.10761541,1.847280259,,,,,,,,
Circle (Diameter),3.823281961,75.27311568,2.206343986,,,,,,,,
Circle (Diameter),2.250560735,85.68223599,1.692779645,,,,,,,,
Circle (Diameter),3.474639501,77.63405539,2.103342202,,,,,,,,
Circle (Diameter),3.347065824,83.19903125,2.064368321,,,,,,,,
Circle (Diameter),2.999012619,73.60102753,1.954088397,,,,,,,,
Circle (Diameter),2.397285196,75.16923511,1.747088524,,,,,,,,
Circle (Diameter),4.36019135,75.89249619,2.356176574,,,,,,,,
Circle (Diameter),3.211537206,68.58360541,2.022141481,,,,,,,,
Circle (Diameter),3.156245458,73.71599216,2.004658707,,,,,,,,
Circle (Diameter),4.304310347,75.30132251,2.341029292,,,,,,,,
Circle (Diameter),4.361468068,77.32068056,2.356521508,,,,,,,,
Circle (Diameter),2.746909747,82.48919506,1.870153501,,,,,,,,
Circle (Diameter),3.08376711,70.86046427,1.98150807,,,,,,,,
Circle (Diameter),4.084812911,79.60340875,2.280558118,,,,,,,,
Circle (Diameter),2.622282344,84.99622803,1.827236596,,,,,,,,
Circle (Diameter),2.086944302,86.77361537,1.630085891,,,,,,,,
Circle (Diameter),2.971808686,77.39529599,1.945205475,,,,,,,,
Circle (Diameter),2.697215921,87.02156323,1.853159996,,,,,,,,
Circle (Diameter),2.339832847,77.41757873,1.726026567,,,,,,,,
Circle (Diameter),2.248989389,89.77986886,1.69218859,,,,,,,,
Circle (Diameter),3.21222467,85.66559249,2.0223579,,,,,,,,
Circle (Diameter),2.778238464,85.2182996,1.880787887,,,,,,,,
Circle (Diameter),3.686771252,92.25951166,2.16659709,,,,,,,,
Circle (Diameter),3.400491598,92.23008967,2.08077879,,,,,,,,
Circle (Diameter),3.622051426,78.37081444,2.147496009,,,,,,,,
Circle (Diameter),4.353513128,82.28989444,2.354371481,,,,,,,,
Circle (Diameter),4.41400996,76.74541044,2.370673329,,,,,,,,
Circle (Diameter),2.170422074,88.939157,1.662367954,,,,,,,,
Circle (Diameter),3.010110252,84.25101713,1.957700541,,,,,,,,
Circle (Diameter),2.305557856,81.96570397,1.713338097,,,,,,,,
Circle (Diameter),3.999960211,91.78777737,2.25674711,,,,,,,,
Circle (Diameter),2.767337249,84.07391004,1.877094355,,,,,,,,
Circle (Diameter),3.98974646,88.7574868,2.253864008,,,,,,,,
Circle (Diameter),4.265517735,86.63468245,2.330456148,,,,,,,,
Circle (Diameter),4.049555828,86.92718961,2.270694744,,,,,,,,
Circle (Diameter),3.888394624,80.6216631,2.225052314,,,,,,,,
Circle (Diameter),3.582767769,68.81389282,2.135818719,,,,,,,,
Circle (Diameter),3.532484687,76.6990183,2.120777969,,,,,,,,
Circle (Diameter),3.587580017,69.57446809,2.137252617,,,,,,,,
Circle (Diameter),3.141317668,62.4486771,1.999912467,,,,,,,,
Circle (Diameter),3.165575326,57.89062833,2.007619408,,,,,,,,
Circle (Diameter),3.079838744,69.77858267,1.980245561,,,,,,,,
Circle (Diameter),2.462397858,68.61639404,1.770655903,,,,,,,,
Circle (Diameter),3.193073887,77.09924309,2.016320397,,,,,,,,
Circle (Diameter),4.0309943,78.99411026,2.265484793,,,,,,,,
Circle (Diameter),2.812906292,79.058536,1.89248607,,,,,,,,
Circle (Diameter),1.843385626,66.72501823,1.532015494,,,,,,,,
Circle (Diameter),3.259070431,89.97125242,2.037051141,,,,,,,,
Circle (Diameter),3.353351209,86.55659237,2.066305729,,,,,,,,
Circle (Diameter),2.887447032,75.99470013,1.917397127,,,,,,,,
Circle (Diameter),3.994460499,66.0916582,2.255195128,,,,,,,,
Circle (Diameter),3.909902426,81.37945348,2.231197523,,,,,,,,
Circle (Diameter),3.539457536,97.65560047,2.122870062,,,,,,,,
Circle (Diameter),3.790872944,104.7388501,2.196972768,,,,,,,,
Circle (Diameter),3.413356996,103.5324821,2.084711277,,,,,,,,
Circle (Diameter),4.060064207,96.18719444,2.273639,,,,,,,,
Circle (Diameter),4.292328831,96.98847618,2.337768767,,,,,,,,
Circle (Diameter),3.983559284,90.50101804,2.252115718,,,,,,,,
Circle (Diameter),3.790578316,90.11248774,2.196887391,,,,,,,,
Circle (Diameter),3.816112694,100.9672954,2.204274391,,,,,,,,
Circle (Diameter),4.226921542,100.3117004,2.319888717,,,,,,,,
Circle (Diameter),3.215170944,100.1725297,2.023285148,,,,,,,,
Circle (Diameter),4.087955603,104.3697808,2.281435235,,,,,,,,
Circle (Diameter),3.515985551,87.62146404,2.115819426,,,,,,,,
Circle (Diameter),4.017146811,104.1969272,2.261590188,,,,,,,,
Circle (Diameter),4.142854515,108.6654519,2.296703332,,,,,,,,
Circle (Diameter),4.021566222,92.0615001,2.262833875,,,,,,,,
Circle (Diameter),3.112542389,114.2637176,1.990731537,,,,,,,,
Circle (Diameter),3.332236243,109.9494898,2.059790027,,,,,,,,
Circle (Diameter),4.313345588,110.5301296,2.343485049,,,,,,,,
Circle (Diameter),3.697770676,97.0757488,2.169826687,,,,,,,,
Circle (Diameter),3.502923735,104.9894855,2.111885655,,,,,,,,
Circle (Diameter),3.652201633,113.1770997,2.156415439,,,,,,,,
Circle (Diameter),3.820335687,96.0375778,2.205493702,,,,,,,,
Circle (Diameter),4.120855667,96.01327361,2.290597388,,,,,,,,
Circle (Diameter),3.858146207,112.5023341,2.216380906,,,,,,,,
Circle (Diameter),4.366476735,103.2002014,2.357874223,,,,,,,,
Circle (Diameter),3.371028855,102.4951294,2.071744976,,,,,,,,
Circle (Diameter),3.933177993,97.07543659,2.237828804,,,,,,,,
Circle (Diameter),3.571768344,98.74046861,2.13253762,,,,,,,,
Circle (Diameter),3.246106824,95.63509344,2.032995714,,,,,,,,
Circle (Diameter),3.797354747,116.0015117,2.198850206,,,,,,,,
Circle (Diameter),3.66408494,115.9100654,2.159920795,,,,,,,,
Circle (Diameter),3.440560929,105.9205892,2.093002205,,,,,,,,
Circle (Diameter),4.565743087,94.99799901,2.411075414,,,,,,,,
Circle (Diameter),3.715448322,115.8076655,2.175007064,,,,,,,,
Circle (Diameter),3.892715826,96.41605142,2.226288329,,,,,,,,
Circle (Diameter),4.4026177,109.7416884,2.367612079,,,,,,,,
Circle (Diameter),3.95527505,108.7152133,2.244106193,,,,,,,,
Circle (Diameter),3.289318847,96.51017755,2.046482551,,,,,,,,
Circle (Diameter),3.486031762,100.409905,2.106787482,,,,,,,,
Circle (Diameter),4.296944661,91.13458915,2.339025409,,,,,,,,
Circle (Diameter),3.391358148,102.1894985,2.077982508,,,,,,,,
Circle (Diameter),3.425240302,95.31778128,2.088336995,,,,,,,,
Circle (Diameter),4.298123171,100.5734411,2.339346146,,,,,,,,
Circle (Diameter),3.556840555,104.6085304,2.128076608,,,,,,,,
Circle (Diameter),3.818567922,112.4785595,2.204983375,,,,,,,,
Circle (Diameter),3.658879855,98.85698482,2.158386092,,,,,,,,
Circle (Diameter),3.953703704,101.8909329,2.243660381,,,,,,,,
Circle (Diameter),2.666574668,117.3227169,1.842603678,,,,,,,,
