Name::Name,Area::Area!!R,Intensity Mean Value::Intensity Mean Value!!R,Diameter::Diameter!!R,,,,
,µm²,,µm,,,,
Circle (Diameter),2.731437341,56.97149918,1.864879095,,,,
Circle (Diameter),2.412780801,58.98536813,1.752725857,,,Column1,
Circle (Diameter),1.985749818,57.7597443,1.590073959,,,,
Circle (Diameter),2.515914916,64.94105291,1.789793944,,,Mean,1.866786776
Circle (Diameter),2.815282589,78.6286524,1.893285272,,,Standard Error,0.020003438
Circle (Diameter),2.255793954,65.72372088,1.694746609,,,Median,1.827780387
Circle (Diameter),1.994112044,58.78987998,1.593418436,,,Mode,1.827780387
Circle (Diameter),2.194470967,62.34010542,1.671552337,,,Standard Deviation,0.255386801
Circle (Diameter),2.975279837,64.94018967,1.946341169,,,Sample Variance,0.065222418
Circle (Diameter),2.330830991,66.66883461,1.722703164,,,Kurtosis,1.783311381
Circle (Diameter),1.865222275,72.41772076,1.541062867,,,Skewness,0.386012261
Circle (Diameter),1.65059182,54.34340753,1.4496892,,,Range,1.736224732
Circle (Diameter),2.17640856,71.06901714,1.664658957,,,Minimum,0.792143674
Circle (Diameter),2.409324415,71.77454138,1.751469989,,,Maximum,2.528368406
Circle (Diameter),2.541782067,69.78995716,1.798971218,,,Sum,304.2862444
Circle (Diameter),2.538214184,67.40465219,1.797708172,,,Count,163
Circle (Diameter),2.253675524,63.18433639,1.693950648,,,,0
Circle (Diameter),2.920312142,69.47914203,1.928278222,,,,
Circle (Diameter),2.623843373,71.80708898,1.827780387,,,,
Circle (Diameter),2.488709809,68.92355969,1.780090937,,,,
Circle (Diameter),2.800119087,69.97087769,1.88817964,,,,
Circle (Diameter),2.623843373,71.42859591,1.827780387,,,,
Circle (Diameter),2.233940672,66.59635705,1.686517597,,,,
Circle (Diameter),2.714824387,70.19176266,1.859199227,,,,
Circle (Diameter),3.567213907,68.85057943,2.131177565,,,,
Circle (Diameter),2.892772546,72.11835862,1.919164505,,,,
Circle (Diameter),2.747715807,65.63497912,1.870427872,,,,
Circle (Diameter),2.340531173,73.28928794,1.726284115,,,,
Circle (Diameter),4.799359963,71.93212415,2.471990068,,,,
Circle (Diameter),2.247877714,64.20580739,1.691770315,,,,
Circle (Diameter),2.303514388,69.29980488,1.712578644,,,,
Circle (Diameter),2.28701293,67.2744222,1.706433503,,,,
Circle (Diameter),2.555719109,67.73020618,1.803896515,,,,
Circle (Diameter),2.577795385,62.55788188,1.811670782,,,,
Circle (Diameter),2.101706012,72.51858587,1.635840825,,,,
Circle (Diameter),3.348458088,65.8810204,2.06479763,,,,
Circle (Diameter),1.893319352,74.08148983,1.552626507,,,,
Circle (Diameter),2.642574758,70.51395339,1.834292965,,,,
Circle (Diameter),2.386133176,71.88368587,1.743020114,,,,
Circle (Diameter),2.043170434,73.44040282,1.612899685,,,,
Circle (Diameter),2.401742664,70.92766854,1.748712022,,,,
Circle (Diameter),2.808481313,58.36124124,1.890996951,,,,
Circle (Diameter),3.451034721,71.99895616,2.096185554,,,,
Circle (Diameter),2.482466014,53.76395317,1.777856546,,,,
Circle (Diameter),3.432303336,68.1571677,2.090489019,,,,
Circle (Diameter),1.86354983,61.11185359,1.540371818,,,,
Circle (Diameter),2.644916182,82.43532761,1.835105412,,,,
Circle (Diameter),2.890542619,77.97826002,1.918424658,,,,
Circle (Diameter),3.039055744,67.99045858,1.967090733,,,,
Circle (Diameter),1.884399645,71.21562091,1.548964863,,,,
Circle (Diameter),2.694866542,74.98525665,1.852352733,,,,
Circle (Diameter),3.737914804,68.36865901,2.181573043,,,,
Circle (Diameter),2.558729511,63.39369975,1.804958614,,,,
Circle (Diameter),3.40565571,58.24969433,2.082358165,,,,
Circle (Diameter),3.114984752,65.12486895,1.991512432,,,,
Circle (Diameter),3.00415739,61.65733138,1.955763786,,,,
Circle (Diameter),2.446229703,66.37219848,1.764833248,,,,
Circle (Diameter),1.753837431,60.99782191,1.494341049,,,,
Circle (Diameter),3.469877602,65.1724832,2.101900421,,,,
Circle (Diameter),2.683159426,88.26173603,1.848324832,,,,
Circle (Diameter),2.458382804,75.69968913,1.769211746,,,,
Circle (Diameter),4.007624451,72.96036706,2.258908128,,,,
Circle (Diameter),3.606349123,69.97013623,2.142836045,,,,
Circle (Diameter),2.276420777,73.30358293,1.702477299,,,,
Circle (Diameter),2.514130974,72.45769919,1.789159293,,,,
Circle (Diameter),2.272406909,65.9424464,1.700975702,,,,
Circle (Diameter),3.031028008,68.51701386,1.964490957,,,,
Circle (Diameter),3.03459589,66.24246809,1.965646838,,,,
Circle (Diameter),1.909374825,70.27863832,1.559195797,,,,
Circle (Diameter),2.132367506,76.30284178,1.647730145,,,,
Circle (Diameter),1.976830111,72.39278603,1.586498746,,,,
Circle (Diameter),2.348558909,68.48166364,1.729242053,,,,
Circle (Diameter),2.560401956,69.94872133,1.805548399,,,,
Circle (Diameter),1.968690878,72.01171027,1.583229319,,,,
Circle (Diameter),3.47879731,71.18014373,2.104600271,,,,
Circle (Diameter),2.470758898,68.02671339,1.773659475,,,,
Circle (Diameter),2.066250176,70.74526304,1.621983796,,,,
Circle (Diameter),2.073051453,76.32877678,1.624651067,,,,
Circle (Diameter),2.797666168,74.8402205,1.887352431,,,,
Circle (Diameter),2.034808208,75.23159348,1.609595687,,,,
Circle (Diameter),2.717500299,64.21012333,1.860115277,,,,
Circle (Diameter),2.104381924,66.45252083,1.636881878,,,,
Circle (Diameter),2.192129544,65.22593048,1.670660355,,,,
Circle (Diameter),1.861208406,70.27618243,1.539403827,,,,
Circle (Diameter),2.386133176,72.727667,1.743020114,,,,
Circle (Diameter),2.538660169,72.59626201,1.797866101,,,,
Circle (Diameter),3.044519065,61.99359212,1.968858062,,,,
Circle (Diameter),2.390147044,66.57880358,1.744485521,,,,
Circle (Diameter),2.26170326,71.43383376,1.696964946,,,,
Circle (Diameter),2.732217816,71.0796278,1.865145509,,,,
Circle (Diameter),2.581474764,64.97600592,1.812963252,,,,
Circle (Diameter),4.557063638,63.52671284,2.408782604,,,,
Circle (Diameter),1.969409922,62.58862819,1.583518422,,,,
Circle (Diameter),2.829020685,63.50637892,1.897899104,,,,
Circle (Diameter),4.600958203,67.98238781,2.420355744,,,,
Circle (Diameter),4.531874747,78.47060432,2.402116179,,,,
Circle (Diameter),2.458201947,55.94870507,1.769146667,,,,
Circle (Diameter),2.291657676,63.82178266,1.708165441,,,,
Circle (Diameter),3.111200034,57.779492,1.990302217,,,,
Circle (Diameter),2.845175585,55.85997384,1.903310292,,,,
Circle (Diameter),4.710428911,65.31998948,2.44898027,,,,
Circle (Diameter),2.782575346,69.8803156,1.882255287,,,,
Circle (Diameter),2.762062873,70.11045469,1.875304689,,,,
Circle (Diameter),2.960704381,57.46145956,1.941567897,,,,
Circle (Diameter),4.450249986,84.09896704,2.380385319,,,,
Circle (Diameter),2.776092129,67.23216817,1.880061243,,,,
Circle (Diameter),3.255850164,70.21179198,2.036044494,,,,
Circle (Diameter),5.020773054,63.50726036,2.528368406,,,,
Circle (Diameter),2.943274094,72.1383804,1.935844252,,,,
Circle (Diameter),3.803735115,66.55734162,2.2006967,,,,
Circle (Diameter),3.967516048,75.17960296,2.2475761,,,,
Circle (Diameter),2.709878293,52.24629622,1.857504833,,,,
Circle (Diameter),3.520280379,56.60271212,2.117111284,,,,
Circle (Diameter),2.72348242,70.93331408,1.862161517,,,,
Circle (Diameter),4.145538801,71.04096444,2.297447265,,,,
Circle (Diameter),4.95796025,60.54024243,2.512502946,,,,
Circle (Diameter),3.796933052,76.10947931,2.198728112,,,,
Circle (Diameter),2.224806146,64.55319687,1.683066001,,,,
Circle (Diameter),2.610398116,54.23194654,1.82309136,,,,
Circle (Diameter),2.755048245,61.86323914,1.872921881,,,,
Circle (Diameter),3.113006832,63.1983217,1.990880057,,,,
Circle (Diameter),4.481390682,58.80627139,2.388699192,,,,
Circle (Diameter),2.924993548,73.34598231,1.929823166,,,,
Circle (Diameter),4.025546151,68.25423986,2.263953301,,,,
Circle (Diameter),2.465429139,63.86349973,1.771745432,,,,
Circle (Diameter),2.200573795,70.60224949,1.673875018,,,,
Circle (Diameter),2.303880133,75.58330487,1.712714597,,,,
Circle (Diameter),2.893959134,70.49160382,1.919558077,,,,
Circle (Diameter),3.610726566,80.65495218,2.144136154,,,,
Circle (Diameter),2.65046652,69.87589164,1.837029882,,,,
Circle (Diameter),2.559807769,82.87908468,1.805338882,,,,
