Name::Name,Area::Area!!R,Intensity Mean Value::Intensity Mean Value!!R,Diameter::Diameter!!R,,,,
,µm²,,µm,,,,
Circle (Diameter),4.36136281,63.31137839,2.356493072,,,,
Circle (Diameter),4.044230051,71.72260293,2.269201099,,,Column1,
Circle (Diameter),4.015157529,74.53513893,2.261030151,,,,
Circle (Diameter),4.004255334,65.52770434,2.257958423,,,Mean,2.385748673
Circle (Diameter),4.725859551,53.86422198,2.452988231,,,Standard Error,0.011936598
Circle (Diameter),4.14780091,68.96047699,2.298074007,,,Median,2.394783528
Circle (Diameter),4.589582106,55.99818651,2.417361667,,,Mode,2.477719503
Circle (Diameter),4.892057468,68.83398217,2.49574859,,,Standard Deviation,0.150040705
Circle (Diameter),4.782550969,72.13422708,2.467657395,,,Sample Variance,0.022512213
Circle (Diameter),4.535919076,81.45479882,2.403187787,,,Kurtosis,0.924620552
Circle (Diameter),4.347795633,61.22025861,2.352824968,,,Skewness,-0.335711225
Circle (Diameter),4.512176516,63.23085771,2.396889979,,,Range,0.949975852
Circle (Diameter),5.149349285,57.38391409,2.560538057,,,Minimum,1.833660955
Circle (Diameter),4.657660261,67.29558546,2.435224267,,,Maximum,2.783636807
Circle (Diameter),4.140411644,60.99390509,2.296026097,,,Sum,376.9482903
Circle (Diameter),3.754473917,61.42866999,2.186399932,,,Count,158
Circle (Diameter),3.891478176,67.99345535,2.225934388,,,,0
Circle (Diameter),3.647753535,69.29116311,2.155101865,,,,
Circle (Diameter),4.322720583,79.4758281,2.346030432,,,,
Circle (Diameter),3.436856617,77.78746969,2.091875177,,,,
Circle (Diameter),4.330957797,63.56861164,2.348264622,,,,
Circle (Diameter),3.69426957,75.56911783,2.168799231,,,,
Circle (Diameter),4.219028588,81.86384525,2.317721735,,,,
Circle (Diameter),4.858139526,66.33428426,2.487081695,,,,
Circle (Diameter),3.625464602,80.29464341,2.148507598,,,,
Circle (Diameter),3.965976513,61.17166491,2.247139989,,,,
Circle (Diameter),4.213214084,58.07884605,2.316124086,,,,
Circle (Diameter),5.38435217,57.56951424,2.618314363,,,,
Circle (Diameter),4.260699203,60.41696861,2.329139479,,,,
Circle (Diameter),4.652209163,53.19029037,2.433798816,,,,
Circle (Diameter),4.103344179,75.30292793,2.285725284,,,,
Circle (Diameter),4.721983215,46.67672208,2.451982006,,,,
Circle (Diameter),4.717501201,62.40571497,2.450818043,,,,
Circle (Diameter),4.80435536,69.88125455,2.473276214,,,,
Circle (Diameter),4.303702308,72.16481559,2.340863936,,,,
Circle (Diameter),4.606056535,53.97749597,2.421696373,,,,
Circle (Diameter),4.83887898,57.32558681,2.482146666,,,,
Circle (Diameter),4.523320983,59.77012696,2.399848151,,,,
Circle (Diameter),5.214762459,53.42146472,2.576750236,,,,
Circle (Diameter),4.377473832,60.26209542,2.360841543,,,,
Circle (Diameter),4.392979177,61.57444516,2.365018987,,,,
Circle (Diameter),2.640754062,58.52146169,1.833660955,,,,
Circle (Diameter),4.708052632,58.21196016,2.448362471,,,,
Circle (Diameter),4.690972525,64.55794889,2.44391729,,,,
Circle (Diameter),4.148769994,77.53669002,2.29834245,,,,
Circle (Diameter),4.609206058,76.5560774,2.422524184,,,,
Circle (Diameter),5.006409387,62.27809691,2.524749177,,,,
Circle (Diameter),4.458876893,72.53645531,2.382691416,,,,
Circle (Diameter),4.660930919,64.58343212,2.436079137,,,,
Circle (Diameter),4.991994261,60.32926403,2.521111759,,,,
Circle (Diameter),4.100436927,72.41526541,2.284915413,,,,
Circle (Diameter),5.523836503,72.41947986,2.652011892,,,,
Circle (Diameter),4.649456263,86.37337049,2.433078621,,,,
Circle (Diameter),5.041932208,69.75709297,2.533690484,,,,
Circle (Diameter),4.849306813,66.65854289,2.484819752,,,,
Circle (Diameter),4.418114936,75.31418445,2.371775421,,,,
Circle (Diameter),4.576250433,78.46807043,2.413848176,,,,
Circle (Diameter),5.998924613,67.56467933,2.763705491,,,,
Circle (Diameter),4.546940837,83.35997224,2.40610575,,,,
Circle (Diameter),5.312534761,80.72635802,2.600793983,,,,
Circle (Diameter),4.992991998,85.31804212,2.52136369,,,,
Circle (Diameter),5.13476865,84.40282569,2.556910342,,,,
Circle (Diameter),4.714755317,82.8629121,2.450104674,,,,
Circle (Diameter),3.962248469,82.01760323,2.246083577,,,,
Circle (Diameter),4.821633101,70.88115224,2.477719503,,,,
Circle (Diameter),3.462213121,84.88269919,2.099577733,,,,
Circle (Diameter),4.36304016,80.39597974,2.356946174,,,,
Circle (Diameter),5.6451646,73.74383597,2.680978703,,,,
Circle (Diameter),4.805274257,77.25115461,2.473512726,,,,
Circle (Diameter),4.978132714,65.20334256,2.51760907,,,,
Circle (Diameter),4.951958563,68.19198288,2.510981773,,,,
Circle (Diameter),4.942688551,67.12830869,2.508630407,,,,
Circle (Diameter),4.030955616,72.11823994,2.265473922,,,,
