Name::Name,Area::Area!!R,Intensity Mean Value::Intensity Mean Value!!R,Diameter::Diameter!!R
,µm²,,µm
Circle (Diameter),4.661561569,63.73552221,2.436243939
Circle (Diameter),4.387316623,62.43151353,2.363494239
Circle (Diameter),4.641979817,66.21550154,2.431121607
Circle (Diameter),4.397258128,72.71802102,2.366170521
Circle (Diameter),4.365626067,77.00490969,2.357644533
Circle (Diameter),4.596088224,58.7131435,2.419074467
Circle (Diameter),4.348153119,77.63897672,2.352921694
Circle (Diameter),4.220520264,77.60978801,2.318131424
Circle (Diameter),4.191298265,67.40157629,2.310092356
Circle (Diameter),4.881379287,69.88366182,2.493023293
Circle (Diameter),4.383299853,63.33357336,2.362412053
Circle (Diameter),4.524690144,69.52521207,2.400211328
Circle (Diameter),4.528606495,65.71392948,2.401249856
Circle (Diameter),5.02779054,60.71942752,2.530134727
Circle (Diameter),4.589761812,65.12281262,2.417408993
Circle (Diameter),4.412220595,62.29022291,2.370192765
Circle (Diameter),4.748323793,66.78325742,2.458811425
Circle (Diameter),4.646799941,64.86336096,2.43238349
Circle (Diameter),4.065171699,77.23923034,2.27506865
Circle (Diameter),4.43662247,64.10314095,2.376737927
Circle (Diameter),4.905479905,63.32885305,2.499170062
Circle (Diameter),4.921546983,59.6789464,2.503259523
Circle (Diameter),5.106318386,67.39337748,2.549816954
Circle (Diameter),4.7447087,70.3669849,2.45787525
Circle (Diameter),4.670800139,61.95440847,2.438656893
Circle (Diameter),4.949463532,66.74303152,2.510349118
Circle (Diameter),5.02779054,63.09226264,2.530134727
Circle (Diameter),4.099715918,72.86443938,2.284714518
Circle (Diameter),5.113448152,72.19570927,2.551596441
Circle (Diameter),4.438530436,65.64198936,2.377248929
Circle (Diameter),4.574397668,72.23026673,2.413359485
Circle (Diameter),4.73677558,66.63298709,2.455819615
Circle (Diameter),4.940827477,63.533119,2.508158075
Circle (Diameter),4.565159098,69.61052658,2.410921212
Circle (Diameter),4.829964636,66.99472406,2.479859265
Circle (Diameter),4.562347359,61.30494071,2.41017864
Circle (Diameter),4.5463807,62.29191869,2.405957542
Circle (Diameter),4.691586922,68.30195117,2.44407733
Circle (Diameter),4.895337561,55.78313308,2.496585141
Circle (Diameter),4.584941689,71.38835095,2.41613929
Circle (Diameter),4.817813908,69.10120984,2.476738013
Circle (Diameter),5.180929882,63.47642372,2.568377855
Circle (Diameter),4.432605701,63.58279931,2.375661774
Circle (Diameter),4.715085024,66.6062388,2.450190342
Circle (Diameter),4.600406252,59.89573843,2.420210561
Circle (Diameter),4.558631848,67.6659078,2.409197032
Circle (Diameter),3.871563403,63.95805682,2.220231435
Circle (Diameter),5.043556361,69.96284449,2.534098539
Circle (Diameter),4.087866447,72.79918304,2.281410356
Circle (Diameter),4.105339395,60.56952988,2.286280924
Circle (Diameter),3.541659131,102.1903536,2.123530188
Circle (Diameter),5.596778291,97.22462804,2.669464262
Circle (Diameter),4.939940905,92.3668866,2.507933035
Circle (Diameter),4.865028456,88.49962899,2.488844434
Circle (Diameter),4.897637404,89.15810076,2.497171524
Circle (Diameter),5.502602641,91.38772084,2.646909761
Circle (Diameter),4.900784986,98.69424907,2.497973828
Circle (Diameter),4.61762852,81.17474328,2.424736529
Circle (Diameter),5.330744671,72.99707992,2.605247573
Circle (Diameter),5.352400034,80.25902814,2.610533927
Circle (Diameter),4.375642425,83.71388832,2.360347637
Circle (Diameter),4.849290547,87.34206181,2.484815584
Circle (Diameter),5.114820554,78.08447041,2.55193883
Circle (Diameter),5.249788865,85.1626462,2.585389484
Circle (Diameter),4.992064861,92.15925667,2.521129586
Circle (Diameter),4.289902295,83.46846184,2.33710788
Circle (Diameter),5.056905047,80.50740179,2.537449799
Circle (Diameter),5.196405876,87.67018812,2.572211005
Circle (Diameter),5.312362793,79.09348135,2.600751888
Circle (Diameter),5.342957289,77.47670614,2.608230148
Circle (Diameter),4.804720787,83.6280183,2.473370273
Circle (Diameter),5.139371693,77.81967357,2.558056151
Circle (Diameter),3.926167733,85.22848214,2.235833629
Circle (Diameter),5.127914495,80.57810919,2.555203224
Circle (Diameter),4.528614905,83.82958839,2.401252086
Circle (Diameter),4.45307294,85.11576417,2.381140181
Circle (Diameter),4.866161585,78.68916226,2.489134259
Circle (Diameter),4.735222179,84.19271032,2.455416896
Circle (Diameter),4.750708282,83.67928292,2.459428724
Circle (Diameter),4.262707188,96.66548588,2.329688254
Circle (Diameter),5.18847397,81.91757215,2.570247116
Circle (Diameter),5.389793307,73.06432993,2.619636993
Circle (Diameter),4.40082308,87.59092306,2.36712948
Circle (Diameter),4.570918405,78.49099332,2.412441516
Circle (Diameter),4.38042675,76.15712373,2.361637686
Circle (Diameter),4.916396992,78.02043481,2.501949454
Circle (Diameter),5.291588752,82.75693305,2.595661776
Circle (Diameter),4.790367814,80.02065036,2.469673204
Circle (Diameter),4.717469817,76.05315511,2.450809891
Circle (Diameter),4.280711356,86.94650661,2.334602959
Circle (Diameter),5.037264136,72.50299509,2.532517304
Circle (Diameter),4.434942868,81.73244555,2.376287996
Circle (Diameter),4.22745427,84.2320467,2.320034903
Circle (Diameter),3.920376182,86.08691782,2.234183964
Circle (Diameter),4.979852243,81.00398497,2.518043844
Circle (Diameter),4.989043182,88.50414867,2.520366455
Circle (Diameter),5.041796654,85.18539187,2.533656424
Circle (Diameter),5.168707156,85.17513127,2.565346438
Circle (Diameter),4.901414502,90.4256014,2.498134258
Circle (Diameter),4.750708282,82.23388341,2.459428724
Circle (Diameter),4.847401997,89.2000249,2.484331683
Circle (Diameter),5.191495648,87.61018123,2.570995441
