Name::Name,Area::Area!!R,Intensity Mean Value::Intensity Mean Value!!R,Diameter::Diameter!!R,,,mean,median,sd,se,max,min
,µm²,,µm,,,2.142434116,2.145644968,0.111907877,0.010435463,2.465842276,1.750520641
Circle (Diameter),3.773686344,84.98479008,2.191986926,,,,,,,,
Circle (Diameter),3.864431592,70.59523254,2.218185547,,,,,,,,
Circle (Diameter),3.712502047,57.88755959,2.174144525,,,,,,,,
Circle (Diameter),3.596517049,66.09472827,2.139913019,,,,,,,,
Circle (Diameter),4.127239261,52.07627628,2.292370877,,,,,,,,
Circle (Diameter),3.791756826,56.9946179,2.197228876,,,,,,,,
Circle (Diameter),3.79018548,68.69269873,2.196773551,,,,,,,,
Circle (Diameter),3.699734859,69.87519406,2.170402895,,,,,,,,
Circle (Diameter),3.271739411,79.33090108,2.041006614,,,,,,,,
Circle (Diameter),3.50351299,74.46868973,2.112063277,,,,,,,,
Circle (Diameter),3.731358203,64.99021828,2.179658877,,,,,,,,
Circle (Diameter),3.680289448,65.5255841,2.164691678,,,,,,,,
Circle (Diameter),3.94732011,65.16347586,2.241848358,,,,,,,,
Circle (Diameter),4.142854515,58.67078771,2.296703332,,,,,,,,
Circle (Diameter),4.127632097,61.75205304,2.29247997,,,,,,,,
Circle (Diameter),3.596517049,60.81184614,2.139913019,,,,,,,,
Circle (Diameter),2.885875685,72.13031791,1.916875333,,,,,,,,
Circle (Diameter),3.504986127,68.85310934,2.112507264,,,,,,,,
Circle (Diameter),3.218902891,76.93735303,2.024459052,,,,,,,,
Circle (Diameter),3.466586352,74.41068296,2.100903336,,,,,,,,
Circle (Diameter),3.642086091,65.29642117,2.153427045,,,,,,,,
Circle (Diameter),3.942213234,57.71170785,2.240397684,,,,,,,,
Circle (Diameter),3.447533778,75.80355393,2.095122034,,,,,,,,
Circle (Diameter),3.419347754,72.3255722,2.086539905,,,,,,,,
Circle (Diameter),3.416205061,67.22442048,2.085580825,,,,,,,,
Circle (Diameter),3.607221845,64.2577268,2.143095308,,,,,,,,
Circle (Diameter),4.004183204,61.01633078,2.257938086,,,,,,,,
Circle (Diameter),3.181288789,63.46975328,2.012596008,,,,,,,,
Circle (Diameter),3.235794864,58.14068812,2.029764021,,,,,,,,
Circle (Diameter),3.869440259,59.17608727,2.21962257,,,,,,,,
Circle (Diameter),3.200046736,57.56501706,2.018520758,,,,,,,,
Circle (Diameter),3.419347754,60.08612629,2.086539905,,,,,,,,
Circle (Diameter),3.991612433,52.52724191,2.254391004,,,,,,,,
Circle (Diameter),3.197100462,59.21432342,2.01759132,,,,,,,,
Circle (Diameter),3.638550562,64.21128243,2.152381579,,,,,,,,
Circle (Diameter),3.540636046,69.18679641,2.123223452,,,,,,,,
Circle (Diameter),3.719769524,68.81692913,2.176271503,,,,,,,,
Circle (Diameter),3.300023644,61.60992085,2.049809894,,,,,,,,
Circle (Diameter),3.227250669,81.04407646,2.027082429,,,,,,,,
Circle (Diameter),3.426025975,76.32734925,2.08857649,,,,,,,,
Circle (Diameter),3.307094702,68.86227443,2.052004813,,,,,,,,
Circle (Diameter),3.735974033,71.02318998,2.18100662,,,,,,,,
Circle (Diameter),3.560081456,80.34359688,2.129045911,,,,,,,,
Circle (Diameter),2.915043801,73.10865036,1.926538098,,,,,,,,
Circle (Diameter),3.347065824,69.28538744,2.064368321,,,,,,,,
Circle (Diameter),3.007753233,76.11280978,1.956933917,,,,,,,,
