Name::Name,Area::Area!!R,Intensity Mean Value::Intensity Mean Value!!R,Diameter::Diameter!!R,,,mean,median,sd,se,max,min
,µm²,,µm,,,2.131573476,2.163853921,0.213441745,0.018169368,2.520212891,1.234010929
Circle (Diameter),3.084650992,71.41936781,1.981792024,,,,,,,,
Circle (Diameter),2.252623127,90.92977038,1.693555091,,,,,,,,
Circle (Diameter),3.842432744,68.39600973,2.211862861,,,,,,,,
Circle (Diameter),4.688995562,56.74810702,2.443402254,,,,,,,,
Circle (Diameter),3.462657986,57.93699993,2.099712618,,,,,,,,
Circle (Diameter),3.905679433,70.03474024,2.229992265,,,,,,,,
Circle (Diameter),4.031779973,71.9952276,2.265705563,,,,,,,,
Circle (Diameter),4.113489981,75.09345256,2.288549346,,,,,,,,
Circle (Diameter),2.958255824,70.43889544,1.940764875,,,,,,,,
Circle (Diameter),3.502923735,70.58386132,2.111885655,,,,,,,,
Circle (Diameter),3.812577165,76.52164668,2.203253053,,,,,,,,
Circle (Diameter),3.253079673,82.73881889,2.035178047,,,,,,,,
Circle (Diameter),3.594651075,72.45009086,2.139357824,,,,,,,,
Circle (Diameter),4.014495164,73.47139087,2.260843647,,,,,,,,
Circle (Diameter),4.738100134,67.59530673,2.456162954,,,,,,,,
Circle (Diameter),2.138307684,62.82576713,1.650023607,,,,,,,,
Circle (Diameter),3.77525769,54.56335591,2.192443245,,,,,,,,
Circle (Diameter),4.041993724,54.45674364,2.268573616,,,,,,,,
Circle (Diameter),3.336459236,71.45320638,2.061094816,,,,,,,,
Circle (Diameter),3.828290628,68.23062883,2.207788716,,,,,,,,
Circle (Diameter),2.881554483,71.89929879,1.915439667,,,,,,,,
Circle (Diameter),2.298093961,68.88963931,1.710562512,,,,,,,,
Circle (Diameter),3.652692679,68.92533671,2.156560401,,,,,,,,
Circle (Diameter),2.445898722,69.72975709,1.764713851,,,,,,,,
Circle (Diameter),4.537458854,57.60671278,2.403595649,,,,,,,,
Circle (Diameter),3.830647647,57.26562087,2.208468262,,,,,,,,
Circle (Diameter),4.118695065,60.80043794,2.289996819,,,,,,,,
Circle (Diameter),3.62843502,64.5471119,2.149387576,,,,,,,,
Circle (Diameter),4.71452994,60.17412198,2.450046113,,,,,,,,
Circle (Diameter),4.291444949,62.51087585,2.337528056,,,,,,,,
Circle (Diameter),3.636193543,72.11513668,2.15168432,,,,,,,,
Circle (Diameter),3.474639501,79.99760005,2.103342202,,,,,,,,
Circle (Diameter),3.046938681,74.06251387,1.969640277,,,,,,,,
Circle (Diameter),4.221520039,58.48986946,2.318405972,,,,,,,,
Circle (Diameter),3.495656258,75.62878398,2.109693765,,,,,,,,
Circle (Diameter),3.622837099,61.81186335,2.147728907,,,,,,,,
Circle (Diameter),3.356788529,79.16316461,2.067364481,,,,,,,,
Circle (Diameter),4.176834878,63.17979983,2.306103063,,,,,,,,
Circle (Diameter),2.008671615,79.05388015,1.599224853,,,,,,,,
Circle (Diameter),1.684876068,63.64666667,1.464667484,,,,,,,,
Circle (Diameter),3.907250779,64.22316026,2.230440809,,,,,,,,
Circle (Diameter),4.214743608,77.04000855,2.316544459,,,,,,,,
Circle (Diameter),3.243356968,50.7132154,2.032134432,,,,,,,,
Circle (Diameter),3.992987362,71.90168927,2.254779238,,,,,,,,
Circle (Diameter),2.915829474,70.66288831,1.926797704,,,,,,,,
Circle (Diameter),4.590000746,63.86284338,2.417471915,,,,,,,,
Circle (Diameter),4.200601491,72.48155095,2.312654736,,,,,,,,
Circle (Diameter),4.290757485,69.46968583,2.33734082,,,,,,,,
Circle (Diameter),3.319469055,65.46358919,2.055840283,,,,,,,,
Circle (Diameter),3.773686344,65.57082339,2.191986926,,,,,,,,
Circle (Diameter),3.680289448,64.39325396,2.164691678,,,,,,,,
Circle (Diameter),1.195990951,45.1705921,1.234010929,,,,,,,,
Circle (Diameter),3.376528567,59.77997466,2.073434276,,,,,,,,
Circle (Diameter),3.659076273,60.98800812,2.158444025,,,,,,,,
Circle (Diameter),3.539457536,51.2108428,2.122870062,,,,,,,,
Circle (Diameter),3.243356968,64.37412345,2.032134432,,,,,,,,
Circle (Diameter),3.839191843,64.25817894,2.210929866,,,,,,,,
Circle (Diameter),2.013091026,84.53155015,1.600983167,,,,,,,,
Circle (Diameter),3.55163547,63.53350033,2.126518923,,,,,,,,
Circle (Diameter),3.50459329,63.26647592,2.112388876,,,,,,,,
Circle (Diameter),2.287290955,72.10872661,1.706537223,,,,,,,,
Circle (Diameter),3.518637198,75.10002241,2.116617118,,,,,,,,
Circle (Diameter),3.476210848,65.39734863,2.103817748,,,,,,,,
Circle (Diameter),3.677441383,83.70582286,2.163853921,,,,,,,,
Circle (Diameter),3.204858984,76.25610742,2.020037919,,,,,,,,
Circle (Diameter),2.12966528,84.14371732,1.646685778,,,,,,,,
Circle (Diameter),3.812970001,76.54031853,2.203366558,,,,,,,,
Circle (Diameter),3.526297511,88.00657601,2.118919875,,,,,,,,
Circle (Diameter),3.138174975,93.98194155,1.998911823,,,,,,,,
Circle (Diameter),3.685003487,66.3797623,2.166077598,,,,,,,,
Circle (Diameter),4.988435241,54.36373583,2.520212891,,,,,,,,
Circle (Diameter),4.246268743,59.65632324,2.32519188,,,,,,,,
Circle (Diameter),2.766551576,58.12001952,1.876827874,,,,,,,,
Circle (Diameter),3.911277354,58.98631124,2.231589792,,,,,,,,
Circle (Diameter),4.591670301,66.70413824,2.417911538,,,,,,,,
Circle (Diameter),2.88194732,66.20870853,1.915570227,,,,,,,,
Circle (Diameter),3.928365745,65.29374261,2.236459392,,,,,,,,
Circle (Diameter),3.992987362,57.00276547,2.254779238,,,,,,,,
Circle (Diameter),4.195985661,65.90968788,2.311383757,,,,,,,,
Circle (Diameter),4.364119715,58.23072151,2.357237748,,,,,,,,
Circle (Diameter),4.283195381,57.23479588,2.335280227,,,,,,,,
Circle (Diameter),3.83143332,59.88550763,2.208694731,,,,,,,,
Circle (Diameter),3.724581772,62.60060514,2.177678764,,,,,,,,
Circle (Diameter),3.67429869,60.08356051,2.162929123,,,,,,,,
Circle (Diameter),2.464263832,64.90837816,1.771326666,,,,,,,,
Circle (Diameter),1.659734527,67.37671929,1.453698605,,,,,,,,
Circle (Diameter),3.660647619,50.25070153,2.158907434,,,,,,,,
Circle (Diameter),3.850584103,52.7533193,2.214207748,,,,,,,,
Circle (Diameter),4.576546093,53.66276324,2.413926151,,,,,,,,
Circle (Diameter),3.253177883,57.49590093,2.035208767,,,,,,,,
Circle (Diameter),3.890064179,55.01912101,2.225529947,,,,,,,,
Circle (Diameter),3.474639501,73.91733152,2.103342202,,,,,,,,
Circle (Diameter),3.759544227,90.98938849,2.187875769,,,,,,,,
Circle (Diameter),3.719573106,69.72888647,2.176214045,,,,,,,,
Circle (Diameter),3.901849276,60.5788561,2.228898561,,,,,,,,
Circle (Diameter),3.350601353,67.35687145,2.065458337,,,,,,,,
Circle (Diameter),3.400393389,59.24180559,2.080748743,,,,,,,,
Circle (Diameter),3.714760858,62.68376354,2.174805836,,,,,,,,
Circle (Diameter),4.304015719,60.44310485,2.34094917,,,,,,,,
Circle (Diameter),4.02981579,50.5528171,2.265153598,,,,,,,,
Circle (Diameter),3.457354692,55.95504007,2.098104076,,,,,,,,
Circle (Diameter),4.059180324,69.72525398,2.273391499,,,,,,,,
Circle (Diameter),3.506557473,69.19329243,2.112980748,,,,,,,,
Circle (Diameter),4.018325321,77.71556265,2.261921904,,,,,,,,
Circle (Diameter),3.007655024,82.84168224,1.956901968,,,,,,,,
Circle (Diameter),3.728019092,72.38343549,2.178683394,,,,,,,,
Circle (Diameter),3.649549986,75.62805631,2.155632474,,,,,,,,
Circle (Diameter),3.123541813,63.78043071,1.994245962,,,,,,,,
Circle (Diameter),3.717510714,65.27189261,2.175610638,,,,,,,,
Circle (Diameter),3.554483535,64.5357075,2.127371382,,,,,,,,
Circle (Diameter),4.219555856,72.324667,2.317866557,,,,,,,,
Circle (Diameter),3.967649402,77.63307494,2.247613872,,,,,,,,
Circle (Diameter),3.32231712,84.00908167,2.056722037,,,,,,,,
