Name::Name,Area::Area!!R,Intensity Mean Value::Intensity Mean Value!!R,Diameter::Diameter!!R
,µm²,,µm
Circle (Diameter),4.999336456,100.1822772,2.522965096
Circle (Diameter),4.533039442,110.4138617,2.402424832
Circle (Diameter),4.252455919,105.6320487,2.326885265
Circle (Diameter),4.695575575,98.23042205,2.445116052
Circle (Diameter),4.514183287,105.0413595,2.397422923
Circle (Diameter),4.620740208,89.83737744,2.425553372
Circle (Diameter),4.359405676,95.50086592,2.355964282
Circle (Diameter),4.456534519,87.21679648,2.382065487
Circle (Diameter),4.114275654,83.32615005,2.288767891
Circle (Diameter),4.780919321,92.95268072,2.467236417
Circle (Diameter),4.532646606,93.86227307,2.402320732
Circle (Diameter),4.005361714,104.7989919,2.258270339
Circle (Diameter),3.275176731,115.0911341,2.042078483
Circle (Diameter),4.39682336,99.58792617,2.366053544
Circle (Diameter),4.309122595,96.30179603,2.34233757
Circle (Diameter),4.596187922,96.60239398,2.419100704
Circle (Diameter),3.792051454,107.1649138,2.197314239
Circle (Diameter),5.194183397,90.68948066,2.571660884
Circle (Diameter),4.373449584,84.16019185,2.359756122
Circle (Diameter),4.425402221,78.22680596,2.373730631
Circle (Diameter),4.210618824,90.19432992,2.315410632
Circle (Diameter),4.702450215,112.273365,2.446905305
Circle (Diameter),4.196280289,93.08123054,2.311464904
Circle (Diameter),4.669353734,89.93090373,2.438279275
Circle (Diameter),4.54128901,98.99257825,2.404609896
Circle (Diameter),4.787597543,100.9113165,2.468958994
Circle (Diameter),4.41636698,96.27893099,2.371306198
Circle (Diameter),4.127632097,93.47814461,2.29247997
Circle (Diameter),4.560930839,98.98045466,2.409804454
Circle (Diameter),4.139417195,95.81581666,2.295750349
Circle (Diameter),5.016228429,90.65129923,2.527223853
Circle (Diameter),4.445535095,93.8306241,2.379124015
Circle (Diameter),4.556315009,83.62483621,2.40858474
Circle (Diameter),4.640578455,80.72686197,2.430754615
Circle (Diameter),4.192057296,82.08933803,2.310301522
Circle (Diameter),4.299694517,86.53573956,2.339773726
Circle (Diameter),4.580179831,89.85551125,2.414884279
Circle (Diameter),4.533530488,103.119545,2.402554951
Circle (Diameter),4.356754029,94.35139611,2.355247655
Circle (Diameter),4.537753481,90.80306188,2.403673683
Circle (Diameter),4.209734941,83.19533863,2.315167597
Circle (Diameter),4.516834934,84.64764212,2.398126947
Circle (Diameter),4.356164775,91.51519544,2.355088375
Circle (Diameter),4.034529829,101.1153707,2.266478088
Circle (Diameter),4.296551824,94.72178657,2.338918487
Circle (Diameter),4.333183835,84.18355879,2.348868028
Circle (Diameter),4.596286131,86.19740553,2.419126549
Circle (Diameter),3.724581772,84.71455342,2.177678764
Circle (Diameter),4.153461102,82.7222418,2.299641477
Circle (Diameter),4.472247982,83.81828733,2.386261299
Circle (Diameter),4.548360069,76.32591033,2.406481229
Circle (Diameter),4.129694489,77.84626527,2.293052623
Circle (Diameter),4.830514938,81.6701329,2.480000532
Circle (Diameter),4.023923242,82.24589399,2.263496896
Circle (Diameter),4.617892142,83.83103196,2.424805743
Circle (Diameter),3.775159481,87.74411317,2.192414728
Circle (Diameter),4.34290654,76.78579212,2.351501721
Circle (Diameter),4.519682999,78.46360669,2.398882891
Circle (Diameter),4.571537427,78.55668501,2.412604864
Circle (Diameter),4.271017447,73.56097432,2.331958042
Circle (Diameter),3.696297539,107.0090955,2.169394431
Circle (Diameter),4.357539703,104.6233253,2.355460012
Circle (Diameter),4.564633611,97.94715026,2.41078245
Circle (Diameter),3.596603969,101.4662846,2.139938878
Circle (Diameter),4.920684777,96.22612639,2.50304024
Circle (Diameter),4.551906845,99.75706187,2.407419324
Circle (Diameter),3.816538395,108.7609972,2.204397334
Circle (Diameter),4.653223834,98.35671168,2.434064214
Circle (Diameter),4.339131225,94.98915159,2.350479412
Circle (Diameter),4.645269605,98.86243386,2.431982927
Circle (Diameter),4.490361,93.97471247,2.391088705
Circle (Diameter),3.978009239,99.69785089,2.250546305
Circle (Diameter),4.806442166,84.07742299,2.473813298
Circle (Diameter),4.250938714,91.07640271,2.326470132
Circle (Diameter),4.106470034,79.67934007,2.286595731
Circle (Diameter),4.272713415,84.15889255,2.332420992
Circle (Diameter),4.154593118,91.6664314,2.299954836
Circle (Diameter),4.058645233,99.57965424,2.273241652
Circle (Diameter),4.545941174,98.61271203,2.40584124
Circle (Diameter),4.430505429,109.3978894,2.375098885
Circle (Diameter),4.393219981,94.83079687,2.365083806
Circle (Diameter),4.431499707,85.88770448,2.375365376
Circle (Diameter),4.302541773,93.27604003,2.340548297
Circle (Diameter),4.427025453,92.37668253,2.374165932
Circle (Diameter),4.141369212,91.54328781,2.296291587
Circle (Diameter),4.791726843,86.08903465,2.470023503
Circle (Diameter),4.370948141,76.35723309,2.359081181
Circle (Diameter),4.437763662,96.81016518,2.377043581
Circle (Diameter),3.988349736,101.4633802,2.253469459
Circle (Diameter),4.814794106,92.50788821,2.475961683
Circle (Diameter),4.078928517,93.61980116,2.278914893
Circle (Diameter),4.506567741,85.94171748,2.395399812
Circle (Diameter),4.166524461,99.93429336,2.303255024
Circle (Diameter),4.065108044,95.72036172,2.275050838
Circle (Diameter),3.598592526,85.00834975,2.140530381
Circle (Diameter),4.313677693,94.42967995,2.343575265
Circle (Diameter),4.300254932,92.91036796,2.339926202
Circle (Diameter),4.185912894,95.47592114,2.308607768
Circle (Diameter),4.560258785,87.92924097,2.409626905
Circle (Diameter),4.430505429,88.09744567,2.375098885
Circle (Diameter),4.411614135,92.34675484,2.370029868
Circle (Diameter),4.612856123,90.78989459,2.423483202
Circle (Diameter),4.152505133,91.23247993,2.299376817
Circle (Diameter),3.902841777,99.73931118,2.229182022
Circle (Diameter),3.954245981,87.48051911,2.243814242
Circle (Diameter),3.659442376,90.98113382,2.158552002
Circle (Diameter),4.411614135,86.02839777,2.370029868
Circle (Diameter),3.694739267,81.08578121,2.1689371
Circle (Diameter),3.798243669,83.41580439,2.199107555
Circle (Diameter),4.065108044,81.12798625,2.275050838
Circle (Diameter),3.673362277,82.47647672,2.162653489
Circle (Diameter),4.309700579,80.04123523,2.342494654
Circle (Diameter),4.306916599,76.96957319,2.341737929
Circle (Diameter),4.376615529,79.3791097,2.360610083
Circle (Diameter),4.385166324,76.72228251,2.362914974
Circle (Diameter),3.987554314,72.38800192,2.253244736
Circle (Diameter),3.996602249,71.91717445,2.255799643
Circle (Diameter),4.186807744,78.42039998,2.308854518
Circle (Diameter),3.391882006,86.28227252,2.078142993
Circle (Diameter),3.770801579,93.39776663,2.191148942
Circle (Diameter),3.456907826,90.78885344,2.097968481
