Name::Name,Area::Area!!R,Intensity Mean Value::Intensity Mean Value!!R,Diameter::Diameter!!R,,,,
,µm²,,µm,,,,
Circle (Diameter),3.634293469,48.91069549,2.151122071,,,,
Circle (Diameter),3.442577008,53.84870378,2.093615338,,,Column1,
Circle (Diameter),3.705690468,62.30927741,2.172149084,,,,
Circle (Diameter),3.573326641,66.47237891,2.133002763,,,Mean,2.197578374
Circle (Diameter),4.061309604,60.05666815,2.273987685,,,Standard Error,0.012556986
Circle (Diameter),3.179960222,76.04122181,2.012175714,,,Median,2.199726365
Circle (Diameter),3.791118528,66.39371435,2.19704393,,,Mode,#N/A
Circle (Diameter),4.014373838,59.74621372,2.260809483,,,Standard Deviation,0.126819343
Circle (Diameter),3.206656491,65.61581742,2.020604328,,,Sample Variance,0.016083146
Circle (Diameter),4.368999625,58.63061482,2.358555298,,,Kurtosis,0.111966946
Circle (Diameter),3.960732963,57.14595672,2.245653988,,,Skewness,-0.037791599
Circle (Diameter),4.029149912,63.35371693,2.264966446,,,Range,0.638133348
Circle (Diameter),4.371234661,54.75027715,2.3591585,,,Minimum,1.869051526
Circle (Diameter),4.246817631,55.09369608,2.325342157,,,Maximum,2.507184874
Circle (Diameter),3.487277737,64.53015351,2.107163951,,,Sum,224.1529942
Circle (Diameter),3.592945295,69.030912,2.138850166,,,Count,102
Circle (Diameter),3.691286899,58.78042231,2.167923534,,,,0
Circle (Diameter),3.846373597,74.17148797,2.212996829,,,,
Circle (Diameter),4.20695948,62.0009659,2.314404281,,,,
Circle (Diameter),4.095083488,56.91013412,2.283423359,,,,
Circle (Diameter),3.672413258,58.4234284,2.162374108,,,,
Circle (Diameter),3.652546267,58.47395062,2.15651718,,,,
Circle (Diameter),3.93726508,56.17541401,2.238991201,,,,
Circle (Diameter),3.425193391,70.28789323,2.088322694,,,,
Circle (Diameter),4.051003602,55.45235975,2.27110061,,,,
Circle (Diameter),4.913603511,62.99421634,2.501238553,,,,
Circle (Diameter),3.825016581,56.27340714,2.206844437,,,,
Circle (Diameter),4.155801979,56.11562432,2.300289421,,,,
Circle (Diameter),3.312075712,52.57177822,2.053549554,,,,
Circle (Diameter),3.731269218,53.36931252,2.179632887,,,,
Circle (Diameter),4.166232149,53.35877243,2.303174228,,,,
Circle (Diameter),3.719349024,53.66200085,2.176148492,,,,
Circle (Diameter),4.072733124,50.71969488,2.277183539,,,,
Circle (Diameter),3.774355755,63.59277828,2.192181334,,,,
Circle (Diameter),3.441459489,58.18761652,2.093275499,,,,
Circle (Diameter),3.844511066,58.23685907,2.212460965,,,,
Circle (Diameter),4.229930689,59.86918427,2.320714335,,,,
Circle (Diameter),3.779695009,56.87385642,2.193731331,,,,
Circle (Diameter),3.98184164,52.1838254,2.251630129,,,,
Circle (Diameter),3.349698825,55.17920689,2.065180139,,,,
Circle (Diameter),4.140280892,65.56045929,2.295989843,,,,
Circle (Diameter),4.164742125,60.3713915,2.302762334,,,,
Circle (Diameter),4.10154026,72.33318686,2.285222802,,,,
Circle (Diameter),3.458098094,73.99534278,2.098329632,,,,
Circle (Diameter),4.008413741,54.64948192,2.25913056,,,,
Circle (Diameter),3.67787668,72.8742304,2.163981985,,,,
