Name::Name,Area::Area!!R,Intensity Mean Value::Intensity Mean Value!!R,Diameter::Diameter!!R,,,,
,µm²,,µm,,,,
Circle (Diameter),4.187637884,43.146176,2.309083401,,,,
Circle (Diameter),3.616649923,39.98098706,2.14589415,,,Column1,
Circle (Diameter),3.367493326,41.60589337,2.070658269,,,,
Circle (Diameter),4.173888604,41.29507046,2.305289575,,,Mean,2.179465136
Circle (Diameter),2.387366072,39.01519428,1.743470359,,,Standard Error,0.018395269
Circle (Diameter),1.712080001,38.20668673,1.476444364,,,Median,2.228058968
Circle (Diameter),4.083143355,36.76558748,2.280092013,,,Mode,2.309083401
Circle (Diameter),3.95763207,37.09327647,2.244774745,,,Standard Deviation,0.221508377
Circle (Diameter),3.907250779,39.97844964,2.230440809,,,Sample Variance,0.049065961
Circle (Diameter),3.496245513,47.54949091,2.109871571,,,Kurtosis,1.990760999
Circle (Diameter),1.822958124,33.81984639,1.523503322,,,Skewness,-1.179802289
Circle (Diameter),3.798435048,40.18652865,2.199162957,,,Range,1.160026021
Circle (Diameter),3.37387692,38.66761184,2.072619964,,,Minimum,1.462659831
Circle (Diameter),2.899526756,44.48815718,1.921403687,,,Maximum,2.622685852
Circle (Diameter),4.237135293,36.60242053,2.322689865,,,Sum,316.0224447
Circle (Diameter),4.007031269,38.81562078,2.258740948,,,Count,145
Circle (Diameter),3.246499661,39.78062303,2.033118725,,,,0
Circle (Diameter),3.764258266,37.09084104,2.189247012,,,,
Circle (Diameter),3.833397503,44.35726682,2.209260802,,,,
Circle (Diameter),2.961987772,44.3664601,1.941988662,,,,
Circle (Diameter),3.517949734,39.31436158,2.116410338,,,,
Circle (Diameter),1.680260238,36.52382859,1.462659831,,,,
Circle (Diameter),3.600150787,41.6878714,2.140993776,,,,
Circle (Diameter),4.794668601,33.86816259,2.47078159,,,,
Circle (Diameter),4.565252041,31.14915463,2.410945754,,,,
Circle (Diameter),2.446782604,27.56999496,1.765032682,,,,
Circle (Diameter),4.172415467,32.67512169,2.304882724,,,,
Circle (Diameter),3.444391085,37.55363853,2.094166884,,,,
Circle (Diameter),4.062126599,41.48127704,2.274216397,,,,
Circle (Diameter),3.427204485,43.12780844,2.088935681,,,,
Circle (Diameter),4.179191898,36.59110392,2.306753647,,,,
