Name::Name,Area::Area!!R,Intensity Mean Value::Intensity Mean Value!!R,Diameter::Diameter!!R,,,mean,median,sd,se,max,min
,µm²,,µm,,,2.162855187,2.218630121,0.215577906,0.018553992,2.587385519,1.486580248
Circle (Diameter),3.827453557,57.26425002,2.207547332,,,,,,,,
Circle (Diameter),4.321735781,49.89417286,2.34576318,,,,,,,,
Circle (Diameter),3.054025144,51.96398626,1.971929407,,,,,,,,
Circle (Diameter),2.150144255,56.25838646,1.654584145,,,,,,,,
Circle (Diameter),3.552950591,55.65493962,2.126912597,,,,,,,,
Circle (Diameter),3.888920996,49.32713712,2.225202912,,,,,,,,
Circle (Diameter),3.829554063,52.30470474,2.208153,,,,,,,,
Circle (Diameter),3.868689806,49.36397208,2.219407319,,,,,,,,
Circle (Diameter),2.075963228,53.49732012,1.625791646,,,,,,,,
Circle (Diameter),3.324658757,60.95433759,2.057446719,,,,,,,,
Circle (Diameter),4.209192881,50.26046847,2.315018537,,,,,,,,
Circle (Diameter),3.960890964,62.9915288,2.245698779,,,,,,,,
Circle (Diameter),3.876539066,62.56502047,2.221657677,,,,,,,,
Circle (Diameter),2.410054232,61.92558552,1.75173524,,,,,,,,
Circle (Diameter),4.518077814,43.04373018,2.398456866,,,,,,,,
Circle (Diameter),4.722048,51.15625895,2.451998827,,,,,,,,
Circle (Diameter),3.932589409,54.54328657,2.237661357,,,,,,,,
Circle (Diameter),4.273203037,56.10075188,2.332554627,,,,,,,,
Circle (Diameter),2.392918525,46.08049274,1.745496632,,,,,,,,
Circle (Diameter),3.825131945,53.81359378,2.206877717,,,,,,,,
Circle (Diameter),3.715684529,53.90799127,2.1750762,,,,,,,,
Circle (Diameter),3.993725189,65.41268185,2.254987548,,,,,,,,
Circle (Diameter),3.982780447,56.93260587,2.251895549,,,,,,,,
Circle (Diameter),4.250650236,63.89192556,2.326391191,,,,,,,,
Circle (Diameter),3.9810116,61.72137415,2.251395433,,,,,,,,
Circle (Diameter),3.994056848,59.64538867,2.255081179,,,,,,,,
Circle (Diameter),4.343072499,57.74875402,2.351546651,,,,,,,,
Circle (Diameter),4.1010721,62.44041508,2.285092377,,,,,,,,
Circle (Diameter),4.057956451,71.59562113,2.273048751,,,,,,,,
Circle (Diameter),3.334719075,64.35417932,2.060557254,,,,,,,,
Circle (Diameter),3.568870216,66.14487811,2.131672275,,,,,,,,
Circle (Diameter),3.826569134,59.4048032,2.207292265,,,,,,,,
Circle (Diameter),2.624637501,59.82581309,1.828056962,,,,,,,,
Circle (Diameter),3.832760099,70.53177985,2.20907712,,,,,,,,
Circle (Diameter),4.397796208,71.98657133,2.366315288,,,,,,,,
Circle (Diameter),3.901413479,69.96948174,2.228774085,,,,,,,,
Circle (Diameter),3.43620668,76.48536593,2.091677372,,,,,,,,
Circle (Diameter),4.25341406,63.61606764,2.327147391,,,,,,,,
Circle (Diameter),3.851001335,72.84024223,2.214327705,,,,,,,,
Circle (Diameter),3.72662927,73.55680169,2.178277245,,,,,,,,
Circle (Diameter),5.257898131,77.3130744,2.587385519,,,,,,,,
Circle (Diameter),2.296405803,68.35321775,1.709934115,,,,,,,,
Circle (Diameter),3.532608849,64.59634869,2.12081524,,,,,,,,
Circle (Diameter),4.415484679,64.93227346,2.371069316,,,,,,,,
Circle (Diameter),3.883172242,68.37738258,2.223557613,,,,,,,,
Circle (Diameter),4.222459235,66.10135568,2.318663855,,,,,,,,
Circle (Diameter),3.492146471,73.55755407,2.108634388,,,,,,,,
Circle (Diameter),4.042810697,65.52881639,2.268802867,,,,,,,,
Circle (Diameter),4.309464404,71.73382291,2.342430468,,,,,,,,
Circle (Diameter),3.508176648,71.27840909,2.113468533,,,,,,,,
Circle (Diameter),3.765543907,66.7541562,2.189620837,,,,,,,,
Circle (Diameter),3.943202492,77.75360704,2.240678769,,,,,,,,
Circle (Diameter),4.637143337,69.81366233,2.429854784,,,,,,,,
Circle (Diameter),3.949172351,74.33039585,2.242374279,,,,,,,,
Circle (Diameter),4.247444201,67.41927609,2.32551369,,,,,,,,
Circle (Diameter),4.781414932,65.91021475,2.467364296,,,,,,,,
Circle (Diameter),4.049443874,62.10380902,2.270663356,,,,,,,,
