Name::Name,Area::Area!!R,Intensity Mean Value::Intensity Mean Value!!R,Diameter::Diameter!!R,,,,
,µm²,,µm,,,,
Circle (Diameter),4.037672522,48.74465233,2.267360651,,,,
Circle (Diameter),3.767793795,35.92295725,2.190274881,,,Column1,
Circle (Diameter),3.636979216,40.2343126,2.151916764,,,,
Circle (Diameter),3.66054941,41.86691863,2.158878474,,,Mean,2.092380384
Circle (Diameter),3.984934212,46.35650231,2.252504344,,,Standard Error,0.015070845
Circle (Diameter),3.696297539,46.84085779,2.169394431,,,Median,2.097895471
Circle (Diameter),3.399018461,44.9236072,2.080328031,,,Mode,2.097895471
Circle (Diameter),3.273998221,48.37349605,2.041711048,,,Standard Deviation,0.16440351
Circle (Diameter),3.40825012,55.98016529,2.083151178,,,Sample Variance,0.027028514
Circle (Diameter),3.734304477,40.74344208,2.180519235,,,Kurtosis,1.241315528
Circle (Diameter),3.622051426,45.23373756,2.147496009,,,Skewness,-0.67008827
Circle (Diameter),4.78445485,43.15318266,2.46814852,,,Range,0.916662443
Circle (Diameter),3.772900671,42.36163034,2.19175873,,,Minimum,1.554419302
Circle (Diameter),3.472675319,45.67773019,2.102747617,,,Maximum,2.471081745
Circle (Diameter),3.456667228,44.58647082,2.097895471,,,Sum,248.9932657
Circle (Diameter),3.690012153,48.2036579,2.167549168,,,Count,119
Circle (Diameter),3.454015581,36.43099795,2.097090658,,,,0
Circle (Diameter),3.428775831,43.54303635,2.089414506,,,,
Circle (Diameter),3.456667228,41.12817672,2.097895471,,,,
Circle (Diameter),2.954916713,45.08860952,1.939669253,,,,
Circle (Diameter),3.005690841,51.54231259,1.956262875,,,,
Circle (Diameter),4.212975843,48.71849436,2.316058601,,,,
Circle (Diameter),3.655835371,46.00190993,2.157487929,,,,
Circle (Diameter),3.766222449,41.28857476,2.18981811,,,,
Circle (Diameter),3.119613447,53.21469538,1.992991522,,,,
Circle (Diameter),3.960774762,44.9549009,2.245665838,,,,
Circle (Diameter),3.753946306,38.51339031,2.1862463,,,,
Circle (Diameter),3.157031131,45.28773383,2.004908197,,,,
Circle (Diameter),3.495656258,42.92041244,2.109693765,,,,
Circle (Diameter),3.117943892,47.82404162,1.992458145,,,,
Circle (Diameter),3.097319972,48.23392195,1.985857566,,,,
Circle (Diameter),3.72134087,40.31772363,2.176731117,,,,
Circle (Diameter),3.307683957,39.05448107,2.052187617,,,,
Circle (Diameter),3.899492257,43.35545995,2.228225246,,,,
Circle (Diameter),3.308175003,41.93714694,2.052339941,,,,
Circle (Diameter),4.172415467,44.29974083,2.304882724,,,,
Circle (Diameter),2.588989444,45.33658939,1.815600105,,,,
Circle (Diameter),3.352663745,46.79376386,2.066093914,,,,
Circle (Diameter),2.533108442,46.21390184,1.795899173,,,,
Circle (Diameter),2.074668159,44.57029178,1.62528445,,,,
Circle (Diameter),2.588498399,57.77152793,1.815427917,,,,
Circle (Diameter),3.980318382,43.9922641,2.251199406,,,,
Circle (Diameter),3.119122402,40.85837994,1.992834661,,,,
Circle (Diameter),3.3188798,39.61601385,2.055657804,,,,
Circle (Diameter),2.717054168,42.03676105,1.859962583,,,,
Circle (Diameter),3.431918524,46.51846624,2.090371828,,,,
Circle (Diameter),1.985887093,41.81854702,1.590128919,,,,
Circle (Diameter),3.342744622,52.02066296,2.063035298,,,,
Circle (Diameter),2.860243099,46.84221102,1.908343423,,,,
Circle (Diameter),3.217527963,39.34052976,2.02402664,,,,
Circle (Diameter),3.344708804,46.01906109,2.063641324,,,,
Circle (Diameter),3.204073311,48.28067899,2.019790297,,,,
Circle (Diameter),3.282935253,47.05438139,2.044495778,,,,
Circle (Diameter),3.281756743,42.47657429,2.044128778,,,,
Circle (Diameter),3.417874616,41.4629776,2.086090391,,,,
Circle (Diameter),1.897694252,46.69472749,1.554419302,,,,
Circle (Diameter),3.752336783,38.72696717,2.185777568,,,,
Circle (Diameter),3.828932526,23.56555255,2.207973801,,,,
Circle (Diameter),3.319789832,28.50483165,2.055939614,,,,
Circle (Diameter),2.703391733,47.13265306,1.855280372,,,,
Circle (Diameter),3.425442817,49.97418697,2.088398729,,,,
Circle (Diameter),4.189050029,36.1959972,2.3094727,,,,
Circle (Diameter),3.664844574,38.67237464,2.16014468,,,,
Circle (Diameter),2.96693664,51.55271432,1.943610315,,,,
Circle (Diameter),4.138093028,48.9630898,2.295383123,,,,
Circle (Diameter),3.574147523,39.84641079,2.13324775,,,,
Circle (Diameter),2.387073748,43.95877547,1.743363615,,,,
Circle (Diameter),3.877539308,35.50065344,2.22194428,,,,
Circle (Diameter),3.369144411,45.08363977,2.07116583,,,,
Circle (Diameter),2.789602004,39.3867145,1.884630358,,,,
Circle (Diameter),3.812160515,37.55823495,2.20313266,,,,
Circle (Diameter),3.545090281,36.07475062,2.124558574,,,,
Circle (Diameter),3.750093393,43.82846924,2.185124071,,,,
Circle (Diameter),3.735778428,41.09815785,2.180949524,,,,
Circle (Diameter),4.051455444,37.56017798,2.271227264,,,,
Circle (Diameter),3.713024044,56.96325961,2.174297368,,,,
Circle (Diameter),4.278465143,45.7557441,2.333990362,,,,
Circle (Diameter),3.839828991,37.96752713,2.211113321,,,,
Circle (Diameter),3.227597188,40.41965032,2.027191252,,,,
Circle (Diameter),3.471699381,33.46768024,2.102452125,,,,
Circle (Diameter),4.795833599,35.53242353,2.471081745,,,,
Circle (Diameter),3.737380849,47.87755041,2.181417221,,,,
Circle (Diameter),4.371939725,42.65916937,2.359348754,,,,
Circle (Diameter),3.915997422,38.09357566,2.232935909,,,,
Circle (Diameter),3.89762299,28.03891601,2.227691119,,,,
Circle (Diameter),3.317866926,44.88904728,2.055344101,,,,
Circle (Diameter),3.617733385,39.11546855,2.146215555,,,,
Circle (Diameter),2.501166152,32.09822953,1.78454018,,,,
Circle (Diameter),3.592949267,37.20087145,2.138851348,,,,
Circle (Diameter),3.536437206,31.7653318,2.121964113,,,,
Circle (Diameter),4.102732929,37.54765765,2.285555033,,,,
Circle (Diameter),4.022825515,39.61732468,2.263188133,,,,
Circle (Diameter),3.111368222,46.22627658,1.990356013,,,,
Circle (Diameter),4.129974093,35.23074813,2.293130248,,,,
Circle (Diameter),3.923261732,38.89860029,2.235006036,,,,
Circle (Diameter),3.717831308,42.38908419,2.175704447,,,,
Circle (Diameter),3.752336783,35.68979285,2.185777568,,,,
Circle (Diameter),4.500133437,33.21570298,2.393689171,,,,
Circle (Diameter),3.250244743,45.06777782,2.034291065,,,,
Circle (Diameter),3.47511788,37.44817301,2.103486988,,,,
Circle (Diameter),3.449265481,43.04070109,2.09564816,,,,
Circle (Diameter),3.284536561,42.06873394,2.044994336,,,,
Circle (Diameter),3.117777907,44.95912324,1.99240511,,,,
Circle (Diameter),2.946959786,42.94059444,1.937055946,,,,
Circle (Diameter),3.667408448,40.13807403,2.160900151,,,,
Circle (Diameter),3.045989429,39.15772742,1.969333439,,,,
Circle (Diameter),3.372776567,38.77924937,2.072281955,,,,
Circle (Diameter),3.412089305,39.95617451,2.084324119,,,,
Circle (Diameter),3.707896296,38.46189797,2.172795479,,,,
Circle (Diameter),4.496287625,32.36524138,2.39266613,,,,
Circle (Diameter),3.183477185,44.04799265,2.013288117,,,,
Circle (Diameter),2.619424851,40.8456324,1.826240758,,,,
Circle (Diameter),3.720715667,35.21398741,2.176548259,,,,
Circle (Diameter),3.066820907,50.96887617,1.976056086,,,,
Circle (Diameter),3.362627898,41.73655122,2.069161863,,,,
Circle (Diameter),2.954651409,39.48880427,1.939582175,,,,
Circle (Diameter),3.188177621,42.14923528,2.014773889,,,,
Circle (Diameter),2.992575382,39.74558729,1.951990091,,,,
Circle (Diameter),2.430980095,38.34257764,1.759323731,,,,
