Name::Name,Area::Area!!R,Intensity Mean Value::Intensity Mean Value!!R,Diameter::Diameter!!R,,,
,µm²,,µm,,,
Circle (Diameter),4.088053813,55.36870092,2.281462639,,Column1,
Circle (Diameter),1.962316899,82.94279831,1.580664251,,,
Circle (Diameter),2.842761871,72.92794933,1.902502781,,Mean,2.026893563
Circle (Diameter),3.584633742,64.03762445,2.136374835,,Standard Error,0.031211218
Circle (Diameter),3.113229853,61.26158078,1.990951371,,Median,2.095583921
Circle (Diameter),2.517689606,61.19223544,1.79042508,,Mode,#N/A
Circle (Diameter),3.627943975,73.85768371,2.14924213,,Standard Deviation,0.327346014
Circle (Diameter),4.024217869,46.79640685,2.26357976,,Sample Variance,0.107155413
Circle (Diameter),2.750641695,57.653239,1.871423463,,Kurtosis,-0.455314296
Circle (Diameter),6.109590825,59.14737523,2.789080967,,Skewness,-0.33069639
Circle (Diameter),2.879688509,57.82503323,1.914819387,,Range,1.547579477
Circle (Diameter),2.327360286,71.84581562,1.721420097,,Minimum,1.24150149
Circle (Diameter),3.676950337,52.09521622,2.163709448,,Maximum,2.789080967
Circle (Diameter),4.172415467,75.68078501,2.304882724,,Sum,222.9582919
Circle (Diameter),5.124553114,73.95673829,2.554365611,,Count,110
Circle (Diameter),3.328307877,77.44268561,2.058575529,,,0
Circle (Diameter),4.254125474,72.49394429,2.327341999,,,
Circle (Diameter),3.541912765,87.02116907,2.123606224,,,
Circle (Diameter),3.607909309,81.15545142,2.143299514,,,
Circle (Diameter),3.960774762,77.39689314,2.245665838,,,
Circle (Diameter),2.801022985,84.78521198,1.888484374,,,
Circle (Diameter),3.547805313,94.83125496,2.125371973,,,
Circle (Diameter),4.927741991,71.17863105,2.504834519,,,
Circle (Diameter),4.135488829,75.64095933,2.29466074,,,
Circle (Diameter),3.906759733,82.44846684,2.230300649,,,
Circle (Diameter),4.582929687,78.67903269,2.415609097,,,
Circle (Diameter),3.897135237,92.86442588,2.227551727,,,
Circle (Diameter),3.950561011,102.256321,2.242768491,,,
Circle (Diameter),3.288533174,97.05887395,2.046238129,,,
Circle (Diameter),4.344183259,92.41180747,2.351847341,,,
Circle (Diameter),3.49202252,77.38381201,2.108596966,,,
Circle (Diameter),4.997274064,86.71069623,2.522444639,,,
Circle (Diameter),4.547672605,59.79295569,2.406299357,,,
Circle (Diameter),4.272195957,79.95711686,2.332279751,,,
Circle (Diameter),2.809763599,89.05432958,1.891428594,,,
