Name::Name,Area::Area!!R,Intensity Mean Value::Intensity Mean Value!!R,Diameter::Diameter!!R,,,mean,median,sd,se,max,min
,µm²,,µm,,,2.134605341,2.184901505,0.224119687,0.019887406,2.419126549,0.940975506
Circle (Diameter),4.427464613,60.19982191,2.374283687,,,,,,,,
Circle (Diameter),3.550162333,53.22716457,2.126077861,,,,,,,,
Circle (Diameter),3.418169244,70.99910982,2.086180302,,,,,,,,
Circle (Diameter),2.033420319,64.01635359,1.609046662,,,,,,,,
Circle (Diameter),3.480237423,58.87115453,2.105035846,,,,,,,,
Circle (Diameter),4.596286131,64.2704148,2.419126549,,,,,,,,
Circle (Diameter),3.74550032,62.8409979,2.183785503,,,,,,,,
Circle (Diameter),4.413224287,60.41359679,2.370462335,,,,,,,,
Circle (Diameter),3.720948034,64.03417898,2.176616223,,,,,,,,
Circle (Diameter),4.131462254,61.20092322,2.293543355,,,,,,,,
Circle (Diameter),2.257238957,76.94409598,1.695289327,,,,,,,,
Circle (Diameter),4.596286131,62.59586204,2.419126549,,,,,,,,
Circle (Diameter),4.535003625,57.3206086,2.402945266,,,,,,,,
Circle (Diameter),3.996130054,65.44660057,2.255666378,,,,,,,,
Circle (Diameter),3.838013333,57.44173131,2.210590498,,,,,,,,
Circle (Diameter),3.659763737,67.28201891,2.158646779,,,,,,,,
Circle (Diameter),3.815327021,60.55711376,2.204047467,,,,,,,,
Circle (Diameter),3.176181914,73.11855871,2.010979964,,,,,,,,
Circle (Diameter),4.271017447,60.71100675,2.331958042,,,,,,,,
Circle (Diameter),3.21222467,68.47812369,2.0223579,,,,,,,,
Circle (Diameter),4.022057268,61.11702842,2.26297202,,,,,,,,
Circle (Diameter),3.695511865,61.94409521,2.169163859,,,,,,,,
Circle (Diameter),3.764356475,62.51643614,2.189275571,,,,,,,,
Circle (Diameter),3.028868199,62.89671815,1.963790917,,,,,,,,
Circle (Diameter),2.051883638,66.41288874,1.616335172,,,,,,,,
Circle (Diameter),4.016753974,69.11857841,2.261479604,,,,,,,,
Circle (Diameter),3.726938791,70.6524145,2.178367703,,,,,,,,
Circle (Diameter),3.380849769,60.16700543,2.074760618,,,,,,,,
Circle (Diameter),4.302346164,67.90014927,2.340495091,,,,,,,,
Circle (Diameter),2.559821329,69.60378685,1.805343663,,,,,,,,
Circle (Diameter),3.822005242,74.99118904,2.20597557,,,,,,,,
Circle (Diameter),2.489110745,65.3155684,1.780234319,,,,,,,,
Circle (Diameter),4.088053813,61.79986213,2.281462639,,,,,,,,
Circle (Diameter),4.166522918,56.01687262,2.303254598,,,,,,,,
Circle (Diameter),4.193334014,59.1369852,2.310653304,,,,,,,,
Circle (Diameter),1.863616709,66.3484201,1.540399458,,,,,,,,
Circle (Diameter),4.223877058,60.76320282,2.319053105,,,,,,,,
Circle (Diameter),4.205708367,65.27246641,2.314060113,,,,,,,,
Circle (Diameter),3.307094702,66.46545096,2.052004813,,,,,,,,
Circle (Diameter),3.614587531,65.75711669,2.145282215,,,,,,,,
Circle (Diameter),3.710145028,76.70008806,2.173454248,,,,,,,,
Circle (Diameter),2.602247679,71.86686557,1.820243019,,,,,,,,
Circle (Diameter),3.852646495,72.83723855,2.214800639,,,,,,,,
Circle (Diameter),4.345656396,65.90881025,2.35224607,,,,,,,,
Circle (Diameter),3.902143904,65.25199988,2.228982711,,,,,,,,
Circle (Diameter),4.367164199,70.26171754,2.358059829,,,,,,,,
Circle (Diameter),3.354529719,77.64121676,2.066668791,,,,,,,,
Circle (Diameter),4.283686427,63.77431323,2.335414087,,,,,,,,
Circle (Diameter),4.298123171,70.68390699,2.339346146,,,,,,,,
Circle (Diameter),0.695418946,67.52696431,0.940975506,,,,,,,,
Circle (Diameter),4.063697945,63.19488402,2.27465622,,,,,,,,
Circle (Diameter),4.264044598,67.61510829,2.330053691,,,,,,,,
Circle (Diameter),4.447008232,65.5717291,2.379518173,,,,,,,,
Circle (Diameter),3.697770676,55.51599732,2.169826687,,,,,,,,
Circle (Diameter),4.172415467,61.94008471,2.304882724,,,,,,,,
Circle (Diameter),3.986701976,66.26170153,2.253003908,,,,,,,,
Circle (Diameter),4.38425259,60.67952278,2.362668782,,,,,,,,
Circle (Diameter),3.921000059,62.30300249,2.234361728,,,,,,,,
Circle (Diameter),3.902143904,59.19015569,2.228982711,,,,,,,,
Circle (Diameter),4.105633249,62.90698951,2.286362747,,,,,,,,
Circle (Diameter),3.509012702,69.6783868,2.113720354,,,,,,,,
Circle (Diameter),3.839781097,68.15119962,2.211099531,,,,,,,,
Circle (Diameter),3.814934184,79.35082848,2.203933997,,,,,,,,
Circle (Diameter),4.474899629,59.34458693,2.386968615,,,,,,,,
Circle (Diameter),3.956748188,62.39270771,2.244524061,,,,,,,,
Circle (Diameter),4.137354803,53.47267879,2.295178369,,,,,,,,
Circle (Diameter),3.762195874,56.96217544,2.188647199,,,,,,,,
Circle (Diameter),3.628336811,50.3005969,2.149358488,,,,,,,,
Circle (Diameter),4.060751671,52.38676866,2.273831482,,,,,,,,
Circle (Diameter),3.606337963,71.24193347,2.142832729,,,,,,,,
Circle (Diameter),3.388313664,62.19963394,2.077049577,,,,,,,,
Circle (Diameter),4.019209203,68.65430887,2.26217066,,,,,,,,
Circle (Diameter),2.558348191,74.8846492,1.804824115,,,,,,,,
Circle (Diameter),2.327654913,68.98918449,1.721529053,,,,,,,,
Circle (Diameter),4.015280837,74.8988232,2.26106487,,,,,,,,
Circle (Diameter),4.124882241,76.61789905,2.29171621,,,,,,,,
Circle (Diameter),3.578151939,70.21528959,2.134442444,,,,,,,,
Circle (Diameter),4.152479011,71.78174862,2.299369584,,,,,,,,
Circle (Diameter),2.456210682,72.86350311,1.768429973,,,,,,,,
Circle (Diameter),2.899624966,89.54695618,1.921436226,,,,,,,,
Circle (Diameter),3.6239174,72.54469777,2.148049101,,,,,,,,
Circle (Diameter),3.00686935,79.68015573,1.956646356,,,,,,,,
Circle (Diameter),4.353120291,80.37572524,2.354265256,,,,,,,,
Circle (Diameter),2.871733569,48.4815061,1.91217278,,,,,,,,
Circle (Diameter),3.753160633,39.73785301,2.186017506,,,,,,,,
Circle (Diameter),3.530913341,40.49623748,2.120306227,,,,,,,,
Circle (Diameter),3.559492202,106.8461587,2.128869707,,,,,,,,
Circle (Diameter),4.027753398,92.62574834,2.26457389,,,,,,,,
Circle (Diameter),1.815101392,110.6414219,1.520216718,,,,,,,,
Circle (Diameter),3.515985551,96.79066637,2.115819426,,,,,,,,
Circle (Diameter),3.51834257,89.88240942,2.1165285,,,,,,,,
Circle (Diameter),3.910393472,92.49026217,2.231337627,,,,,,,,
Circle (Diameter),4.127239261,91.83219992,2.292370877,,,,,,,,
Circle (Diameter),3.515199878,96.39084654,2.115583015,,,,,,,,
Circle (Diameter),3.893992545,96.49778908,2.226653385,,,,,,,,
Circle (Diameter),3.021895349,104.7250326,1.961529163,,,,,,,,
Circle (Diameter),3.256615203,91.43368123,2.036283688,,,,,,,,
Circle (Diameter),3.789399807,93.14151084,2.196545853,,,,,,,,
Circle (Diameter),2.442264984,92.69311853,1.763402494,,,,,,,,
Circle (Diameter),3.402455781,83.38241322,2.08137965,,,,,,,,
Circle (Diameter),3.913143328,81.74450581,2.232122046,,,,,,,,
Circle (Diameter),2.897758992,91.16587052,1.920817883,,,,,,,,
Circle (Diameter),3.790578316,83.71333908,2.196887391,,,,,,,,
Circle (Diameter),3.486031762,102.1842497,2.106787482,,,,,,,,
Circle (Diameter),2.780202647,99.0460891,1.881452618,,,,,,,,
Circle (Diameter),2.973772869,100.583204,1.945848199,,,,,,,,
