Name::Name,Area::Area!!R,Intensity Mean Value::Intensity Mean Value!!R,Diameter::Diameter!!R,,,mean,median,sd,se,max,min
,µm²,,µm,,,2.25656689,2.257743977,0.178417102,0.017931593,2.813406985,1.636211177
Circle (Diameter),4.229474979,90.19007274,2.320589321,,,,,,,,
Circle (Diameter),4.447008232,93.51714959,2.379518173,,,,,,,,
Circle (Diameter),3.826719281,98.22546247,2.207335569,,,,,,,,
Circle (Diameter),5.018192612,94.61374615,2.527718591,,,,,,,,
Circle (Diameter),4.974587752,103.4020172,2.516712507,,,,,,,,
Circle (Diameter),4.628105893,101.4254086,2.427485827,,,,,,,,
Circle (Diameter),5.239261394,83.85667556,2.582795925,,,,,,,,
Circle (Diameter),3.000583965,105.3824776,1.954600256,,,,,,,,
Circle (Diameter),4.89572581,96.5878341,2.496684141,,,,,,,,
Circle (Diameter),3.43692719,96.98070687,2.091896654,,,,,,,,
Circle (Diameter),4.710994411,90.15843882,2.449127269,,,,,,,,
Circle (Diameter),3.540636046,103.4974064,2.123223452,,,,,,,,
Circle (Diameter),4.350272226,90.69674529,2.353494982,,,,,,,,
Circle (Diameter),2.102657765,86.38748599,1.636211177,,,,,,,,
Circle (Diameter),4.085500375,95.34462887,2.280750016,,,,,,,,
Circle (Diameter),3.444489294,93.73850781,2.094196739,,,,,,,,
Circle (Diameter),4.270231774,100.2197367,2.331743545,,,,,,,,
Circle (Diameter),2.813200919,99.07082583,1.892585178,,,,,,,,
Circle (Diameter),4.108481314,100.7269887,2.287155631,,,,,,,,
Circle (Diameter),4.260803696,105.3887492,2.32916804,,,,,,,,
Circle (Diameter),3.908429289,116.6216193,2.230777158,,,,,,,,
Circle (Diameter),3.585124788,104.688539,2.136521157,,,,,,,,
Circle (Diameter),4.365985689,98.56327268,2.357741638,,,,,,,,
Circle (Diameter),3.999567374,93.90098147,2.256636289,,,,,,,,
Circle (Diameter),3.315638898,112.9376592,2.054653879,,,,,,,,
Circle (Diameter),4.026182052,101.9957994,2.264132108,,,,,,,,
Circle (Diameter),4.448186742,87.20687555,2.379833453,,,,,,,,
Circle (Diameter),4.007424106,95.31370344,2.258851665,,,,,,,,
Circle (Diameter),3.083079646,118.5879864,1.981287189,,,,,,,,
Circle (Diameter),3.445176758,103.584738,2.094405712,,,,,,,,
Circle (Diameter),4.21562749,101.5086398,2.31678735,,,,,,,,
Circle (Diameter),4.520861508,99.78930716,2.399195625,,,,,,,,
Circle (Diameter),3.768972305,93.19430501,2.190617397,,,,,,,,
Circle (Diameter),4.245974115,86.02837106,2.325111212,,,,,,,,
Circle (Diameter),4.199422981,92.6227463,2.312330298,,,,,,,,
Circle (Diameter),3.551242633,104.881541,2.126401315,,,,,,,,
Circle (Diameter),4.439937174,91.8651335,2.377625619,,,,,,,,
Circle (Diameter),3.551439052,93.67971846,2.12646012,,,,,,,,
Circle (Diameter),3.575303874,112.8628222,2.133592809,,,,,,,,
Circle (Diameter),3.6582906,94.54144208,2.158212283,,,,,,,,
Circle (Diameter),4.036886849,95.52391596,2.267140043,,,,,,,,
Circle (Diameter),3.921392896,99.1218776,2.234473653,,,,,,,,
Circle (Diameter),3.45067647,99.3651788,2.096076749,,,,,,,,
Circle (Diameter),4.87156636,111.4787079,2.490516198,,,,,,,,
Circle (Diameter),4.27759746,103.0561966,2.333753681,,,,,,,,
Circle (Diameter),3.594651075,109.4957573,2.139357824,,,,,,,,
Circle (Diameter),4.139122567,106.6734794,2.295668646,,,,,,,,
Circle (Diameter),4.497585941,92.79937846,2.39301155,,,,,,,,
Circle (Diameter),3.419642381,92.76376449,2.086629797,,,,,,,,
Circle (Diameter),3.340878648,100.7023866,2.062459408,,,,,,,,
