Name::Name,Area::Area!!R,Intensity Mean Value::Intensity Mean Value!!R,Diameter::Diameter!!R,,,,
,µm²,,µm,,,,
Circle (Diameter),2.216770235,55.74551826,1.680023668,,,,
Circle (Diameter),3.837481036,68.04509844,2.210437198,,,Column1,
Circle (Diameter),2.788523468,63.41039506,1.884265998,,,,
Circle (Diameter),3.535994932,66.07736882,2.121831421,,,Mean,1.869207244
Circle (Diameter),2.517698857,67.4530071,1.79042837,,,Standard Error,0.020413028
Circle (Diameter),3.126022889,63.68202765,1.995037834,,,Median,1.83661329
Circle (Diameter),4.178213852,65.39049314,2.306483709,,,Mode,1.90703198
Circle (Diameter),2.223683008,65.47906953,1.682641121,,,Standard Deviation,0.211154004
Circle (Diameter),2.422815472,70.86851018,1.756366838,,,Sample Variance,0.044586014
Circle (Diameter),4.74093588,75.37556432,2.456897849,,,Kurtosis,2.667996657
Circle (Diameter),3.244097514,58.8044034,2.032366414,,,Skewness,1.415865319
Circle (Diameter),1.942935224,63.91477798,1.572838822,,,Range,1.116183896
Circle (Diameter),3.343106264,63.82778021,2.063146892,,,Minimum,1.532888634
Circle (Diameter),2.81617456,63.80250659,1.893585175,,,Maximum,2.64907253
Circle (Diameter),2.856313242,59.58680159,1.90703198,,,Sum,200.0051751
Circle (Diameter),2.388809088,67.50875954,1.743997189,,,Count,107
Circle (Diameter),2.027114961,62.24505885,1.606550008,,,,0
Circle (Diameter),3.086441689,59.71436927,1.982367173,,,,
Circle (Diameter),2.92220758,61.05212905,1.928903898,,,,
Circle (Diameter),2.476333715,60.50991424,1.775659318,,,,
Circle (Diameter),2.791868358,62.05417925,1.885395767,,,,
Circle (Diameter),2.972269436,61.62007044,1.945356261,,,,
Circle (Diameter),1.845487422,66.83679182,1.532888634,,,,
Circle (Diameter),2.610017827,67.34114505,1.82295856,,,,
Circle (Diameter),2.611801768,78.20760486,1.823581447,,,,
Circle (Diameter),3.917758401,68.17215095,2.233437916,,,,
Circle (Diameter),2.324921685,65.26434169,1.720518012,,,,
Circle (Diameter),2.560067467,69.92561185,1.805430457,,,,
Circle (Diameter),2.225578446,71.6307871,1.683358098,,,,
Circle (Diameter),2.427944304,70.80515626,1.758224872,,,,
Circle (Diameter),2.476333715,66.37142597,1.775659318,,,,
Circle (Diameter),2.382007811,75.08292522,1.741512716,,,,
Circle (Diameter),3.213882005,64.43109429,2.022879547,,,,
Circle (Diameter),4.406781349,72.84295978,2.368731365,,,,
Circle (Diameter),2.724190079,59.14890631,1.86240343,,,,
Circle (Diameter),2.687061798,69.31516199,1.849668441,,,,
Circle (Diameter),2.425825873,65.05023127,1.757457661,,,,
Circle (Diameter),3.111305372,72.40207979,1.99033591,,,,
Circle (Diameter),5.320605353,81.09038722,2.602768744,,,,
Circle (Diameter),2.120325901,80.69444444,1.643071144,,,,
Circle (Diameter),4.126256557,78.23380451,2.292097952,,,,
Circle (Diameter),2.355917668,65.21366141,1.731949058,,,,
Circle (Diameter),2.901580757,66.12384538,1.922084119,,,,
Circle (Diameter),3.238076711,64.3431134,2.030479578,,,,
Circle (Diameter),1.897779206,63.75368234,1.554454095,,,,
Circle (Diameter),2.517587361,84.53843067,1.790388725,,,,
Circle (Diameter),2.780495731,85.59934471,1.881551785,,,,
Circle (Diameter),2.22212206,79.46333181,1.682050439,,,,
Circle (Diameter),2.657738261,75.54242026,1.839548165,,,,
Circle (Diameter),2.411108356,60.87599571,1.752118291,,,,
Circle (Diameter),2.754071099,63.91700041,1.872589713,,,,
Circle (Diameter),2.325479167,80.57148388,1.720724277,,,,
Circle (Diameter),2.462062184,62.97731319,1.770535211,,,,
Circle (Diameter),3.085884207,71.72776664,1.982188135,,,,
Circle (Diameter),2.856313242,76.73156796,1.90703198,,,,
Circle (Diameter),2.971377466,69.81181371,1.945064341,,,,
Circle (Diameter),4.626875124,61.61430206,2.427163031,,,,
Circle (Diameter),5.511598584,62.55653331,2.64907253,,,,
Circle (Diameter),2.190791588,68.8439811,1.670150438,,,,
Circle (Diameter),2.444557258,70.21063955,1.764229852,,,,
Circle (Diameter),2.767339163,62.33394354,1.877095005,,,,
Circle (Diameter),2.116200536,65.70238538,1.641471964,,,,
Circle (Diameter),2.361157996,68.55202133,1.733874197,,,,
Circle (Diameter),2.842041711,72.3765065,1.902261784,,,,
Circle (Diameter),2.500416925,67.27314105,1.784272879,,,,
Circle (Diameter),3.661539811,65.24022604,2.159170508,,,,
Circle (Diameter),1.887075557,70.471352,1.550064264,,,,
Circle (Diameter),2.284002528,74.7440055,1.705310042,,,,
Circle (Diameter),2.451358535,76.81202456,1.766682378,,,,
Circle (Diameter),2.297828075,68.30307187,1.710463555,,,,
Circle (Diameter),2.547691373,70.77412948,1.801061188,,,,
Circle (Diameter),1.96255858,72.45391125,1.580761586,,,,
Circle (Diameter),2.405756532,75.82443105,1.750172663,,,,
Circle (Diameter),3.311998785,75.06065964,2.053525706,,,,
Circle (Diameter),2.313772051,67.67472399,1.716387507,,,,
Circle (Diameter),2.676469646,73.86968398,1.846019229,,,,
Circle (Diameter),2.537656702,74.46040679,1.797510741,,,,
Circle (Diameter),2.67970304,68.34249738,1.847133963,,,,
Circle (Diameter),2.890542619,76.86488802,1.918424658,,,,
Circle (Diameter),3.032700453,74.1246893,1.965032861,,,,
Circle (Diameter),2.895002473,70.11845173,1.919904068,,,,
Circle (Diameter),3.553834347,70.79069252,2.127177103,,,,
Circle (Diameter),2.329158546,66.48050381,1.722085006,,,,
Circle (Diameter),2.390147044,67.39773368,1.744485521,,,,
Circle (Diameter),2.39271146,69.37000329,1.74542111,,,,
Circle (Diameter),2.098361122,75.15039889,1.634538577,,,,
Circle (Diameter),1.97627263,83.70664469,1.586275028,,,,
Circle (Diameter),2.440877879,76.07061587,1.762901653,,,,
Circle (Diameter),2.55326619,83.60119755,1.803030638,,,,
Circle (Diameter),2.344656537,94.72775221,1.727804799,,,,
Circle (Diameter),2.649264539,79.06274427,1.83661329,,,,
Circle (Diameter),2.86612492,81.15918095,1.91030458,,,,
Circle (Diameter),2.733555772,88.34159394,1.86560213,,,,
Circle (Diameter),2.476668204,84.27597623,1.775779236,,,,
Circle (Diameter),2.112186668,85.81535104,1.639914507,,,,
Circle (Diameter),3.020658848,79.22938346,1.961127812,,,,
Circle (Diameter),2.649710524,80.19462831,1.836767874,,,,
Circle (Diameter),2.988213413,72.7441151,1.950566965,,,,
Circle (Diameter),2.926221448,79.89156487,1.93022819,,,,
Circle (Diameter),2.645250671,80.2328674,1.835221447,,,,
Circle (Diameter),3.412345491,83.75182313,2.084402365,,,,
Circle (Diameter),2.249550159,85.70081804,1.692399545,,,,
Circle (Diameter),2.783060147,75.98649687,1.88241925,,,,
Circle (Diameter),3.093577454,73.19553682,1.984657439,,,,
Circle (Diameter),2.672790267,72.40327331,1.844749919,,,,
Circle (Diameter),2.4097704,79.64854396,1.751632087,,,,
Circle (Diameter),2.957440423,75.46576906,1.940497384,,,,
