Name::Name,Area::Area!!R,Intensity Mean Value::Intensity Mean Value!!R,Diameter::Diameter!!R
,µm²,,µm
Circle (Diameter),4.858129707,64.1047343,2.487079182
Circle (Diameter),4.225692145,59.83188839,2.319551324
Circle (Diameter),3.621936829,70.95277648,2.147462037
Circle (Diameter),4.732094446,55.41828961,2.454605829
Circle (Diameter),3.790578912,60.50202104,2.196887564
Circle (Diameter),3.759159356,64.58689134,2.187763778
Circle (Diameter),3.553861126,61.75999366,2.127185117
Circle (Diameter),2.171995766,55.97764322,1.662970505
Circle (Diameter),2.20888994,64.27141116,1.67703489
Circle (Diameter),3.720956034,63.26084325,2.176618562
Circle (Diameter),4.177848732,72.84273965,2.306382929
Circle (Diameter),4.096205494,69.06284048,2.283736153
Circle (Diameter),1.893861294,71.23288563,1.552848702
Circle (Diameter),3.362130432,61.8541897,2.069008801
Circle (Diameter),4.32471135,58.29288507,2.346570585
Circle (Diameter),4.13143348,74.46782583,2.293535368
Circle (Diameter),4.954768642,72.87413351,2.511694123
Circle (Diameter),2.163664823,64.31424125,1.659778182
Circle (Diameter),4.35220346,61.40434569,2.354017322
Circle (Diameter),4.699246729,57.7307517,2.446071701
Circle (Diameter),3.296792039,76.90174121,2.048805992
Circle (Diameter),3.97659696,64.45466123,2.250146774
Circle (Diameter),4.139883436,71.01767842,2.295879636
Circle (Diameter),4.038126922,64.61821483,2.267488232
Circle (Diameter),4.594038825,68.95816054,2.418535073
Circle (Diameter),3.745710835,54.11775695,2.183846871
Circle (Diameter),4.008373555,57.37647786,2.259119236
Circle (Diameter),4.126077874,68.67477079,2.292048323
Circle (Diameter),4.573092454,68.6263533,2.413015158
Circle (Diameter),3.748686171,63.58721716,2.184714049
Circle (Diameter),4.008968623,82.28325891,2.259286919
Circle (Diameter),3.850442685,81.82267119,2.214167088
Circle (Diameter),3.944106283,65.43387166,2.240935539
Circle (Diameter),3.677635132,68.9203846,2.163910923
Circle (Diameter),3.646215577,55.34159166,2.154647503
Circle (Diameter),3.963743505,64.41851072,2.246507284
Circle (Diameter),3.150048434,59.74417276,2.00268975
Circle (Diameter),4.689130584,81.11732045,2.443437433
Circle (Diameter),4.347561935,80.27382836,2.352761734
Circle (Diameter),4.085732309,76.83905064,2.280814755
Circle (Diameter),4.58737407,74.49870884,2.416780104
Circle (Diameter),4.524892001,94.14326591,2.400264867
Circle (Diameter),4.25984901,64.73906833,2.328907086
Circle (Diameter),4.313524084,84.27519268,2.343533537
Circle (Diameter),4.136194019,82.90254064,2.294856377
Circle (Diameter),4.08644639,63.02631144,2.28101406
Circle (Diameter),3.771893797,83.04067371,2.191466254
Circle (Diameter),3.623364991,79.74541726,2.147885377
Circle (Diameter),3.942797135,81.99720176,2.240563596
Circle (Diameter),3.970884313,78.6560824,2.24852995
Circle (Diameter),4.028605845,83.22232173,2.264813518
Circle (Diameter),3.433776539,95.08170806,2.090937607
Circle (Diameter),4.016585485,85.46944437,2.261432173
Circle (Diameter),4.252351162,71.59912594,2.326856604
Circle (Diameter),3.993258845,75.53605946,2.254855888
Circle (Diameter),2.373604578,88.39752969,1.738438153
Circle (Diameter),4.060739481,71.66838731,2.273828069
Circle (Diameter),3.553742113,88.91314654,2.127149499
Circle (Diameter),3.903284664,72.91032515,2.2293085
Circle (Diameter),3.999090505,78.16705166,2.256501756
Circle (Diameter),3.650619075,75.42882217,2.155948183
Circle (Diameter),4.447533247,67.35475037,2.379658632
Circle (Diameter),3.629910732,69.59957575,2.149824618
Circle (Diameter),4.086922443,83.53121312,2.28114692
Circle (Diameter),3.864129234,66.49591575,2.218098768
Circle (Diameter),4.043244501,77.72373949,2.268924588
Circle (Diameter),2.350277939,77.42125092,1.729874797
Circle (Diameter),3.951785513,74.15815623,2.243116044
Circle (Diameter),4.431611572,75.60669843,2.375395357
Circle (Diameter),3.8757563,69.75000727,2.221433363
Circle (Diameter),3.293030768,69.85146215,2.04763693
Circle (Diameter),3.848019258,74.35590095,2.213470191
Circle (Diameter),4.244758018,65.26536083,2.324778219
Circle (Diameter),4.372794184,72.50247512,2.359579301
Circle (Diameter),4.040816464,66.94368472,2.268243222
Circle (Diameter),2.145905964,62.09836754,1.652952611
Circle (Diameter),2.15866005,72.1545294,1.657857455
Circle (Diameter),3.983484989,55.37746248,2.252094717
Circle (Diameter),4.226184106,64.30431423,2.319686342
Circle (Diameter),3.325720853,74.75156541,2.057775329
Circle (Diameter),3.985342381,79.18202849,2.252619701
Circle (Diameter),4.192379586,70.46866683,2.31039033
Circle (Diameter),4.305185145,63.80965716,2.341267173
Circle (Diameter),3.442612672,74.7379777,2.093626182
Circle (Diameter),4.12402759,69.80021295,2.291478783
Circle (Diameter),3.919466906,87.50241338,2.233924855
Circle (Diameter),3.798117348,68.23070534,2.199070986
Circle (Diameter),3.544521536,90.28363995,2.124388144
Circle (Diameter),4.302337145,83.80386661,2.340492638
Circle (Diameter),4.077468984,84.1947274,2.278507132
Circle (Diameter),3.911046733,90.61698635,2.231524
Circle (Diameter),2.576820722,74.24662855,1.811328254
Circle (Diameter),3.555294405,80.97542671,2.127614023
