Name::Name,Area::Area!!R,Intensity Mean Value::Intensity Mean Value!!R,Diameter::Diameter!!R,,,mean,median,sd,se,max,min
,µm²,,µm,,,1.783760841,1.792031615,0.195380215,0.019158606,2.253244955,0.976105504
Circle (Diameter),2.33549669,65.96612375,1.724426497,,,,,,,,
Circle (Diameter),2.795828589,73.79055714,1.886732498,,,,,,,,
Circle (Diameter),2.219379124,89.86074923,1.681011977,,,,,,,,
Circle (Diameter),2.253216319,105.4064416,1.693778061,,,,,,,,
Circle (Diameter),2.321377573,99.58390627,1.719206132,,,,,,,,
Circle (Diameter),2.997269438,86.70841619,1.953520406,,,,,,,,
Circle (Diameter),2.584406984,95.38699017,1.813992605,,,,,,,,
Circle (Diameter),2.567853537,81.11140316,1.808173849,,,,,,,,
Circle (Diameter),2.299225165,86.96084087,1.710983461,,,,,,,,
Circle (Diameter),2.433600209,91.51160751,1.760271576,,,,,,,,
Circle (Diameter),3.113143571,89.35457605,1.990923781,,,,,,,,
Circle (Diameter),2.064920854,104.0129545,1.62146196,,,,,,,,
Circle (Diameter),2.837699074,95.22960845,1.900807901,,,,,,,,
Circle (Diameter),2.318091227,85.68480264,1.717988771,,,,,,,,
Circle (Diameter),2.86338126,82.10071971,1.909390021,,,,,,,,
Circle (Diameter),2.749819742,61.08552497,1.871143831,,,,,,,,
Circle (Diameter),2.886629117,63.85868418,1.917125542,,,,,,,,
Circle (Diameter),3.395647626,60.74248258,2.079296236,,,,,,,,
Circle (Diameter),2.644900097,58.23501128,1.835099833,,,,,,,,
Circle (Diameter),2.282915151,58.5738757,1.704904058,,,,,,,,
Circle (Diameter),2.747141979,62.15778076,1.870232553,,,,,,,,
Circle (Diameter),0.748313198,59.51460774,0.976105504,,,,,,,,
Circle (Diameter),2.305919574,61.10710281,1.713472494,,,,,,,,
Circle (Diameter),2.507603857,62.4054781,1.786835301,,,,,,,,
Circle (Diameter),2.945661632,63.55405405,1.936629256,,,,,,,,
Circle (Diameter),3.614493939,59.20373488,2.145254441,,,,,,,,
Circle (Diameter),3.712962608,54.49059694,2.17427938,,,,,,,,
Circle (Diameter),3.219402097,59.69536354,2.024616028,,,,,,,,
Circle (Diameter),3.079062944,67.6403204,1.979996136,,,,,,,,
Circle (Diameter),2.703689179,71.63438267,1.855382435,,,,,,,,
Circle (Diameter),2.566392938,71.07162872,1.80765953,,,,,,,,
Circle (Diameter),2.07064153,68.03460621,1.623706463,,,,,,,,
Circle (Diameter),1.904863623,66.12597495,1.557352783,,,,,,,,
Circle (Diameter),1.824409,62.26026303,1.524109472,,,,,,,,
Circle (Diameter),2.007105504,63.15693083,1.598601294,,,,,,,,
Circle (Diameter),2.011365583,75.09054832,1.60029691,,,,,,,,
Circle (Diameter),2.275855592,79.14968342,1.702265942,,,,,,,,
Circle (Diameter),2.936411176,67.71186441,1.933586002,,,,,,,,
Circle (Diameter),2.883342771,75.69426479,1.916033934,,,,,,,,
Circle (Diameter),3.094642659,74.27523003,1.984999096,,,,,,,,
Circle (Diameter),2.393677189,83.32290492,1.745773311,,,,,,,,
Circle (Diameter),2.502978629,75.28459811,1.785186648,,,,,,,,
Circle (Diameter),2.748359144,76.58080767,1.870646825,,,,,,,,
Circle (Diameter),2.444554697,81.61766736,1.764228928,,,,,,,,
Circle (Diameter),3.987555089,91.40741577,2.253244955,,,,,,,,
Circle (Diameter),3.244475702,92.77444521,2.032484875,,,,,,,,
Circle (Diameter),3.155500921,80.44386209,2.00442225,,,,,,,,
Circle (Diameter),1.626619646,78.61078918,1.439123503,,,,,,,,
Circle (Diameter),2.991548762,80.80382271,1.951655242,,,,,,,,
Circle (Diameter),2.648551593,77.91942745,1.836366147,,,,,,,,
Circle (Diameter),3.393456729,81.31627026,2.078625339,,,,,,,,
Circle (Diameter),2.896975021,90.29919179,1.920558033,,,,,,,,
Circle (Diameter),2.594266023,91.45430866,1.817449336,,,,,,,,
Circle (Diameter),2.370672766,87.83166762,1.737364185,,,,,,,,
Circle (Diameter),1.963652705,83.77528154,1.581202162,,,,,,,,
Circle (Diameter),2.571261599,90.02899248,1.809373358,,,,,,,,
Circle (Diameter),1.841449313,93.11984151,1.53121066,,,,,,,,
Circle (Diameter),3.169741755,89.84376332,2.008940156,,,,,,,,
Circle (Diameter),2.342921398,99.39865772,1.727165358,,,,,,,,
Circle (Diameter),2.278655072,93.60052219,1.703312581,,,,,,,,
Circle (Diameter),3.505435932,91.02971888,2.112642812,,,,,,,,
Circle (Diameter),2.551300089,83.55361948,1.802336307,,,,,,,,
Circle (Diameter),3.655025542,78.2966796,2.157248956,,,,,,,,
Circle (Diameter),2.082448033,90.8820989,1.628328955,,,,,,,,
Circle (Diameter),2.52220984,95.86254357,1.792031615,,,,,,,,
Circle (Diameter),2.271960663,87.3815269,1.700808678,,,,,,,,
Circle (Diameter),3.059710016,88.82146273,1.973763863,,,,,,,,
Circle (Diameter),3.031350066,92.22015895,1.964595322,,,,,,,,
Circle (Diameter),2.541684484,92.80245876,1.798936685,,,,,,,,
Circle (Diameter),2.449910224,95.61182672,1.766160405,,,,,,,,
Circle (Diameter),3.058614567,88.15009208,1.973410504,,,,,,,,
Circle (Diameter),2.793150825,93.4014181,1.885828753,,,,,,,,
Circle (Diameter),2.483260552,94.432794,1.778141033,,,,,,,,
Circle (Diameter),2.284619182,101.0585601,1.705540233,,,,,,,,
Circle (Diameter),2.139289651,105.880786,1.65040243,,,,,,,,
Circle (Diameter),1.805786371,110.4943715,1.516310858,,,,,,,,
Circle (Diameter),2.771728717,94.82740149,1.878583139,,,,,,,,
Circle (Diameter),2.76004393,91.34216426,1.874619182,,,,,,,,
Circle (Diameter),2.064920854,104.4242655,1.62146196,,,,,,,,
Circle (Diameter),2.89247151,99.71607004,1.919064644,,,,,,,,
Circle (Diameter),2.69103066,110.6726741,1.851033942,,,,,,,,
Circle (Diameter),2.804470462,109.7879493,1.889646182,,,,,,,,
Circle (Diameter),2.84938386,103.0914649,1.904717357,,,,,,,,
Circle (Diameter),3.451150362,85.2400013,2.096220674,,,,,,,,
Circle (Diameter),2.047271958,89.06577719,1.614517766,,,,,,,,
Circle (Diameter),2.552273822,103.6236952,1.802680215,,,,,,,,
Circle (Diameter),2.024632684,98.82819261,1.605566067,,,,,,,,
Circle (Diameter),1.568926013,86.5312142,1.413371374,,,,,,,,
Circle (Diameter),2.352171854,82.23559233,1.730571645,,,,,,,,
Circle (Diameter),2.687744314,77.87899582,1.849903335,,,,,,,,
Circle (Diameter),2.45003194,76.18347487,1.766204278,,,,,,,,
Circle (Diameter),2.353632452,82.95249192,1.731108868,,,,,,,,
Circle (Diameter),2.884194786,81.86639913,1.916317003,,,,,,,,
Circle (Diameter),2.205625157,78.40445714,1.675795086,,,,,,,,
Circle (Diameter),2.022076637,86.81887925,1.604552254,,,,,,,,
Circle (Diameter),2.532920894,81.94938173,1.795832689,,,,,,,,
Circle (Diameter),1.426030812,94.64606565,1.347471269,,,,,,,,
Circle (Diameter),1.922390802,98.02154241,1.564501195,,,,,,,,
Circle (Diameter),1.826356464,101.4308337,1.52492271,,,,,,,,
Circle (Diameter),1.762698721,110.5850245,1.498111383,,,,,,,,
Circle (Diameter),2.467072254,110.4445913,1.772335734,,,,,,,,
Circle (Diameter),1.609214183,89.21644961,1.431403204,,,,,,,,
Circle (Diameter),2.212806432,103.1114889,1.678520972,,,,,,,,
Circle (Diameter),1.911558032,89.70542727,1.560086946,,,,,,,,
Circle (Diameter),1.909610567,79.47883272,1.559292047,,,,,,,,
