Name::Name,Area::Area!!R,Intensity Mean Value::Intensity Mean Value!!R,Diameter::Diameter!!R,,,,
,µm²,,µm,,,,
Circle (Diameter),3.490058337,95.48315042,2.108003863,,,,
Circle (Diameter),3.998487074,84.26013171,2.256331505,,,Column1,
Circle (Diameter),3.63540787,88.7173839,2.15145185,,,,
Circle (Diameter),3.551242633,99.66839017,2.126401315,,,Mean,2.216016695
Circle (Diameter),3.552519352,95.69905221,2.126783516,,,Standard Error,0.017747555
Circle (Diameter),3.6582906,92.86201059,2.158212283,,,Median,2.249823192
Circle (Diameter),4.013218445,88.41980615,2.260484113,,,Mode,2.248781883
Circle (Diameter),3.996424682,89.46992936,2.25574953,,,Standard Deviation,0.177475555
Circle (Diameter),4.077840062,93.91953928,2.27861081,,,Sample Variance,0.031497573
Circle (Diameter),2.744552728,88.09465105,1.869350974,,,Kurtosis,2.406768087
Circle (Diameter),4.432866116,98.19335232,2.375731558,,,Skewness,-1.453804678
Circle (Diameter),3.972068814,97.46674042,2.248865289,,,Range,0.919739056
Circle (Diameter),3.597008094,86.61509068,2.140059099,,,Minimum,1.559470877
Circle (Diameter),4.604044653,84.86882516,2.421167429,,,Maximum,2.479209933
Circle (Diameter),3.637077425,90.23900657,2.151945818,,,Sum,221.6016695
Circle (Diameter),4.122525222,88.8151357,2.291061356,,,Count,100
Circle (Diameter),3.971774186,98.80441631,2.248781883,,,,0
Circle (Diameter),4.019700249,95.5203644,2.262308846,,,,
Circle (Diameter),4.291444949,86.18890815,2.337528056,,,,
Circle (Diameter),3.882993121,100.6076849,2.223506329,,,,
Circle (Diameter),4.31197066,91.1572975,2.343111513,,,,
Circle (Diameter),3.986210931,94.40373004,2.252865151,,,,
Circle (Diameter),4.296158988,80.07617249,2.33881156,,,,
Circle (Diameter),3.44959617,100.8330017,2.095748615,,,,
Circle (Diameter),3.971774186,90.17630877,2.248781883,,,,
Circle (Diameter),4.154639612,90.28793426,2.299967706,,,,
Circle (Diameter),4.181745336,83.3981459,2.30745824,,,,
