Name::Name,Area::Area!!R,Intensity Mean Value::Intensity Mean Value!!R,Diameter::Diameter!!R,,,,
,µm²,,µm,,,,
Circle (Diameter),4.019700249,106.0756726,2.262308846,,,,
Circle (Diameter),3.251311909,108.6143807,2.034625001,,,Column1,
Circle (Diameter),4.471462309,79.14449091,2.386051683,,,,
Circle (Diameter),4.338879965,75.2860932,2.350411358,,,Mean,2.028666317
Circle (Diameter),3.907643616,81.34877753,2.230552931,,,Standard Error,0.021199175
Circle (Diameter),4.37276212,80.92680035,2.35957065,,,Median,2.072779878
Circle (Diameter),2.983200947,88.07631946,1.948930326,,,Mode,2.27738109
Circle (Diameter),2.899232129,87.88650498,1.921306065,,,Standard Deviation,0.241707781
Circle (Diameter),2.687493215,96.48307602,1.84981692,,,Sample Variance,0.058422651
Circle (Diameter),2.992334397,113.8965972,1.951911495,,,Kurtosis,-1.292856787
Circle (Diameter),3.50351299,91.00858079,2.112063277,,,Skewness,-0.154994638
Circle (Diameter),3.514414205,94.63083633,2.115346577,,,Range,0.887108909
Circle (Diameter),3.502923735,93.16529457,2.111885655,,,Minimum,1.570784383
Circle (Diameter),4.171138748,90.51541993,2.304530061,,,Maximum,2.457893292
Circle (Diameter),3.633149059,80.57923938,2.150783358,,,Sum,263.7266212
Circle (Diameter),2.198706307,81.99928531,1.673164612,,,Count,130
Circle (Diameter),2.596649757,73.7482575,1.818284124,,,,0
Circle (Diameter),3.759544227,78.85903506,2.187875769,,,,
Circle (Diameter),3.772016788,81.47271913,2.191501982,,,,
Circle (Diameter),2.210589614,84.43182975,1.677679979,,,,
Circle (Diameter),2.398758333,89.81819463,1.747625237,,,,
Circle (Diameter),1.98971725,91.95944269,1.591661611,,,,
Circle (Diameter),2.005430713,79.12053921,1.597934194,,,,
Circle (Diameter),2.494217621,80.29882364,1.782059625,,,,
Circle (Diameter),3.342744622,88.66695857,2.063035298,,,,
Circle (Diameter),4.054859122,76.14756148,2.272181107,,,,
Circle (Diameter),2.564928204,97.22963969,1.807143608,,,,
Circle (Diameter),4.037672522,89.74383508,2.267360651,,,,
Circle (Diameter),4.590000746,79.92520565,2.417471915,,,,
