Name::Name,Area::Area!!R,Intensity Mean Value::Intensity Mean Value!!R,Diameter::Diameter!!R,,,,
,µm²,,µm,,,,
Circle (Diameter),2.979665418,64.13021148,1.9477751,,,,
Circle (Diameter),2.887545241,57.63169991,1.917429735,,,Column1,
Circle (Diameter),3.055973922,62.85829834,1.972558452,,,,
Circle (Diameter),3.616944551,73.28036248,2.145981555,,,Mean,1.94284616
Circle (Diameter),2.500110169,67.6668468,1.784163427,,,Standard Error,0.019681565
Circle (Diameter),3.505870009,62.14699833,2.112773612,,,Median,1.941795483
Circle (Diameter),3.936320686,67.04500301,2.238722662,,,Mode,#N/A
Circle (Diameter),4.272687003,60.72841443,2.332413783,,,Standard Deviation,0.20358769
Circle (Diameter),3.225679322,62.25198698,2.026588876,,,Sample Variance,0.041447947
Circle (Diameter),3.025332669,63.315016,1.962644438,,,Kurtosis,0.334158133
Circle (Diameter),3.034760747,67.08223136,1.965700229,,,Skewness,0.006133923
Circle (Diameter),4.663461185,61.60632149,2.436740281,,,Range,1.08788616
Circle (Diameter),2.361831695,65.83730762,1.734121539,,,Minimum,1.348854121
Circle (Diameter),2.98172781,67.69096463,1.948449065,,,Maximum,2.436740281
Circle (Diameter),2.806522697,74.43440128,1.890337452,,,Sum,207.8845391
Circle (Diameter),3.243356968,73.3314016,2.032134432,,,Count,107
Circle (Diameter),2.961398517,67.81231482,1.941795483,,,,0
Circle (Diameter),3.218313637,74.15811562,2.024273744,,,,
Circle (Diameter),3.742357627,60.83510334,2.182869149,,,,
Circle (Diameter),2.257337166,63.831112,1.695326206,,,,
Circle (Diameter),3.197100462,58.34219058,2.01759132,,,,
Circle (Diameter),2.482923569,78.30498122,1.778020381,,,,
Circle (Diameter),3.077678143,74.03557875,1.979550837,,,,
Circle (Diameter),1.953281658,77.73529581,1.577021068,,,,
Circle (Diameter),2.305263228,78.23958486,1.71322862,,,,
Circle (Diameter),2.995378881,72.53690897,1.952904207,,,,
Circle (Diameter),3.369850345,60.4558023,2.071382804,,,,
Circle (Diameter),3.799908185,65.29717792,2.199589363,,,,
