Name::Name,Area::Area!!R,Intensity Mean Value::Intensity Mean Value!!R,Diameter::Diameter!!R,,,,
,µm²,,µm,,,,
Circle (Diameter),4.138286949,104.5250953,2.295436906,,,,
Circle (Diameter),2.95827711,94.83368141,1.940771857,,,Column1,
Circle (Diameter),2.267054629,112.5624598,1.698971337,,,,
Circle (Diameter),2.243589654,104.3548161,1.690155931,,,Mean,1.817841359
Circle (Diameter),2.69906868,93.53953566,1.853796369,,,Standard Error,0.018904175
Circle (Diameter),2.309212042,90.83553497,1.714695334,,,Median,1.794782886
Circle (Diameter),2.584826069,95.60272601,1.814139677,,,Mode,1.681633104
Circle (Diameter),2.850895021,90.86847929,1.90522237,,,Standard Deviation,0.203604195
Circle (Diameter),2.415699279,92.72941286,1.753785577,,,Sample Variance,0.041454668
Circle (Diameter),2.731482162,86.92328304,1.864894395,,,Kurtosis,3.313535557
Circle (Diameter),2.908960891,89.43480947,1.924526966,,,Skewness,1.234324118
Circle (Diameter),2.224201222,87.30258042,1.682837173,,,Range,1.34438438
Circle (Diameter),2.22101953,95.63271714,1.681633104,,,Minimum,1.376408878
Circle (Diameter),2.168422192,88.68714389,1.661601903,,,Maximum,2.720793258
Circle (Diameter),2.116819133,84.85624038,1.641711859,,,Sum,210.8695976
Circle (Diameter),2.467600622,82.87999818,1.772525513,,,Count,116
Circle (Diameter),4.327597594,84.35198062,2.347353486,,,,0
Circle (Diameter),2.352065449,81.4023872,1.730532502,,,,
Circle (Diameter),2.442445374,84.30465405,1.763467617,,,,
Circle (Diameter),1.724576227,74.09636044,1.481822746,,,,
Circle (Diameter),2.113438586,59.7357048,1.640400434,,,,
Circle (Diameter),2.269838609,58.05329962,1.700014199,,,,
Circle (Diameter),2.398995399,90.38637216,1.747711592,,,,
Circle (Diameter),2.651641591,90.33413931,1.837437055,,,,
Circle (Diameter),2.373641295,87.99895665,1.738451599,,,,
Circle (Diameter),2.180254108,90.027453,1.666128971,,,,
Circle (Diameter),2.391240026,93.85216533,1.744884341,,,,
Circle (Diameter),2.291812166,80.74588594,1.708223018,,,,
Circle (Diameter),2.050003611,75.77780213,1.615594524,,,,
