Name::Name,Area::Area!!R,Intensity Mean Value::Intensity Mean Value!!R,Diameter::Diameter!!R,,,,
,µm²,,µm,,,,
Circle (Diameter),4.662514595,63.42635321,2.436492963,,,,
Circle (Diameter),2.135521966,70.062135,1.648948457,,,Column1,
Circle (Diameter),4.6243356,65.95421745,2.426496848,,,,
Circle (Diameter),2.371231032,68.99663619,1.737568738,,,Mean,2.084882946
Circle (Diameter),1.883497089,75.61774357,1.548593871,,,Standard Error,0.025856821
Circle (Diameter),2.250820355,71.49484897,1.69287728,,,Median,2.216988848
Circle (Diameter),2.073195572,69.2378062,1.624707539,,,Mode,1.674389941
Circle (Diameter),2.523511924,67.81516904,1.792494121,,,Standard Deviation,0.343029491
Circle (Diameter),2.167283409,69.03283876,1.661165537,,,Sample Variance,0.117669231
Circle (Diameter),2.587578671,73.32867254,1.815105366,,,Kurtosis,-1.263914218
Circle (Diameter),3.521713171,69.7787053,2.117542083,,,Skewness,-0.393258527
Circle (Diameter),2.561038286,65.04533872,1.805772749,,,Range,1.352571005
Circle (Diameter),4.103861266,67.53953948,2.285869299,,,Minimum,1.293282142
Circle (Diameter),1.963335786,68.93159609,1.581074559,,,Maximum,2.645853147
Circle (Diameter),1.989332309,76.1665068,1.591507639,,,Sum,366.9393984
Circle (Diameter),1.588072159,73.30718724,1.421969153,,,Count,176
Circle (Diameter),2.175658858,81.03683232,1.664372222,,,,0
Circle (Diameter),2.087118396,72.75841275,1.630153881,,,,
Circle (Diameter),3.54694829,74.52279799,2.12511525,,,,
Circle (Diameter),5.009171169,79.38280916,2.525445469,,,,
Circle (Diameter),3.014291484,69.31843638,1.959059753,,,,
Circle (Diameter),3.638208053,82.14452279,2.152280271,,,,
Circle (Diameter),2.650992785,79.01902335,1.837212249,,,,
Circle (Diameter),3.709236212,75.51427545,2.173188033,,,,
Circle (Diameter),2.258651944,67.5353108,1.695819853,,,,
Circle (Diameter),4.167492925,62.45880444,2.303522692,,,,
Circle (Diameter),4.116370054,84.92344524,2.289350374,,,,
Circle (Diameter),1.999774428,72.31681168,1.595679129,,,,
Circle (Diameter),2.245925612,77.31823403,1.691035571,,,,
Circle (Diameter),2.944786134,70.35828366,1.936341436,,,,
Circle (Diameter),4.072426139,77.35128042,2.277097715,,,,
Circle (Diameter),3.853250427,80.61785766,2.214974225,,,,
Circle (Diameter),4.232212304,71.96494637,2.321340145,,,,
Circle (Diameter),4.085587559,71.57198272,2.280774352,,,,
Circle (Diameter),4.472924885,71.67033687,2.386441879,,,,
Circle (Diameter),2.461838163,73.71085547,1.770454659,,,,
Circle (Diameter),3.978664619,68.05185353,2.250731687,,,,
