Name::Name,Area::Area!!R,Intensity Mean Value::Intensity Mean Value!!R,Diameter::Diameter!!R,,,mean,median,sd,se,max,min
,µm²,,µm,,,1.734900354,1.741728123,0.167487542,0.013909083,2.116031757,1.335997501
Circle (Diameter),2.537223907,103.5685344,1.797357452,,,,,,,,
Circle (Diameter),2.845068451,102.2709825,1.903274457,,,,,,,,
Circle (Diameter),2.288318671,94.26335728,1.706920567,,,,,,,,
Circle (Diameter),2.304186946,102.8883639,1.712828637,,,,,,,,
Circle (Diameter),2.370833704,102.9432426,1.737423157,,,,,,,,
Circle (Diameter),2.654309111,99.78204313,1.838361043,,,,,,,,
Circle (Diameter),1.610969997,95.06411777,1.432183894,,,,,,,,
Circle (Diameter),2.021278263,97.21202022,1.604235461,,,,,,,,
Circle (Diameter),1.889798266,102.5553906,1.551182093,,,,,,,,
Circle (Diameter),1.505445965,107.5129561,1.384483057,,,,,,,,
Circle (Diameter),1.654041031,100.5424912,1.451203104,,,,,,,,
Circle (Diameter),2.729570075,102.1932212,1.864241551,,,,,,,,
Circle (Diameter),2.360519324,108.2316026,1.733639683,,,,,,,,
Circle (Diameter),1.844800371,114.102847,1.53260327,,,,,,,,
Circle (Diameter),2.826933279,94.19017502,1.897198788,,,,,,,,
Circle (Diameter),2.368566807,95.18804796,1.736592331,,,,,,,,
Circle (Diameter),2.180754432,103.4556408,1.666320131,,,,,,,,
Circle (Diameter),2.606590939,112.5459606,1.821761417,,,,,,,,
Circle (Diameter),2.699420351,110.786119,1.853917134,,,,,,,,
Circle (Diameter),1.518140585,105.3182053,1.390308105,,,,,,,,
Circle (Diameter),2.343290911,108.0836051,1.727301552,,,,,,,,
Circle (Diameter),2.074890366,112.7823991,1.625371485,,,,,,,,
Circle (Diameter),2.244794258,98.77153577,1.6906096,,,,,,,,
Circle (Diameter),1.401848795,102.0546706,1.335997501,,,,,,,,
Circle (Diameter),2.358592462,94.67362538,1.732931964,,,,,,,,
Circle (Diameter),1.858855129,106.707872,1.538430323,,,,,,,,
Circle (Diameter),2.758473005,104.222657,1.87408562,,,,,,,,
Circle (Diameter),2.658842904,96.32306781,1.839930414,,,,,,,,
Circle (Diameter),2.636060594,98.52706103,1.832030729,,,,,,,,
Circle (Diameter),2.664510145,110.2784735,1.841890248,,,,,,,,
Circle (Diameter),1.894445404,99.87800545,1.553088151,,,,,,,,
Circle (Diameter),2.430679771,105.0104485,1.759215054,,,,,,,,
Circle (Diameter),1.959051954,105.661221,1.579348732,,,,,,,,
Circle (Diameter),2.428412875,114.2985157,1.758394524,,,,,,,,
Circle (Diameter),2.825686486,101.5650978,1.896780371,,,,,,,,
Circle (Diameter),2.229039328,96.88972406,1.684666441,,,,,,,,
Circle (Diameter),2.761306626,94.57317917,1.875047944,,,,,,,,
Circle (Diameter),2.762213384,88.67519661,1.875355783,,,,,,,,
Circle (Diameter),2.603530629,101.7219822,1.820691669,,,,,,,,
Circle (Diameter),2.113880985,97.94957492,1.640572115,,,,,,,,
Circle (Diameter),1.990448471,96.0489471,1.591954052,,,,,,,,
Circle (Diameter),2.385228496,100.5420988,1.742689658,,,,,,,,
Circle (Diameter),3.017012551,111.3044095,1.959943797,,,,,,,,
Circle (Diameter),2.125442158,114.127781,1.64505228,,,,,,,,
Circle (Diameter),2.223372086,100.9276007,1.682523481,,,,,,,,
Circle (Diameter),2.483725149,111.6159162,1.778307363,,,,,,,,
Circle (Diameter),2.834980762,109.0829495,1.899897264,,,,,,,,
Circle (Diameter),2.503787183,110.4211212,1.785474966,,,,,,,,
Circle (Diameter),2.513761528,102.7149432,1.789027832,,,,,,,,
Circle (Diameter),3.047615653,116.6782191,1.969859073,,,,,,,,
Circle (Diameter),3.376995715,109.1556615,2.073577702,,,,,,,,
Circle (Diameter),2.419685323,110.0854943,1.755231905,,,,,,,,
Circle (Diameter),1.777246855,114.6642884,1.504280884,,,,,,,,
Circle (Diameter),2.206257018,106.6874491,1.676035107,,,,,,,,
Circle (Diameter),1.568352343,110.7260127,1.413112955,,,,,,,,
Circle (Diameter),2.060382228,102.5387299,1.619679021,,,,,,,,
Circle (Diameter),1.545343343,111.7862369,1.402708899,,,,,,,,
Circle (Diameter),2.113880985,119.1036608,1.640572115,,,,,,,,
Circle (Diameter),1.882090818,115.3497313,1.548015651,,,,,,,,
Circle (Diameter),1.922328231,108.3439636,1.564475734,,,,,,,,
Circle (Diameter),2.18211457,102.7723368,1.666839693,,,,,,,,
Circle (Diameter),2.849964096,85.21112781,1.904911281,,,,,,,,
Circle (Diameter),1.514043426,92.12521276,1.388430755,,,,,,,,
Circle (Diameter),2.45055807,88.60481983,1.766393909,,,,,,,,
Circle (Diameter),1.868096658,82.75959048,1.54224983,,,,,,,,
Circle (Diameter),2.889014085,81.89396475,1.917917354,,,,,,,,
Circle (Diameter),1.591869369,85.46191819,1.42366816,,,,,,,,
Circle (Diameter),2.297646535,84.84628172,1.710395986,,,,,,,,
Circle (Diameter),2.155285348,87.00890254,1.656561057,,,,,,,,
Circle (Diameter),2.885588648,87.92040673,1.916780002,,,,,,,,
Circle (Diameter),2.683350811,96.72866365,1.84839075,,,,,,,,
Circle (Diameter),1.671887592,87.38088196,1.459011102,,,,,,,,
Circle (Diameter),3.511073556,85.27667414,2.11434096,,,,,,,,
Circle (Diameter),3.000409316,85.66033415,1.954543372,,,,,,,,
Circle (Diameter),2.315184776,90.27708445,1.716911416,,,,,,,,
Circle (Diameter),2.235714623,78.83072746,1.687187088,,,,,,,,
Circle (Diameter),1.890978581,93.54322895,1.551666429,,,,,,,,
Circle (Diameter),2.042793977,99.59788825,1.612751088,,,,,,,,
Circle (Diameter),2.275723734,94.29832617,1.702216629,,,,,,,,
Circle (Diameter),2.72459308,92.96343829,1.862541181,,,,,,,,
Circle (Diameter),2.600592238,98.00440719,1.819663946,,,,,,,,
Circle (Diameter),2.065401865,89.57700462,1.621650804,,,,,,,,
Circle (Diameter),2.639642227,83.38420582,1.833274902,,,,,,,,
Circle (Diameter),2.281341452,84.97080004,1.70431633,,,,,,,,
Circle (Diameter),2.268050754,86.21059938,1.699344553,,,,,,,,
Circle (Diameter),2.380953178,91.02266824,1.741127147,,,,,,,,
Circle (Diameter),2.214202875,75.80636794,1.679050523,,,,,,,,
Circle (Diameter),2.754736931,66.69864021,1.87281606,,,,,,,,
Circle (Diameter),2.07060853,80.94547526,1.623693525,,,,,,,,
Circle (Diameter),2.483442271,89.01075562,1.778206092,,,,,,,,
Circle (Diameter),2.14089851,79.20324222,1.651022908,,,,,,,,
Circle (Diameter),2.710754312,82.48185024,1.857805045,,,,,,,,
Circle (Diameter),3.056038423,98.01114967,1.972579269,,,,,,,,
Circle (Diameter),2.073485898,93.47419722,1.624821295,,,,,,,,
Circle (Diameter),2.713631679,84.15730616,1.85879078,,,,,,,,
