Name::Name,Area::Area!!R,Intensity Mean Value::Intensity Mean Value!!R,Diameter::Diameter!!R,,,
,µm²,,µm,,,
Circle (Diameter),2.524466037,74.5913945,1.79283295,,Column1,
Circle (Diameter),2.315869816,74.26139287,1.717165406,,,
Circle (Diameter),4.545610213,72.44699055,2.405753661,,Mean,2.060187803
Circle (Diameter),4.149336318,73.38044304,2.298499311,,Standard Error,0.025576751
Circle (Diameter),4.265517735,77.93501004,2.330456148,,Median,2.062292638
Circle (Diameter),4.208556432,75.25075658,2.31484351,,Mode,1.93854076
Circle (Diameter),4.156210958,71.79962623,2.300402606,,Standard Deviation,0.263328763
Circle (Diameter),2.392571157,69.15665478,1.745369935,,Sample Variance,0.069342038
Circle (Diameter),2.603819025,70.55065508,1.820792506,,Kurtosis,-0.764736422
Circle (Diameter),3.479058913,69.30165303,2.104679402,,Skewness,-0.241782638
Circle (Diameter),4.346736697,70.77429727,2.352538428,,Range,1.050838289
Circle (Diameter),4.211699124,77.15343477,2.31570764,,Minimum,1.502303205
Circle (Diameter),4.398689334,76.02441649,2.366555557,,Maximum,2.553141494
Circle (Diameter),4.049752247,77.81595724,2.270749812,,Sum,218.3799071
Circle (Diameter),4.195985661,87.38086022,2.311383757,,Count,106
Circle (Diameter),4.041208051,85.06826625,2.268353125,,,0
Circle (Diameter),5.092831561,79.85360515,2.546447435,,,
Circle (Diameter),4.301756909,89.28711782,2.340334807,,,
Circle (Diameter),4.405760392,83.84053335,2.368456957,,,
Circle (Diameter),3.98974646,91.50856498,2.253864008,,,
Circle (Diameter),2.255274774,83.48581543,1.694551571,,,
Circle (Diameter),4.251473828,86.97446639,2.326616556,,,
Circle (Diameter),5.119642657,80.77238872,2.553141494,,,
Circle (Diameter),3.220965283,87.18631365,2.025107496,,,
Circle (Diameter),4.984408666,77.06348847,2.51919555,,,
Circle (Diameter),2.27864855,75.32796493,1.703310143,,,
Circle (Diameter),3.376037521,76.23338589,2.073283501,,,
Circle (Diameter),4.406153229,70.93135725,2.368562545,,,
Circle (Diameter),2.163056388,74.4020388,1.659544796,,,
Circle (Diameter),3.112935225,69.07351664,1.990857159,,,
Circle (Diameter),2.734633604,69.81003909,1.865969894,,,
Circle (Diameter),2.951479393,90.77262137,1.93854076,,,
Circle (Diameter),2.881554483,75.10790749,1.915439667,,,
Circle (Diameter),3.213403179,81.72119558,2.02272885,,,
Circle (Diameter),3.679798402,75.40167723,2.16454726,,,
Circle (Diameter),3.342351785,69.93171339,2.062914071,,,
Circle (Diameter),3.238937557,81.10474933,2.030749463,,,
Circle (Diameter),1.848099665,84.56582225,1.533973134,,,
Circle (Diameter),3.944864881,86.6225741,2.241151036,,,
Circle (Diameter),3.604864826,75.35396488,2.142395027,,,
Circle (Diameter),2.372831119,65.90600436,1.738154888,,,
Circle (Diameter),3.678521684,67.9148037,2.164171729,,,
Circle (Diameter),4.529503913,82.38688908,2.401487768,,,
Circle (Diameter),3.97255986,69.2700051,2.249004292,,,
Circle (Diameter),4.715020985,81.90478811,2.450173703,,,
Circle (Diameter),4.118695065,80.2627077,2.289996819,,,
Circle (Diameter),3.96106939,79.23105145,2.24574936,,,
Circle (Diameter),3.724600381,82.75006049,2.177684204,,,
Circle (Diameter),3.97498044,78.09935652,2.249689375,,,
Circle (Diameter),3.667022424,70.0381219,2.160786422,,,
Circle (Diameter),4.117139156,75.85472241,2.289564235,,,
Circle (Diameter),4.272221391,87.28661496,2.332286693,,,
Circle (Diameter),3.320745773,103.3681375,2.056235599,,,
Circle (Diameter),3.44841766,114.9954275,2.095390592,,,
Circle (Diameter),2.806817325,90.46783649,1.890436673,,,
Circle (Diameter),3.341566112,101.7047468,2.062671596,,,
Circle (Diameter),3.150549327,103.655346,2.002848969,,,
Circle (Diameter),3.665950913,99.28829715,2.160470706,,,
Circle (Diameter),3.339110883,95.02676916,2.061913679,,,
Circle (Diameter),1.772576833,101.4027012,1.502303205,,,
Circle (Diameter),1.841617861,105.5575787,1.531280734,,,
Circle (Diameter),4.084027238,95.39396528,2.280338786,,,
Circle (Diameter),2.818307795,107.0194639,1.894302229,,,
Circle (Diameter),2.396303104,97.58596244,1.746730624,,,
Circle (Diameter),4.556904264,91.76814571,2.408740482,,,
Circle (Diameter),3.021895349,103.1543534,1.961529163,,,
Circle (Diameter),4.260803696,107.0990643,2.32916804,,,
Circle (Diameter),2.900017802,107.0816738,1.921566378,,,
Circle (Diameter),3.851566195,114.2668915,2.214490097,,,
Circle (Diameter),2.246337742,111.6789051,1.691190718,,,
Circle (Diameter),3.35099419,107.1197703,2.065579414,,,
