Name::Name,Area::Area!!R,Intensity Mean Value::Intensity Mean Value!!R,Diameter::Diameter!!R,,,
,µm²,,µm,,,
Circle (Diameter),2.20872364,113.8077688,1.676971759,,Column1,
Circle (Diameter),2.300549189,112.0994141,1.71147603,,,
Circle (Diameter),2.726776873,101.6241345,1.863287456,,Mean,2.105849828
Circle (Diameter),3.938186659,97.9876169,2.239253221,,Standard Error,0.025224654
Circle (Diameter),3.46678277,109.2639982,2.100962854,,Median,2.160586459
Circle (Diameter),3.674789736,108.4151966,2.163073649,,Mode,1.994966908
Circle (Diameter),4.321693365,109.7145837,2.345751669,,Standard Deviation,0.272846354
Circle (Diameter),2.540081291,109.8194506,1.798369246,,Sample Variance,0.074445133
Circle (Diameter),2.607059927,111.1443859,1.821925299,,Kurtosis,-0.737813948
Circle (Diameter),4.031779973,104.7937752,2.265705563,,Skewness,-0.424227512
Circle (Diameter),4.72366339,102.1901467,2.452418199,,Range,1.167376619
Circle (Diameter),1.646181665,115.9031156,1.44775122,,Minimum,1.44775122
Circle (Diameter),3.474344874,130.8243931,2.103253025,,Maximum,2.615127839
Circle (Diameter),2.205482738,111.7924067,1.675740982,,Sum,246.3844298
Circle (Diameter),3.372894829,111.4598538,2.072318285,,Count,117
Circle (Diameter),4.374333466,102.4197877,2.359994566,,,0
Circle (Diameter),2.810549272,101.38886,1.891693018,,,
Circle (Diameter),3.125800623,128.797934,1.994966908,,,
Circle (Diameter),2.707135044,112.2739316,1.856564405,,,
Circle (Diameter),3.249249517,115.5732129,2.033979591,,,
Circle (Diameter),3.155656203,121.9741889,2.004471568,,,
Circle (Diameter),3.547412477,109.5506791,2.125254302,,,
Circle (Diameter),3.003824867,108.0746218,1.955655544,,,
Circle (Diameter),2.437550945,114.9844074,1.76169982,,,
Circle (Diameter),3.836540196,100.9709511,2.210166214,,,
Circle (Diameter),2.948729537,121.5253454,1.937637493,,,
Circle (Diameter),3.812282537,110.4318873,2.20316792,,,
Circle (Diameter),3.130907499,120.6712309,1.996595913,,,
Circle (Diameter),2.647718512,119.1497408,1.836077317,,,
Circle (Diameter),3.899001211,120.8404532,2.228084946,,,
Circle (Diameter),3.551242633,119.4883994,2.126401315,,,
Circle (Diameter),3.948203992,117.1472352,2.242099341,,,
Circle (Diameter),4.598741359,116.8776725,2.419772583,,,
Circle (Diameter),4.377476159,117.6429086,2.36084217,,,
Circle (Diameter),4.137060175,118.369525,2.295096646,,,
Circle (Diameter),2.929087709,114.6139078,1.931173296,,,
Circle (Diameter),4.989417333,114.1202965,2.52046096,,,
Circle (Diameter),4.646667421,110.5362523,2.432348806,,,
Circle (Diameter),4.487961445,115.5145297,2.390449746,,,
Circle (Diameter),2.361046022,113.968254,1.733833084,,,
Circle (Diameter),3.994460499,112.9678055,2.255195128,,,
Circle (Diameter),5.096072463,109.8365727,2.547257541,,,
Circle (Diameter),4.925384971,109.6501213,2.504235396,,,
Circle (Diameter),3.576089547,110.7583732,2.133827225,,,
Circle (Diameter),4.16406769,119.7532978,2.302575873,,,
Circle (Diameter),4.195985661,112.8006557,2.311383757,,,
Circle (Diameter),3.295211396,102.5038262,2.048314785,,,
Circle (Diameter),2.192126295,104.6486931,1.670659117,,,
Circle (Diameter),4.139318986,104.0544201,2.295723115,,,
Circle (Diameter),4.101704883,110.8400286,2.285268662,,,
Circle (Diameter),3.084749201,112.5398556,1.981823572,,,
Circle (Diameter),4.367753454,101.2353245,2.358218908,,,
Circle (Diameter),4.640283827,99.59071914,2.43067745,,,
Circle (Diameter),3.885644768,114.1313459,2.224265401,,,
Circle (Diameter),5.371254483,108.9757051,2.615127839,,,
Circle (Diameter),3.256713412,99.46644504,2.036314392,,,
Circle (Diameter),4.453686454,107.4108445,2.381304204,,,
Circle (Diameter),3.487701318,100.5484756,2.10729192,,,
Circle (Diameter),2.905517514,102.4612705,1.923387584,,,
Circle (Diameter),2.878018954,101.710372,1.91426423,,,
Circle (Diameter),2.273836302,109.2908005,1.701510593,,,
Circle (Diameter),2.07113263,115.7800467,1.623899001,,,
Circle (Diameter),3.300809317,102.8081108,2.05005389,,,
Circle (Diameter),2.629353402,104.933675,1.829698535,,,
Circle (Diameter),4.141479587,111.1431992,2.296322186,,,
Circle (Diameter),2.476834602,112.7875516,1.775838889,,,
Circle (Diameter),4.041993724,104.6790564,2.268573616,,,
Circle (Diameter),4.884726386,84.37288449,2.493877864,,,
Circle (Diameter),4.355084474,77.36297486,2.354796334,,,
Circle (Diameter),4.352039991,85.28331177,2.353973113,,,
Circle (Diameter),3.790578316,81.78901236,2.196887391,,,
Circle (Diameter),3.992889152,78.10289679,2.254751509,,,
Circle (Diameter),4.404189046,75.64598531,2.368034555,,,
Circle (Diameter),3.770150815,75.4019063,2.19095986,,,
Circle (Diameter),3.849209175,91.23673278,2.213812399,,,
Circle (Diameter),2.327262076,82.49741858,1.721383777,,,
Circle (Diameter),3.362091823,87.98863827,2.068996922,,,
Circle (Diameter),4.382681243,84.97749312,2.362245345,,,
Circle (Diameter),4.019209203,87.3238501,2.26217066,,,
Circle (Diameter),4.31197066,80.0416046,2.343111513,,,
Circle (Diameter),2.463576368,81.45612511,1.771079573,,,
Circle (Diameter),3.906563315,96.91169176,2.230244582,,,
Circle (Diameter),4.449365252,76.41781516,2.38014869,,,
Circle (Diameter),4.519290162,79.53140904,2.398778637,,,
Circle (Diameter),2.366840361,76.46188298,1.735959315,,,
Circle (Diameter),2.027822398,84.8523828,1.606830317,,,
Circle (Diameter),4.112311471,79.7569203,2.28822149,,,
Circle (Diameter),4.220341529,76.60230155,2.318082338,,,
Circle (Diameter),2.731098075,98.39287773,1.864763274,,,
Circle (Diameter),3.963721037,84.04432826,2.246500917,,,
Circle (Diameter),2.079775035,93.86803044,1.62728357,,,
Circle (Diameter),1.829538137,80.33503067,1.526250407,,,
Circle (Diameter),3.125800623,86.55844016,1.994966908,,,
Circle (Diameter),3.66634375,88.40658363,2.160586459,,,
Circle (Diameter),3.860012181,84.7805056,2.216916812,,,
Circle (Diameter),4.357539703,89.43034568,2.355460012,,,
Circle (Diameter),3.055973922,95.32739938,1.972558452,,,
Circle (Diameter),3.664477776,87.38368088,2.160036577,,,
Circle (Diameter),3.811791492,87.07345467,2.203026024,,,
Circle (Diameter),5.007291397,83.86728055,2.524971568,,,
Circle (Diameter),4.667291342,83.74068892,2.437740737,,,
Circle (Diameter),4.175263532,83.16778741,2.305669239,,,
Circle (Diameter),2.585748543,88.70977836,1.814463363,,,
Circle (Diameter),2.557857146,79.30741506,1.804650899,,,
Circle (Diameter),4.210913451,85.42210087,2.315491638,,,
Circle (Diameter),3.536511262,86.96983486,2.121986331,,,
Circle (Diameter),2.269024054,73.5890099,1.699709138,,,
Circle (Diameter),4.608464065,77.16277478,2.422329186,,,
Circle (Diameter),3.182172672,82.16997097,2.012875576,,,
Circle (Diameter),2.545777421,92.79238693,1.800384538,,,
Circle (Diameter),2.305263228,77.1791001,1.71322862,,,
Circle (Diameter),4.915662266,84.60218434,2.501762496,,,
Circle (Diameter),4.636355461,80.24751368,2.429648353,,,
Circle (Diameter),4.096990845,81.75400231,2.283955069,,,
Circle (Diameter),1.655609743,79.44291898,1.45189111,,,
Circle (Diameter),3.308175003,79.61373376,2.052339941,,,
Circle (Diameter),3.106748049,96.74901436,1.988877692,,,
