Name::Name,Area::Area!!R,Intensity Mean Value::Intensity Mean Value!!R,Diameter::Diameter!!R,,,mean,median,sd,se,max,min
,µm²,,µm,,,2.103842125,2.155924895,0.20721885,0.018174295,2.536114382,1.637612897
Circle (Diameter),2.975352789,107.5650367,1.94636503,,,,,,,,
Circle (Diameter),3.841417394,110.7754863,2.211570603,,,,,,,,
Circle (Diameter),3.278424964,104.7038868,2.043090871,,,,,,,,
Circle (Diameter),3.775512646,105.6524398,2.192517275,,,,,,,,
Circle (Diameter),3.849935695,105.2339455,2.214021312,,,,,,,,
Circle (Diameter),2.551118995,94.39176304,1.80227234,,,,,,,,
Circle (Diameter),3.695149203,99.70569948,2.16905742,,,,,,,,
Circle (Diameter),3.519403209,100.9649909,2.1168475,,,,,,,,
Circle (Diameter),3.913935033,107.7507699,2.232347836,,,,,,,,
Circle (Diameter),3.325723949,103.212624,2.057776287,,,,,,,,
Circle (Diameter),3.864730638,101.6583766,2.218271372,,,,,,,,
Circle (Diameter),3.607388289,99.80631546,2.143144751,,,,,,,,
Circle (Diameter),3.915392111,110.8714672,2.232763326,,,,,,,,
Circle (Diameter),3.019961785,107.9001939,1.960901519,,,,,,,,
Circle (Diameter),3.872352276,97.56871294,2.220457621,,,,,,,,
Circle (Diameter),3.968295242,92.58930496,2.247796794,,,,,,,,
Circle (Diameter),4.508086511,96.99902483,2.395803418,,,,,,,,
Circle (Diameter),3.766097682,99.46492356,2.189781838,,,,,,,,
Circle (Diameter),3.108395197,105.8199327,1.989404857,,,,,,,,
Circle (Diameter),3.674750115,108.1284378,2.163061988,,,,,,,,
Circle (Diameter),3.827407031,105.4772439,2.207533915,,,,,,,,
Circle (Diameter),2.11724607,98.88098902,1.641877408,,,,,,,,
Circle (Diameter),3.935567034,105.8292836,2.238508338,,,,,,,,
Circle (Diameter),2.52971116,101.7715774,1.794694482,,,,,,,,
Circle (Diameter),4.387485306,94.02389517,2.363539675,,,,,,,,
Circle (Diameter),3.954845294,91.11404733,2.243984274,,,,,,,,
Circle (Diameter),2.57757056,98.10830388,1.811591777,,,,,,,,
Circle (Diameter),2.530944072,90.95690844,1.795131772,,,,,,,,
Circle (Diameter),2.156475087,94.79671533,1.657018213,,,,,,,,
Circle (Diameter),2.706353818,102.9519155,1.856296502,,,,,,,,
Circle (Diameter),3.650540207,98.29039113,2.155924895,,,,,,,,
Circle (Diameter),3.878068504,93.04896915,2.222095897,,,,,,,,
Circle (Diameter),2.314287817,99.61107061,1.716578797,,,,,,,,
Circle (Diameter),3.805887113,101.9656652,2.201319144,,,,,,,,
Circle (Diameter),3.778202636,103.1312737,2.193298202,,,,,,,,
Circle (Diameter),4.148188304,98.98540959,2.298181322,,,,,,,,
Circle (Diameter),3.975020216,104.4493666,2.249700631,,,,,,,,
Circle (Diameter),2.233251877,106.3764517,1.686257573,,,,,,,,
