Name::Name,Area::Area!!R,Intensity Mean Value::Intensity Mean Value!!R,Diameter::Diameter!!R,,,,
,µm²,,µm,,,,
Circle (Diameter),3.344266008,56.34202908,2.06350472,,,,
Circle (Diameter),3.158342053,61.06474418,2.005324412,,,Column1,
Circle (Diameter),3.161735577,58.43071174,2.006401447,,,,
Circle (Diameter),2.154167594,54.87319011,1.656131446,,,Mean,1.951723245
Circle (Diameter),2.718932175,50.87145137,1.860605268,,,Standard Error,0.019895516
Circle (Diameter),2.799656901,57.56747308,1.888023802,,,Median,1.915431959
Circle (Diameter),3.789743095,60.70288024,2.196645345,,,Mode,1.845768232
Circle (Diameter),3.576670952,53.18892631,2.134000678,,,Standard Deviation,0.238746197
Circle (Diameter),1.745710764,60.40559261,1.490874904,,,Sample Variance,0.056999747
Circle (Diameter),3.046869947,58.56487254,1.969618061,,,Kurtosis,-0.718235785
Circle (Diameter),3.696472615,57.87203387,2.169445807,,,Skewness,0.041795308
Circle (Diameter),3.889697788,55.15637133,2.225425137,,,Range,1.080666201
Circle (Diameter),2.3184964,53.89197456,1.718138906,,,Minimum,1.42507008
Circle (Diameter),3.999216047,42.45892048,2.256537174,,,Maximum,2.505736281
Circle (Diameter),4.146782903,50.90559374,2.297791978,,,Sum,281.0481473
Circle (Diameter),2.675741875,63.96532035,1.845768232,,,Count,144
Circle (Diameter),3.756733366,58.5133653,2.187057722,,,,0
Circle (Diameter),3.94769619,65.3882786,2.241955151,,,,
Circle (Diameter),2.675741875,50.88109948,1.845768232,,,,
Circle (Diameter),2.525707002,57.6556757,1.793273552,,,,
Circle (Diameter),3.631481498,66.30871859,2.150289713,,,,
Circle (Diameter),3.341078153,54.92499831,2.062520988,,,,
Circle (Diameter),3.676522811,58.58465876,2.163583654,,,,
Circle (Diameter),2.359527184,57.35562658,1.733275315,,,,
Circle (Diameter),3.71487991,59.07742229,2.174840685,,,,
Circle (Diameter),3.975564216,52.39696841,2.249854567,,,,
Circle (Diameter),3.175515339,55.61654801,2.010768934,,,,
Circle (Diameter),3.791799776,55.31278423,2.197241321,,,,
Circle (Diameter),3.403087082,54.8495818,2.081572734,,,,
Circle (Diameter),4.463820266,60.87015612,2.384011846,,,,
Circle (Diameter),3.136027065,65.4890634,1.998227633,,,,
Circle (Diameter),4.139378851,60.94222766,2.295739716,,,,
Circle (Diameter),2.356544997,64.00414641,1.732179632,,,,
Circle (Diameter),2.651987211,46.1569501,1.837556799,,,,
Circle (Diameter),2.773331385,66.46498964,1.879126177,,,,
Circle (Diameter),3.101166323,66.57235123,1.987090234,,,,
Circle (Diameter),2.08568012,67.18796142,1.629592098,,,,
Circle (Diameter),4.188327857,56.35941537,2.30927362,,,,
Circle (Diameter),3.958802267,64.68811304,2.245106589,,,,
Circle (Diameter),2.259983828,67.07123669,1.696319775,,,,
Circle (Diameter),2.683968599,56.07467315,1.848603515,,,,
Circle (Diameter),2.480871358,54.84753689,1.777285435,,,,
Circle (Diameter),2.322095591,57.24807813,1.719471993,,,,
Circle (Diameter),2.499792823,51.38264388,1.784050189,,,,
Circle (Diameter),2.110668793,57.12749174,1.639325158,,,,
Circle (Diameter),1.811935889,70.68376121,1.518890525,,,,
Circle (Diameter),2.254944959,58.44174539,1.69442766,,,,
Circle (Diameter),2.756363767,55.41076534,1.873368984,,,,
Circle (Diameter),3.081422187,54.04641396,1.980754549,,,,
