Name::Name,Area::Area!!R,Intensity Mean Value::Intensity Mean Value!!R,Diameter::Diameter!!R,,,mean,median,sd,se,max,min
,µm²,,µm,,,1.516421134,1.53384345,0.252286675,0.022935152,2.04541299,0.506300029
Circle (Diameter),1.169474482,109.5636851,1.220254546,,,,,,,,
Circle (Diameter),2.257435375,101.9815192,1.695363085,,,,,,,,
Circle (Diameter),1.870098513,106.9498709,1.543075947,,,,,,,,
Circle (Diameter),1.14560966,100.166065,1.207739841,,,,,,,,
Circle (Diameter),2.272657793,91.76102031,1.701069597,,,,,,,,
Circle (Diameter),3.285881527,87.12806819,2.04541299,,,,,,,,
Circle (Diameter),1.489341663,94.56768953,1.377057988,,,,,,,,
Circle (Diameter),1.688902643,103.8811592,1.466416596,,,,,,,,
Circle (Diameter),1.289486056,104.394042,1.281337051,,,,,,,,
Circle (Diameter),2.21216096,101.8571501,1.678276143,,,,,,,,
Circle (Diameter),2.270595401,100.2255382,1.700297578,,,,,,,,
Circle (Diameter),2.086944302,95.28979658,1.630085891,,,,,,,,
Circle (Diameter),1.414604505,94.54138968,1.342061994,,,,,,,,
Circle (Diameter),2.054240657,87.67096986,1.617263256,,,,,,,,
Circle (Diameter),1.882178238,97.94241556,1.548051602,,,,,,,,
Circle (Diameter),1.185286154,111.5376344,1.228475968,,,,,,,,
Circle (Diameter),2.899624966,99.13005892,1.921436226,,,,,,,,
Circle (Diameter),2.835592604,95.07191456,1.90010227,,,,,,,,
Circle (Diameter),2.436470644,99.28494971,1.761309392,,,,,,,,
Circle (Diameter),1.769728768,104.546989,1.501095817,,,,,,,,
Circle (Diameter),1.139226066,111.4118225,1.204370241,,,,,,,,
Circle (Diameter),2.706643998,99.83489782,1.856396017,,,,,,,,
Circle (Diameter),1.254720019,93.98371596,1.263945863,,,,,,,,
Circle (Diameter),2.610890083,90.46254577,1.823263146,,,,,,,,
Circle (Diameter),2.315575188,99.87855096,1.717056172,,,,,,,,
Circle (Diameter),2.063177689,101.8308262,1.620777413,,,,,,,,
Circle (Diameter),0.870525849,92.48071749,1.052800045,,,,,,,,
Circle (Diameter),2.293478131,94.51259187,1.708843776,,,,,,,,
Circle (Diameter),2.200375863,102.9153399,1.673799738,,,,,,,,
Circle (Diameter),2.169439983,108.0703291,1.66199181,,,,,,,,
Circle (Diameter),2.823807507,96.0020326,1.896149621,,,,,,,,
Circle (Diameter),1.917828157,94.89274836,1.562643481,,,,,,,,
Circle (Diameter),1.196285578,99.97371621,1.234162917,,,,,,,,
Circle (Diameter),1.677117546,91.94160584,1.46129134,,,,,,,,
Circle (Diameter),1.599630531,92.01106985,1.427134489,,,,,,,,
Circle (Diameter),1.144136523,97.15059535,1.206963076,,,,,,,,
Circle (Diameter),1.776112362,94.60310743,1.503800684,,,,,,,,
Circle (Diameter),2.835690813,91.09695028,1.900135174,,,,,,,,
Circle (Diameter),2.050606919,99.91946971,1.615832238,,,,,,,,
Circle (Diameter),1.876285689,94.93245263,1.545626454,,,,,,,,
Circle (Diameter),2.464656668,97.65816606,1.771467847,,,,,,,,
Circle (Diameter),2.269416891,92.7017127,1.699856267,,,,,,,,
Circle (Diameter),1.263853469,97.36503285,1.268537826,,,,,,,,
Circle (Diameter),1.819815431,95.65634081,1.522189532,,,,,,,,
Circle (Diameter),1.553374025,88.26124567,1.406348903,,,,,,,,
Circle (Diameter),1.640583744,94.30168286,1.445287549,,,,,,,,
Circle (Diameter),2.262836878,90.28643066,1.697390172,,,,,,,,
Circle (Diameter),2.608827691,95.79286115,1.822542889,,,,,,,,
Circle (Diameter),1.730445111,96.59253741,1.484341991,,,,,,,,
Circle (Diameter),2.185153446,91.96355423,1.667999934,,,,,,,,
Circle (Diameter),1.971253931,91.32837183,1.584259593,,,,,,,,
Circle (Diameter),1.461843103,92.7955958,1.364286058,,,,,,,,
Circle (Diameter),2.153628311,98.28739583,1.655924132,,,,,,,,
Circle (Diameter),2.359572885,94.8322934,1.7332921,,,,,,,,
Circle (Diameter),2.436077808,93.34119548,1.761167397,,,,,,,,
Circle (Diameter),2.226597704,97.63819273,1.683743522,,,,,,,,
Circle (Diameter),2.390410556,109.0935738,1.744581683,,,,,,,,
Circle (Diameter),2.236418619,95.87511317,1.687452703,,,,,,,,
Circle (Diameter),2.561687302,92.20035119,1.806001543,,,,,,,,
Circle (Diameter),1.219855773,99.09712131,1.246261854,,,,,,,,
Circle (Diameter),1.382882951,89.95117995,1.326929259,,,,,,,,
Circle (Diameter),1.659832736,104.1889181,1.453741613,,,,,,,,
Circle (Diameter),1.082854018,96.44673823,1.174194429,,,,,,,,
Circle (Diameter),1.8968114,94.2751376,1.554057683,,,,,,,,
Circle (Diameter),0.300618189,110.5199707,0.61867517,,,,,,,,
Circle (Diameter),1.323957465,131.4534035,1.298350877,,,,,,,,
Circle (Diameter),1.437978281,121.5859649,1.353104139,,,,,,,,
Circle (Diameter),1.825609771,112.8474212,1.524610952,,,,,,,,
Circle (Diameter),1.603558897,112.602494,1.42888579,,,,,,,,
Circle (Diameter),1.239890438,106.9098117,1.256454351,,,,,,,,
Circle (Diameter),1.702259086,103.8820388,1.472203649,,,,,,,,
Circle (Diameter),1.438272908,106.8803432,1.353242751,,,,,,,,
Circle (Diameter),2.306048901,100.799659,1.713520544,,,,,,,,
Circle (Diameter),1.475592383,109.3526328,1.370686899,,,,,,,,
Circle (Diameter),1.429630504,108.507007,1.34917089,,,,,,,,
Circle (Diameter),2.616782632,105.1431455,1.825319459,,,,,,,,
Circle (Diameter),1.245488359,110.0820453,1.25928751,,,,,,,,
Circle (Diameter),2.78324713,103.665549,1.882482486,,,,,,,,
Circle (Diameter),3.183744018,102.7253932,2.01337249,,,,,,,,
Circle (Diameter),2.227874423,107.2544409,1.684226177,,,,,,,,
Circle (Diameter),1.254916437,93.84511574,1.264044791,,,,,,,,
Circle (Diameter),2.105309412,83.88730142,1.637242559,,,,,,,,
Circle (Diameter),2.294656641,74.85593761,1.709282767,,,,,,,,
Circle (Diameter),2.174154022,89.16278349,1.663796525,,,,,,,,
Circle (Diameter),2.093033269,86.59414922,1.632462167,,,,,,,,
Circle (Diameter),1.733293176,88.84809798,1.485562996,,,,,,,,
Circle (Diameter),1.607683681,95.52210908,1.430722348,,,,,,,,
Circle (Diameter),2.269416891,88.5554125,1.699856267,,,,,,,,
Circle (Diameter),1.486886434,99.97965489,1.375922457,,,,,,,,
Circle (Diameter),2.087729975,97.06702168,1.630392702,,,,,,,,
Circle (Diameter),2.065240081,103.0880466,1.621587291,,,,,,,,
Circle (Diameter),1.308636839,107.4614591,1.290816863,,,,,,,,
Circle (Diameter),1.323564629,98.57994396,1.298158244,,,,,,,,
Circle (Diameter),2.115032117,97.68281938,1.641018748,,,,,,,,
Circle (Diameter),1.718463595,103.4776266,1.47919431,,,,,,,,
Circle (Diameter),2.471825936,96.89100259,1.774042426,,,,,,,,
Circle (Diameter),1.300387271,97.29969024,1.286741814,,,,,,,,
Circle (Diameter),1.544338784,101.9973112,1.402252905,,,,,,,,
Circle (Diameter),1.535401751,107.4832215,1.398189625,,,,,,,,
Circle (Diameter),2.258221049,94.80302578,1.695658085,,,,,,,,
Circle (Diameter),1.555829253,100.8181229,1.407459886,,,,,,,,
Circle (Diameter),1.752935005,99.2197591,1.493956548,,,,,,,,
Circle (Diameter),1.762363082,102.3564918,1.497968748,,,,,,,,
Circle (Diameter),0.908434579,106.1042794,1.075478884,,,,,,,,
Circle (Diameter),0.81651082,95.75656814,1.019614567,,,,,,,,
Circle (Diameter),1.034142282,104.1120596,1.147480217,,,,,,,,
Circle (Diameter),1.68811697,98.03293194,1.466075469,,,,,,,,
Circle (Diameter),1.941889397,99.00480241,1.572415458,,,,,,,,
Circle (Diameter),1.507804982,93.33080131,1.385567367,,,,,,,,
