Name::Name,Area::Area!!R,Intensity Mean Value::Intensity Mean Value!!R,Diameter::Diameter!!R
,µm²,,µm
Circle (Diameter),4.884057592,66.79989848,2.493707133
Circle (Diameter),4.162304193,71.77748316,2.302088247
Circle (Diameter),4.044208047,65.2973402,2.269194926
Circle (Diameter),2.92654317,67.01102464,1.930334296
Circle (Diameter),2.082260402,74.24106661,1.628255596
Circle (Diameter),4.377192383,75.43432367,2.360765646
Circle (Diameter),2.948586142,70.92935384,1.937590379
Circle (Diameter),3.046240202,71.84842658,1.969414504
Circle (Diameter),4.427805017,72.20815849,2.374374959
Circle (Diameter),2.614739791,64.76742186,1.824606835
Circle (Diameter),4.068344486,84.54292054,2.2759563
Circle (Diameter),2.549719181,64.09346867,1.801777813
Circle (Diameter),2.60698165,80.60225262,1.821897947
Circle (Diameter),2.686779671,63.7165732,1.849571336
Circle (Diameter),4.605872823,70.94521654,2.421648079
Circle (Diameter),4.200725463,66.58756971,2.312688863
Circle (Diameter),2.153191977,77.66496537,1.655756375
Circle (Diameter),2.619049869,91.7658524,1.826110036
Circle (Diameter),2.719536266,86.81764389,1.860811951
Circle (Diameter),3.948770599,72.76133767,2.242260217
Circle (Diameter),3.671201556,75.48105305,2.162017345
Circle (Diameter),4.566835828,68.33452484,2.411363923
Circle (Diameter),4.174372412,67.08622784,2.305423178
Circle (Diameter),3.037373755,64.15364931,1.966546307
Circle (Diameter),3.231573569,66.22879499,2.028439612
Circle (Diameter),3.708145085,68.54028465,2.172868371
Circle (Diameter),3.870819754,72.97124461,2.220018194
Circle (Diameter),3.194014315,72.55138012,2.016617299
Circle (Diameter),3.026906422,61.83057022,1.963154847
Circle (Diameter),4.767316042,68.22234299,2.46372387
Circle (Diameter),4.682592217,68.53620013,2.441733315
Circle (Diameter),3.399050898,67.66665562,2.080337957
Circle (Diameter),2.570407557,70.03931602,1.809072842
Circle (Diameter),1.953081198,76.98125252,1.576940143
Circle (Diameter),4.250476081,73.49416631,2.326343532
Circle (Diameter),3.477617468,73.02313167,2.104243351
Circle (Diameter),4.437779769,69.43023777,2.377047895
Circle (Diameter),3.047225363,73.02918899,1.969732935
Circle (Diameter),3.951602936,66.29741601,2.243064226
Circle (Diameter),2.533094593,72.61711572,1.795894264
Circle (Diameter),4.593065733,70.09891729,2.418278918
Circle (Diameter),2.84218878,69.36994494,1.902311002
Circle (Diameter),2.585061823,84.52409953,1.814222406
Circle (Diameter),2.7764293,64.02326147,1.880175411
Circle (Diameter),3.669723815,82.01235099,2.16158217
Circle (Diameter),3.157440222,70.76039922,2.005038092
Circle (Diameter),3.307430947,72.384448,2.052109128
Circle (Diameter),3.115694035,75.21412292,1.991739153
Circle (Diameter),3.815650752,77.52217795,2.204140972
Circle (Diameter),2.722122313,69.0802413,1.861696478
Circle (Diameter),4.080166415,82.35025128,2.279260676
Circle (Diameter),1.998521738,66.60053905,1.595179271
Circle (Diameter),2.896865202,72.96153248,1.92052163
Circle (Diameter),2.852656113,62.98541642,1.905810739
Circle (Diameter),2.892678269,64.45617104,1.919133232
Circle (Diameter),2.605380764,71.0025067,1.821338469
Circle (Diameter),3.725015963,72.22034991,2.177805691
Circle (Diameter),3.020995458,77.87882739,1.961237079
Circle (Diameter),3.254232266,75.12909141,2.035538555
Circle (Diameter),3.662458255,68.92543738,2.159441289
Circle (Diameter),3.110398796,77.59204467,1.990045916
Circle (Diameter),2.671017099,66.47463692,1.8441379
Circle (Diameter),4.429282758,68.41661155,2.374771139
Circle (Diameter),3.896557079,76.18496158,2.227386487
Circle (Diameter),3.621697228,77.2421671,2.147391005
Circle (Diameter),3.326149002,73.61064255,2.057907782
Circle (Diameter),2.348623242,75.30443317,1.729265736
Circle (Diameter),3.902468044,70.12111066,2.229075287
Circle (Diameter),4.470782655,69.78155792,2.385870338
Circle (Diameter),4.567451554,70.62498766,2.411526474
Circle (Diameter),2.701433937,72.71863165,1.854608454
Circle (Diameter),3.501261326,82.13156285,2.111384469
Circle (Diameter),3.618002875,81.08071749,2.146295491
Circle (Diameter),3.109413635,77.23558212,1.989730736
Circle (Diameter),3.789051412,73.05055311,2.196444876
Circle (Diameter),3.273812336,66.52264988,2.041653087
Circle (Diameter),4.130409614,73.73889662,2.293251154
Circle (Diameter),4.640230305,75.86419154,2.430663432
Circle (Diameter),2.382241852,75.55066245,1.741598269
Circle (Diameter),3.377254216,86.30235969,2.073657064
Circle (Diameter),3.424911367,79.76282831,2.088236718
Circle (Diameter),4.456990404,74.49727993,2.382187321
Circle (Diameter),2.856227321,83.35991167,1.907003297
Circle (Diameter),2.559570789,73.94960713,1.805255313
Circle (Diameter),3.131949188,69.05078589,1.99692803
Circle (Diameter),3.914043683,69.10319629,2.23237882
Circle (Diameter),3.857150649,76.77507084,2.216094929
Circle (Diameter),3.074194138,68.20614709,1.978430071
Circle (Diameter),3.035896014,77.1328212,1.966067867
Circle (Diameter),4.76485314,70.15676072,2.46308738
Circle (Diameter),3.811710109,73.64980027,2.203002507
Circle (Diameter),2.746628187,76.50756427,1.870057652
Circle (Diameter),3.291422085,83.02835152,2.047136722
Circle (Diameter),4.419923731,80.20663896,2.372260879
Circle (Diameter),2.52262726,72.69509424,1.792179897
Circle (Diameter),4.058123443,83.93060953,2.27309552
Circle (Diameter),2.773843253,72.58788287,1.879299582
Circle (Diameter),5.138229067,80.11990436,2.557771772
Circle (Diameter),2.428544408,69.16821953,1.758442145
Circle (Diameter),3.924511016,73.15115222,2.235361854
Circle (Diameter),1.936456611,78.56639944,1.570214359
