Name::Name,Area::Area!!R,Intensity Mean Value::Intensity Mean Value!!R,Diameter::Diameter!!R,,,mean,median,sd,se,max,min
,µm²,,µm,,,2.2183454,2.226962231,0.136578928,0.01226515,2.535581164,1.817904705
Circle (Diameter),4.276880495,87.07277039,2.333558093,,,,,,,,
Circle (Diameter),4.195120822,87.4338874,2.311145544,,,,,,,,
Circle (Diameter),5.049459754,91.04136731,2.535581164,,,,,,,,
Circle (Diameter),4.354337028,88.88140678,2.354594253,,,,,,,,
Circle (Diameter),5.045708298,78.70912548,2.534639094,,,,,,,,
Circle (Diameter),4.045503931,84.05384551,2.269558455,,,,,,,,
Circle (Diameter),4.120974398,96.29004163,2.290630386,,,,,,,,
Circle (Diameter),4.176253205,91.78242576,2.305942482,,,,,,,,
Circle (Diameter),4.610429067,89.68598172,2.42284556,,,,,,,,
Circle (Diameter),4.351688941,95.32516658,2.353878171,,,,,,,,
Circle (Diameter),3.88430166,92.98662489,2.223880949,,,,,,,,
Circle (Diameter),4.339772551,95.25355001,2.350653107,,,,,,,,
Circle (Diameter),4.191479703,97.70217345,2.310142357,,,,,,,,
Circle (Diameter),4.011961501,96.96582133,2.260130092,,,,,,,,
Circle (Diameter),3.744835767,102.4085117,2.183591763,,,,,,,,
Circle (Diameter),4.268936236,100.4175781,2.331389806,,,,,,,,
Circle (Diameter),2.62381245,106.0725931,1.827769616,,,,,,,,
Circle (Diameter),4.146131221,102.9587984,2.297611418,,,,,,,,
Circle (Diameter),4.235724816,102.8322993,2.32230324,,,,,,,,
Circle (Diameter),3.959992802,92.57140825,2.24544415,,,,,,,,
Circle (Diameter),3.898204115,98.07117068,2.227857184,,,,,,,,
Circle (Diameter),3.782902012,104.8645936,2.194661804,,,,,,,,
Circle (Diameter),3.82262331,102.3595956,2.20615393,,,,,,,,
Circle (Diameter),3.470096785,101.2140424,2.101966805,,,,,,,,
Circle (Diameter),3.012860503,113.6030434,1.958594684,,,,,,,,
Circle (Diameter),3.481571827,113.3559952,2.105439367,,,,,,,,
Circle (Diameter),3.663738116,107.2805609,2.159818569,,,,,,,,
Circle (Diameter),4.310312588,100.678932,2.342660974,,,,,,,,
Circle (Diameter),4.206264853,102.151357,2.314213203,,,,,,,,
Circle (Diameter),3.903720962,99.51417436,2.229433089,,,,,,,,
Circle (Diameter),3.42805841,102.3535708,2.089195905,,,,,,,,
Circle (Diameter),3.82262331,99.9113771,2.20615393,,,,,,,,
Circle (Diameter),3.620155024,102.3175732,2.146933752,,,,,,,,
Circle (Diameter),4.110382052,93.99091981,2.287684631,,,,,,,,
Circle (Diameter),3.874260999,97.39403167,2.221004797,,,,,,,,
Circle (Diameter),3.269614564,100.8993706,2.040343735,,,,,,,,
Circle (Diameter),3.750242277,100.3117359,2.185167447,,,,,,,,
Circle (Diameter),3.867089098,108.7688186,2.218948121,,,,,,,,
Circle (Diameter),3.677419896,108.2199387,2.1638476,,,,,,,,
Circle (Diameter),3.852965969,110.248106,2.214892466,,,,,,,,
Circle (Diameter),3.959992802,111.0088788,2.24544415,,,,,,,,
Circle (Diameter),2.595566193,103.0192667,1.817904705,,,,,,,,
Circle (Diameter),3.874260999,113.9008784,2.221004797,,,,,,,,
Circle (Diameter),3.606121545,118.6285286,2.142768432,,,,,,,,
Circle (Diameter),4.059192607,104.4759862,2.273394939,,,,,,,,
Circle (Diameter),4.199422981,77.40376771,2.312330298,,,,,,,,
Circle (Diameter),3.869145631,81.96058165,2.219538065,,,,,,,,
Circle (Diameter),3.975702552,71.9300731,2.24989371,,,,,,,,
Circle (Diameter),3.338030583,87.26320936,2.061580107,,,,,,,,
Circle (Diameter),3.937892032,77.46697878,2.239169457,,,,,,,,
Circle (Diameter),3.668013305,80.62409823,2.16107834,,,,,,,,
Circle (Diameter),3.693940519,68.22050985,2.168702641,,,,,,,,
Circle (Diameter),3.197002252,76.49322398,2.017560332,,,,,,,,
Circle (Diameter),2.959336125,75.12701973,1.941119208,,,,,,,,
Circle (Diameter),4.52989675,78.87903748,2.401591904,,,,,,,,
Circle (Diameter),3.790578316,85.76170238,2.196887391,,,,,,,,
Circle (Diameter),3.968533285,79.64773889,2.247864211,,,,,,,,
Circle (Diameter),4.075384833,82.92080192,2.277924742,,,,,,,,
Circle (Diameter),3.16518249,94.46427048,2.007494835,,,,,,,,
Circle (Diameter),4.308042294,90.35449293,2.342043938,,,,,,,,
Circle (Diameter),4.449365252,83.98687711,2.38014869,,,,,,,,
Circle (Diameter),3.844004091,91.23451976,2.212315081,,,,,,,,
Circle (Diameter),4.118891484,81.57141682,2.290051422,,,,,,,,
Circle (Diameter),3.728019092,72.63691034,2.178683394,,,,,,,,
Circle (Diameter),3.710145028,78.14644224,2.173454248,,,,,,,,
Circle (Diameter),4.25687533,76.25961895,2.328094072,,,,,,,,
Circle (Diameter),3.972068814,63.58091863,2.248865289,,,,,,,,
Circle (Diameter),4.130381953,65.10295,2.293243476,,,,,,,,
Circle (Diameter),4.21444898,77.70330375,2.31646349,,,,,,,,
Circle (Diameter),4.299989144,75.08482435,2.339853889,,,,,,,,
Circle (Diameter),4.210618824,73.21561756,2.315410632,,,,,,,,
Circle (Diameter),4.038065358,61.96408971,2.267470948,,,,,,,,
Circle (Diameter),3.816112694,83.72932109,2.204274391,,,,,,,,
Circle (Diameter),4.238313802,73.90528892,2.323012857,,,,,,,,
Circle (Diameter),3.654362234,73.09333416,2.1570532,,,,,,,,
Circle (Diameter),3.980220173,72.28564956,2.251171633,,,,,,,,
Circle (Diameter),2.888330914,80.01369277,1.917690574,,,,,,,,
Circle (Diameter),3.602507806,78.02051795,2.141694516,,,,,,,,
Circle (Diameter),3.600445414,82.41606456,2.141081381,,,,,,,,
Circle (Diameter),3.581589259,87.04123193,2.135467414,,,,,,,,
Circle (Diameter),3.534841706,82.67505735,2.121485386,,,,,,,,
Circle (Diameter),4.642149801,74.16317707,2.431166119,,,,,,,,
Circle (Diameter),4.355870147,77.55848461,2.355008731,,,,,,,,
Circle (Diameter),4.679174648,88.08655515,2.440842108,,,,,,,,
Circle (Diameter),4.884137131,82.65076838,2.493727438,,,,,,,,
Circle (Diameter),3.729786857,81.10017506,2.179199881,,,,,,,,
Circle (Diameter),3.111756716,83.30879693,1.99048027,,,,,,,,
Circle (Diameter),3.414928342,84.70178907,2.085191072,,,,,,,,
Circle (Diameter),3.256615203,84.64830918,2.036283688,,,,,,,,
Circle (Diameter),3.971774186,96.74528168,2.248781883,,,,,,,,
Circle (Diameter),4.037770731,86.81823248,2.267388226,,,,,,,,
Circle (Diameter),3.839191843,98.53656817,2.210929866,,,,,,,,
Circle (Diameter),3.984639584,93.82621986,2.252421073,,,,,,,,
Circle (Diameter),4.163773062,85.79440491,2.302494412,,,,,,,,
Circle (Diameter),4.639105317,78.43316651,2.430368767,,,,,,,,
Circle (Diameter),3.7936228,86.76125564,2.197769453,,,,,,,,
Circle (Diameter),4.547672605,94.01817551,2.406299357,,,,,,,,
Circle (Diameter),4.392011112,95.72562696,2.364758387,,,,,,,,
Circle (Diameter),3.665263449,98.27954804,2.160268124,,,,,,,,
Circle (Diameter),3.807077453,88.14185847,2.201663363,,,,,,,,
Circle (Diameter),3.687655134,86.61430056,2.166856789,,,,,,,,
Circle (Diameter),4.050636129,89.75295393,2.2709976,,,,,,,,
Circle (Diameter),4.26031265,88.92864891,2.329033821,,,,,,,,
Circle (Diameter),3.816210903,81.107165,2.204302754,,,,,,,,
Circle (Diameter),3.942507862,89.64625054,2.240481402,,,,,,,,
Circle (Diameter),3.988960787,94.70930265,2.253642078,,,,,,,,
Circle (Diameter),4.860370518,88.50986445,2.487652698,,,,,,,,
Circle (Diameter),2.63878148,110.1493174,1.832975976,,,,,,,,
Circle (Diameter),3.548296359,89.16474135,2.125519052,,,,,,,,
Circle (Diameter),3.185511783,102.8947257,2.013931372,,,,,,,,
Circle (Diameter),4.035315502,94.55943686,2.266698761,,,,,,,,
Circle (Diameter),3.854708887,95.86598751,2.215393371,,,,,,,,
Circle (Diameter),3.830647647,91.46051122,2.208468262,,,,,,,,
Circle (Diameter),3.142103341,105.2759523,2.00016255,,,,,,,,
Circle (Diameter),2.850127557,109.3035418,1.904965909,,,,,,,,
Circle (Diameter),3.697083212,94.311384,2.169624978,,,,,,,,
