Name::Name,Area::Area!!R,Intensity Mean Value::Intensity Mean Value!!R,Diameter::Diameter!!R
,µm²,,µm
Circle (Diameter),3.773686344,87.13289949,2.191986926
Circle (Diameter),2.960809262,91.55064085,1.941602286
Circle (Diameter),4.18469161,82.24784164,2.308270963
Circle (Diameter),4.252161292,89.03492408,2.326804656
Circle (Diameter),3.175101613,99.50650686,2.010637942
Circle (Diameter),3.886430441,87.56030858,2.224490262
Circle (Diameter),3.147112007,93.67261649,2.001756094
Circle (Diameter),3.466095306,78.75915822,2.100754533
Circle (Diameter),3.19385956,80.69770471,2.016568445
Circle (Diameter),4.048671946,82.25926029,2.270446922
Circle (Diameter),3.906759733,90.98454262,2.230300649
Circle (Diameter),4.329942933,92.03743135,2.347989474
Circle (Diameter),3.720653406,90.08483306,2.176530048
Circle (Diameter),3.886430441,80.85443056,2.224490262
Circle (Diameter),3.691190663,86.30385225,2.167895274
Circle (Diameter),4.162594553,77.96381241,2.302168541
Circle (Diameter),4.951508603,84.48486644,2.510867691
Circle (Diameter),4.462819905,86.28327231,2.383744698
Circle (Diameter),4.136667339,87.45334351,2.294987677
Circle (Diameter),4.143836606,89.12977307,2.296975541
Circle (Diameter),4.024316078,87.98503992,2.26360738
Circle (Diameter),3.665263449,84.25707967,2.160268124
Circle (Diameter),3.695511865,91.71273126,2.169163859
Circle (Diameter),3.549769496,88.09345646,2.125960229
Circle (Diameter),3.86590473,93.85998017,2.218608298
Circle (Diameter),3.933177993,82.40795237,2.237828804
Circle (Diameter),3.863351292,92.76224347,2.217875479
Circle (Diameter),4.087562767,86.04982216,2.281325614
Circle (Diameter),3.283819135,97.06805637,2.044770985
Circle (Diameter),4.201190746,92.05118089,2.312816939
Circle (Diameter),3.734402686,93.80849654,2.180547907
Circle (Diameter),3.246401452,99.45905621,2.033087973
Circle (Diameter),3.838209751,81.93225664,2.210647063
Circle (Diameter),3.977568526,88.01206765,2.250421636
Circle (Diameter),4.033056692,85.72980579,2.266064268
Circle (Diameter),4.55395799,80.59880699,2.407961669
Circle (Diameter),3.2684003,77.51442855,2.039964831
Circle (Diameter),4.538931991,79.58117326,2.403985795
Circle (Diameter),3.890064179,85.07647774,2.225529947
Circle (Diameter),4.244206351,88.44341728,2.324627145
Circle (Diameter),3.886332232,79.90756912,2.224462155
Circle (Diameter),3.804622224,90.3541173,2.200953309
Circle (Diameter),3.922178569,87.99640815,2.234697486
Circle (Diameter),3.479058913,80.45610285,2.104679402
Circle (Diameter),3.689717526,73.99081589,2.167462632
Circle (Diameter),4.070670794,72.84347874,2.276606911
Circle (Diameter),3.455586928,83.29559523,2.097567621
Circle (Diameter),3.588660317,92.82455204,2.13757438
Circle (Diameter),3.127175551,97.24026348,1.995405617
Circle (Diameter),3.743045091,94.06992775,2.183069634
Circle (Diameter),3.273998221,93.92672354,2.041711048
Circle (Diameter),2.671779752,113.5402944,1.844401159
Circle (Diameter),3.545448294,95.03504591,2.124665849
Circle (Diameter),3.734402686,64.29415847,2.180547907
Circle (Diameter),3.699145604,63.82951669,2.170230049
Circle (Diameter),3.742357627,61.73014965,2.182869149
Circle (Diameter),3.428775831,63.87865655,2.089414506
Circle (Diameter),4.494934295,65.08741346,2.39230602
Circle (Diameter),4.088839486,61.46766292,2.281681863
Circle (Diameter),3.948989665,71.38082466,2.242322413
Circle (Diameter),3.921785732,59.85742983,2.234585572
Circle (Diameter),4.110838334,64.94296412,2.287811603
Circle (Diameter),4.324737849,70.40001042,2.346577774
Circle (Diameter),4.12733747,63.9417752,2.292398151
Circle (Diameter),3.221259911,60.69768498,2.025200114
Circle (Diameter),4.006245596,53.95649972,2.258519497
Circle (Diameter),3.414535506,60.00982266,2.085071134
Circle (Diameter),4.093357106,66.5431419,2.282941992
Circle (Diameter),3.800006394,74.87461828,2.199617788
Circle (Diameter),3.804229387,70.79401492,2.200839679
Circle (Diameter),3.873565043,61.8161739,2.220805303
Circle (Diameter),2.843449335,71.09245656,1.902732808
Circle (Diameter),3.341467903,61.12654092,2.062641285
Circle (Diameter),3.183940436,66.72283359,2.013434596
Circle (Diameter),4.561716512,65.17642986,2.410012003
Circle (Diameter),3.938186659,70.26846156,2.239253221
Circle (Diameter),4.407724575,73.25438372,2.368984852
Circle (Diameter),3.917562739,73.43954305,2.233382143
Circle (Diameter),3.50351299,79.97147818,2.112063277
Circle (Diameter),4.016459347,96.47036404,2.261396664
Circle (Diameter),3.350306726,94.89510278,2.065367524
Circle (Diameter),3.713975184,75.78212324,2.174575837
Circle (Diameter),3.953507286,78.91664768,2.243604648
Circle (Diameter),3.819255386,73.16276122,2.20518185
Circle (Diameter),4.189700276,69.53124243,2.309651937
Circle (Diameter),3.891537316,70.78490981,2.225951302
Circle (Diameter),3.70533278,74.9282394,2.172044249
Circle (Diameter),4.084027238,71.64365589,2.280338786
Circle (Diameter),4.008602615,75.94540553,2.259183784
Circle (Diameter),3.839191843,62.16289726,2.210929866
Circle (Diameter),3.70415427,70.56111701,2.171698804
Circle (Diameter),3.302282454,79.9594567,2.050511304
Circle (Diameter),3.372501992,72.70940485,2.072197602
Circle (Diameter),3.795783401,66.20292005,2.198395217
Circle (Diameter),3.031519845,72.99921959,1.964650337
Circle (Diameter),3.414240878,60.29985497,2.084981175
Circle (Diameter),3.327423995,59.87527885,2.058302167
Circle (Diameter),3.452247817,65.06735819,2.096553944
Circle (Diameter),3.260739987,65.16748394,2.037572844
Circle (Diameter),3.49084401,70.47485799,2.108241124
Circle (Diameter),4.118695065,72.16434236,2.289996819
Circle (Diameter),2.866626693,70.22070266,1.910471791
Circle (Diameter),3.587776435,61.96407148,2.137311123
Circle (Diameter),3.671155998,78.22214732,2.16200393
Circle (Diameter),3.967649402,74.65770935,2.247613872
Circle (Diameter),3.98974646,71.14324057,2.253864008
