ID,Iden,Region,Population,Treatment,Block,Number,style_length,stamen_length,ovule_number,mass,viable_seed,aborted_seed,unfertilized
CE10,CE10A,South,CE,Heat,A,1,,,,,,,
CE10,CE10A,South,CE,Heat,A,2,,,,,,,
CE10,CE10A,South,CE,Heat,A,3,,,,,,,
CE10,CE10B,South,CE,Control,B,1,,,,,,,
CE10,CE10B,South,CE,Control,B,2,,,,,,,
CE10,CE10B,South,CE,Control,B,3,,,,,,,
CE10,CE10C,South,CE,Heat,C,1,,,,,,,
CE10,CE10C,South,CE,Heat,C,2,,,,,,,
CE10,CE10C,South,CE,Heat,C,3,,,,,,,
CE10,CE10D,South,CE,Control,D,1,,,,,,,
CE10,CE10D,South,CE,Control,D,2,,,,,,,
CE10,CE10D,South,CE,Control,D,3,,,,,,,
CE11,CE11A,South,CE,Heat,A,1,,,,,,,
CE11,CE11A,South,CE,Heat,A,2,,,,,,,
CE11,CE11A,South,CE,Heat,A,3,,,,,,,
CE11,CE11B,South,CE,Control,B,1,,,,,,,
CE11,CE11B,South,CE,Control,B,2,,,,,,,
CE11,CE11B,South,CE,Control,B,3,,,,,,,
CE11,CE11C,South,CE,Heat,C,1,,,,,,,
CE11,CE11C,South,CE,Heat,C,2,,,,,,,
CE11,CE11C,South,CE,Heat,C,3,,,,,,,
CE11,CE11D,South,CE,Control,D,1,,,,,,,
CE11,CE11D,South,CE,Control,D,2,,,,,,,
CE11,CE11D,South,CE,Control,D,3,,,,,,,
CE1,CE1A,South,CE,Control,A,1,,,,,,,
CE1,CE1A,South,CE,Control,A,2,,,,,,,
CE1,CE1A,South,CE,Control,A,3,,,,,,,
CE1,CE1B,South,CE,Heat,B,1,,,,,,,
CE1,CE1B,South,CE,Heat,B,2,,,,,,,
CE1,CE1B,South,CE,Heat,B,3,,,,,,,
CE1,CE1C,South,CE,Control,C,1,,,,,,,
CE1,CE1C,South,CE,Control,C,2,,,,,,,
CE1,CE1C,South,CE,Control,C,3,,,,,,,
CE1,CE1D,South,CE,Heat,D,1,,,,,,,
CE1,CE1D,South,CE,Heat,D,2,,,,,,,
CE1,CE1D,South,CE,Heat,D,3,,,,,,,
CE2,CE2A,South,CE,Control,A,1,,,,,,,
CE2,CE2A,South,CE,Control,A,2,,,,,,,
CE2,CE2A,South,CE,Control,A,3,,,,,,,
CE2,CE2B,South,CE,Heat,B,1,,,,,,,
CE2,CE2B,South,CE,Heat,B,2,,,,,,,
CE2,CE2B,South,CE,Heat,B,3,,,,,,,
CE2,CE2C,South,CE,Control,C,1,,,,,,,
CE2,CE2C,South,CE,Control,C,2,,,,,,,
CE2,CE2C,South,CE,Control,C,3,,,,,,,
CE2,CE2D,South,CE,Heat,D,1,,,,,,,
CE2,CE2D,South,CE,Heat,D,2,,,,,,,
CE2,CE2D,South,CE,Heat,D,3,,,,,,,
CE3,CE3A,South,CE,Heat,A,1,,,,,,,
CE3,CE3A,South,CE,Heat,A,2,,,,,,,
CE3,CE3A,South,CE,Heat,A,3,,,,,,,
CE3,CE3B,South,CE,Control,B,1,,,,,,,
CE3,CE3B,South,CE,Control,B,2,,,,,,,
CE3,CE3B,South,CE,Control,B,3,,,,,,,
CE3,CE3C,South,CE,Heat,C,1,,,,,,,
CE3,CE3C,South,CE,Heat,C,2,,,,,,,
