ID,Iden,Region,Population,Treatment,Block,flowers_pollinated,fruit_count
CE1,CE1A,South,CE,Control,A,,
CE1,CE1B,South,CE,Heat,B,,
CE10,CE10A,South,CE,Heat,A,,
CE10,CE10B,South,CE,Control,B,,
CE11,CE11A,South,CE,Heat,A,,
CE11,CE11B,South,CE,Control,B,,
CE2,CE2A,South,CE,Control,A,,
CE2,CE2B,South,CE,Heat,B,,
CE3,CE3A,South,CE,Heat,A,,
CE3,CE3B,South,CE,Control,B,,
CE4,CE4A,South,CE,Heat,A,,
CE4,CE4B,South,CE,Control,B,,
CE5,CE5A,South,CE,Control,A,,
CE5,CE5B,South,CE,Heat,B,,
CE6,CE6A,South,CE,Control,A,,
CE6,CE6B,South,CE,Heat,B,,
CE7a,CE7aA,South,CE,Control,A,,
CE7a,CE7aB,South,CE,Heat,B,,
CE7b,CE7bA,South,CE,Control,A,,
CE7b,CE7bB,South,CE,Heat,B,,
CE8,CE8A,South,CE,Control,A,,
CE8,CE8B,South,CE,Heat,B,,
CE9,CE9A,South,CE,Control,A,,
CE9,CE9B,South,CE,Heat,B,,
FR1,FR1A,North,FR,Control,A,3,3
FR1,FR1B,North,FR,Heat,B,3,3
FR10,FR10A,North,FR,Heat,A,3,3
FR10,FR10B,North,FR,Control,B,,
FR11,FR11A,North,FR,Heat,A,,
FR11,FR11B,North,FR,Control,B,3,3
FR12,FR12A,North,FR,Control,A,3,3
FR12,FR12B,North,FR,Heat,B,,
FR2,FR2A,North,FR,Heat,A,3,3
FR2,FR2B,North,FR,Control,B,,
FR6,FR6A,North,FR,Control,A,,
FR6,FR6B,North,FR,Heat,B,,
FR8,FR8A,North,FR,Heat,A,,
FR8,FR8B,North,FR,Control,B,,
OP1,OP1A,South,OP,Control,A,3,2
OP1,OP1B,South,OP,Heat,B,3,
OP2,OP2A,South,OP,Control,A,3,3
OP2,OP2B,South,OP,Heat,B,,
OP3,OP3A,South,OP,Heat,A,,
OP3,OP3B,South,OP,Control,B,,
OP4,OP4A,South,OP,Heat,A,3,3
OP4,OP4B,South,OP,Control,B,3,3
OP5,OP5A,South,OP,Control,A,3,3
OP5,OP5B,South,OP,Heat,B,,
OP6,OP6A,South,OP,Heat,A,,
OP6,OP6B,South,OP,Control,B,3,3
OP7,OP7A,South,OP,Control,A,3,3
OP7,OP7B,South,OP,Heat,B,,
OP8,OP8A,South,OP,Heat,A,,
OP8,OP8B,South,OP,Control,B,3,3
OP9,OP9A,South,OP,Control,A,3,3
OP9,OP9B,South,OP,Heat,B,,
PI1,PI1A,North,PI,Control,A,3,3
PI1,PI1B,North,PI,Heat,B,,
PI10,PI10A,North,PI,Control,A,,
PI10,PI10B,North,PI,Heat,B,3,1
PI11,PI11A,North,PI,Control,A,3,2
PI11,PI11B,North,PI,Heat,B,,
PI12,PI12A,North,PI,Heat,A,3,0
PI12,PI12B,North,PI,Control,B,3,2
PI13,PI13A,North,PI,Heat,A,,
PI13,PI13B,North,PI,Control,B,3,3
PI14,PI14A,North,PI,Heat,A,3,2
PI14,PI14B,North,PI,Control,B,3,3
PI15,PI15A,North,PI,Heat,A,3,3
PI15,PI15B,North,PI,Control,B,,
PI18,PI18A,North,PI,Control,A,3,3
PI18,PI18B,North,PI,Heat,B,3,0
PI19,PI19A,North,PI,Heat,A,3,3
PI19,PI19B,North,PI,Control,B,,
PI2,PI2A,North,PI,Control,A,3,3
PI2,PI2B,North,PI,Heat,B,3,3
PI21,PI21A,North,PI,Heat,A,3,0
PI21,PI21B,North,PI,Control,B,3,2
PI25,PI25A,North,PI,Heat,A,3,0
PI25,PI25B,North,PI,Control,B,,
PI27,PI27A,North,PI,Control,A,3,3
PI27,PI27B,North,PI,Heat,B,,
PI28,PI28A,North,PI,Control,A,3,3
PI28,PI28B,North,PI,Heat,B,3,3
PI3,PI3A,North,PI,Control,A,3,2
PI3,PI3B,North,PI,Heat,B,3,3
PI30,PI30A,North,PI,Control,A,3,3
PI30,PI30B,North,PI,Heat,B,3,2
PI4,PI4A,North,PI,Control,A,,
PI4,PI4B,North,PI,Heat,B,3,2
PI5,PI5A,North,PI,Heat,A,3,3
PI5,PI5B,North,PI,Control,B,3,1
PI9,PI9A,North,PI,Control,A,3,3
PI9,PI9B,North,PI,Heat,B,3,0
RE6,RE6A,South,RE,Heat,A,,
RE6,RE6B,South,RE,Control,B,,
RE7,RE7A,South,RE,Heat,A,,
RE7,RE7B,South,RE,Control,B,,
RE8,RE8A,South,RE,Heat,A,,
RE8,RE8B,South,RE,Control,B,,
RE3,RE3A,South,RE,Heat,A,,
RE3,RE3B,South,RE,Control,B,,
RE5,RE5A,South,RE,Control,A,,
RE5,RE5B,South,RE,Heat,B,,
CE1,CE1C,South,CE,Control,C,,
CE1,CE1D,South,CE,Heat,D,,
CE10,CE10C,South,CE,Heat,C,,
CE10,CE10D,South,CE,Control,D,,
CE11,CE11C,South,CE,Heat,C,,
CE11,CE11D,South,CE,Control,D,,
CE2,CE2C,South,CE,Control,C,,
CE2,CE2D,South,CE,Heat,D,,
CE3,CE3C,South,CE,Heat,C,,
CE3,CE3D,South,CE,Control,D,,
CE4,CE4C,South,CE,Heat,C,,
CE4,CE4D,South,CE,Control,D,,
CE5,CE5C,South,CE,Control,C,,
CE5,CE5D,South,CE,Heat,D,,
CE6,CE6C,South,CE,Control,C,,
CE6,CE6D,South,CE,Heat,D,,
CE7a,CE7aC,South,CE,Control,C,,
CE7a,CE7aD,South,CE,Heat,D,,
CE7b,CE7bC,South,CE,Control,C,,
CE7b,CE7bD,South,CE,Heat,D,,
CE8,CE8C,South,CE,Control,C,,
CE8,CE8D,South,CE,Heat,D,,
CE9,CE9C,South,CE,Control,C,,
CE9,CE9D,South,CE,Heat,D,,
FR1,FR1C,North,FR,Control,C,,
FR1,FR1D,North,FR,Heat,D,,
FR10,FR10C,North,FR,Heat,C,,
FR10,FR10D,North,FR,Control,D,,
FR11,FR11C,North,FR,Heat,C,,
FR11,FR11D,North,FR,Control,D,,
FR12,FR12C,North,FR,Control,C,,
FR12,FR12D,North,FR,Heat,D,,
FR2,FR2C,North,FR,Heat,C,,
FR2,FR2D,North,FR,Control,D,,
FR6,FR6C,North,FR,Control,C,,
FR6,FR6D,North,FR,Heat,D,,
FR8,FR8C,North,FR,Heat,C,,
FR8,FR8D,North,FR,Control,D,,
OP1,OP1C,South,OP,Control,C,,
OP1,OP1D,South,OP,Heat,D,,
OP2,OP2C,South,OP,Control,C,,
OP2,OP2D,South,OP,Heat,D,,
OP3,OP3C,South,OP,Heat,C,,
OP3,OP3D,South,OP,Control,D,,
OP4,OP4C,South,OP,Heat,C,,
OP4,OP4D,South,OP,Control,D,,
OP5,OP5C,South,OP,Control,C,,
OP5,OP5D,South,OP,Heat,D,,
OP6,OP6C,South,OP,Heat,C,,
OP6,OP6D,South,OP,Control,D,,
OP7,OP7C,South,OP,Control,C,,
OP7,OP7D,South,OP,Heat,D,,
OP8,OP8C,South,OP,Heat,C,,
OP8,OP8D,South,OP,Control,D,,
OP9,OP9C,South,OP,Control,C,,
OP9,OP9D,South,OP,Heat,D,,
PI1,PI1C,North,PI,Control,C,,
PI1,PI1D,North,PI,Heat,D,,
PI10,PI10C,North,PI,Control,C,,
PI10,PI10D,North,PI,Heat,D,,
PI11,PI11C,North,PI,Control,C,,
PI11,PI11D,North,PI,Heat,D,,
PI12,PI12C,North,PI,Heat,C,,
PI12,PI12D,North,PI,Control,D,,
PI13,PI13C,North,PI,Heat,C,,
PI13,PI13D,North,PI,Control,D,,
PI14,PI14C,North,PI,Heat,C,,
PI14,PI14D,North,PI,Control,D,,
PI15,PI15C,North,PI,Heat,C,,
PI15,PI15D,North,PI,Control,D,,
PI18,PI18C,North,PI,Control,C,,
PI18,PI18D,North,PI,Heat,D,,
PI19,PI19C,North,PI,Heat,C,,
PI19,PI19D,North,PI,Control,D,,
PI2,PI2C,North,PI,Control,C,,
PI2,PI2D,North,PI,Heat,D,,
PI21,PI21C,North,PI,Heat,C,,
PI21,PI21D,North,PI,Control,D,,
PI25,PI25C,North,PI,Heat,C,,
PI25,PI25D,North,PI,Control,D,,
PI27,PI27C,North,PI,Control,C,,
PI27,PI27D,North,PI,Heat,D,,
PI28,PI28C,North,PI,Control,C,,
PI28,PI28D,North,PI,Heat,D,,
PI3,PI3C,North,PI,Control,C,,
PI3,PI3D,North,PI,Heat,D,,
PI30,PI30C,North,PI,Control,C,,
PI30,PI30D,North,PI,Heat,D,,
PI4,PI4C,North,PI,Control,C,,
PI4,PI4D,North,PI,Heat,D,,
PI5,PI5C,North,PI,Heat,C,,
PI5,PI5D,North,PI,Control,D,,
PI9,PI9C,North,PI,Control,C,,
